Iteration	Posterior	Likelihood	Prior	clado_demipoly	clado_fission	clado_fusion	clado_no_change	clado_polyploid	delta	eta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	gamma	rho	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	speciation_rates[4]	speciation_rates[5]	total_speciation	turnover
0	-512.057	-523.352	11.29496	0.04711549	0.02890422	0.08270536	0.07769847	0.04711549	0.05539631	0.1587055	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.113416	0.00695981	0.1587055	0.0776985	0.0289042	0.0827054	0.0471155	0.0471155	0.283539	0.4
10	-454.0121	-466.5529	12.54076	0.009147782	0.02636452	0.003018354	0.1715033	0.009147782	0.0170742	0.07740517	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.0660503	0.02497759	0.07740517	0.171503	0.0263645	0.00301835	0.00914778	0.00914778	0.2191818	0.3013494
20	-432.898	-446.1754	13.2774	0.003053983	0.01136916	0.0002719915	0.1715033	0.003053983	0.01795754	0.01584523	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.114252	0.03274167	0.01584523	0.171503	0.0113692	0.000271992	0.00305398	0.00305398	0.1892524	0.6037005
30	-434.7806	-447.9811	13.20045	0.004394374	0.01151285	0.007958568	0.1715033	0.004394374	0.04034896	0.006712089	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.155531	0.01919499	0.006712089	0.171503	0.0115128	0.00795857	0.00439437	0.00439437	0.1997635	0.7785739
40	-432.4691	-445.6666	13.19758	0.004690069	0.03123596	0.004124898	0.1715033	0.004690069	0.0302686	0.01002482	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.0888967	0.01215785	0.01002482	0.171503	0.031236	0.0041249	0.00469007	0.00469007	0.2162443	0.4110939
50	-436.8665	-450.0231	13.15653	0.006947083	0.007439801	0.04500958	0.1468346	0.006947083	0.0191381	0.01675454	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.115352	0.0252979	0.01675454	0.146835	0.0074398	0.0450096	0.00694708	0.00694708	0.2131782	0.5411082
60	-433.8295	-447.055	13.22548	0.0122148	0.01144432	0.01682937	0.1468346	0.0122148	0.04322022	0.01127345	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.0879157	0.01626435	0.01127345	0.146835	0.0114443	0.0168294	0.0122148	0.0122148	0.1995379	0.4405963
70	-434.384	-447.4685	13.08441	0.006407174	0.04191938	0.001200062	0.1468346	0.006407174	0.04180098	0.0172781	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.109796	0.01791705	0.0172781	0.146835	0.0419194	0.00120006	0.00640717	0.00640717	0.2027684	0.5414844
80	-434.6533	-447.5564	12.90308	0.008226629	0.02377934	0.008023687	0.1468346	0.008226629	0.05463145	0.008216283	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.102153	0.04054936	0.008216283	0.146835	0.0237793	0.00802369	0.00822663	0.00822663	0.1950909	0.5236192
90	-435.3634	-448.1378	12.77439	0.006663768	0.0290595	0.0001075201	0.168987	0.006663768	0.07298667	0.005359411	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.129005	0.02228885	0.005359411	0.168987	0.0290595	0.00010752	0.00666377	0.00666377	0.2114816	0.6100076
100	-435.3713	-447.8949	12.52361	0.008498782	0.009231541	0.004347515	0.168987	0.008498782	0.07986456	0.008105432	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.0867918	0.04971689	0.008105432	0.168987	0.00923154	0.00434752	0.00849878	0.00849878	0.1995636	0.4349077
