NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	3.85672e-17	4.36308e-17	5.28305e-17	6.41303e-17	7.47326e-17	8.19007e-17	8.38641e-17	8.03575e-17	7.2329e-17	5.82905e-17	4.52337e-17	3.80229e-17	4.33411e-17	8.59942e-17	1.69935e-12	3.54357e-10	1.26899e-09	2.85091e-09	5.60763e-09	1.05185e-08	1.86808e-08	3.027e-08	4.34026e-08	5.44955e-08	6.0607e-08	6.15661e-08	5.91436e-08	4.12251e-08	3.38547e-08	3.66092e-08	6.16676e-08	2.05825e-07	1.35861e-06	1.19817e-05	9.92807e-05	0.000661057	0.00336156	0.0129078	0.0375272	0.083249	0.142255	0.189118	0.197543	0.163699	0.108799	0.0607664	
N2	3.98193e-19	1.73253e-19	3.74556e-19	1.23802e-18	4.28116e-18	1.33407e-17	3.64506e-17	9.19281e-17	2.56834e-16	1.09934e-15	7.99347e-15	6.97765e-14	5.43534e-13	3.37581e-12	1.64878e-11	7.37434e-11	2.29287e-10	5.61695e-10	1.12609e-09	1.87613e-09	2.63232e-09	3.18124e-09	3.47526e-09	3.80031e-09	4.83516e-09	7.75769e-09	1.55841e-08	4.19316e-08	2.16117e-07	1.7217e-06	1.4622e-05	0.000108218	0.000645978	0.00303162	0.011114	0.0318419	0.0715024	0.126311	0.176179	0.194576	0.170253	0.117488	0.0629906	0.0253656	0.00720843	0.0013675	
N3	1.24854e-12	2.91261e-12	2.32944e-11	2.0563e-10	1.35163e-09	6.04491e-09	1.85338e-08	4.00562e-08	6.28341e-08	7.35104e-08	6.57079e-08	4.59333e-08	2.57443e-08	1.20265e-08	6.15038e-09	1.34043e-08	7.69899e-08	6.30263e-07	1.12552e-05	0.000193837	0.00205836	0.0129782	0.050196	0.124225	0.204801	0.233083	0.188825	0.11204	0.0495273	0.0166606	0.00434038	0.000890451	0.000146455	1.97457e-05	2.25139e-06	2.26847e-07	2.12774e-08	1.93138e-09	1.70181e-10	1.4172e-11	1.08151e-12	7.41665e-14	4.53692e-15	2.47843e-16	1.21726e-17	5.54225e-19	
N4	6.62645e-12	1.75714e-11	6.78837e-11	1.82312e-10	3.28351e-10	4.07993e-10	3.82858e-10	3.65169e-10	4.95086e-10	7.36177e-10	9.26106e-10	1.05924e-09	1.30911e-09	3.31484e-09	8.36361e-08	2.77726e-06	6.46809e-05	0.000941092	0.00803572	0.0399972	0.118929	0.21864	0.257238	0.199849	0.105391	0.0386486	0.0100679	0.00190186	0.000263761	2.73442e-05	2.15301e-06	1.30913e-07	6.27515e-09	2.45944e-10	8.82441e-12	4.16389e-13	3.54194e-14	3.74549e-15	3.57974e-16	2.87431e-17	1.94415e-18	1.13724e-19	5.94159e-21	2.81478e-22	1.18837e-23	4.4156e-25	
N5	2.32533e-12	2.47506e-12	4.56651e-12	7.08403e-12	9.52462e-12	1.29157e-11	1.8192e-11	2.36159e-11	2.5966e-11	2.396e-11	2.1311e-11	3.94244e-11	8.55264e-10	3.89825e-08	1.23983e-06	2.90412e-05	0.000511479	0.00564333	0.0348686	0.119701	0.235598	0.276322	0.200224	0.0925146	0.0280155	0.00569471	0.000793819	7.75175e-05	5.36326e-06	2.68407e-07	1.01242e-08	3.76113e-10	3.39396e-11	5.86038e-12	9.11974e-13	1.11713e-13	1.06576e-14	7.92038e-16	4.59077e-17	2.08054e-18	7.45055e-20	2.23455e-21	7.2527e-23	3.74613e-24	2.39654e-25	1.25467e-26	
N6	5.56597e-12	1.52422e-11	4.31885e-11	9.28006e-11	1.49703e-10	2.13571e-10	9.38525e-10	1.21427e-08	1.55227e-07	1.94285e-06	1.83469e-05	0.000105139	0.000359149	0.000844332	0.00263052	0.0153727	0.0730552	0.199391	0.294698	0.245769	0.121835	0.0374748	0.00739473	0.000961467	8.42821e-05	5.09879e-06	2.24869e-07	1.06205e-08	1.48064e-09	3.50037e-10	7.23607e-11	1.20531e-11	1.60822e-12	1.71553e-13	1.45918e-14	9.86358e-16	5.2898e-17	2.2652e-18	8.05127e-20	2.72821e-21	1.13851e-22	6.11881e-24	3.34108e-25	1.57984e-26	6.16625e-28	2.01428e-29	
N7	1.83211e-19	1.04718e-20	4.13426e-22	9.20213e-22	3.46943e-18	1.19254e-13	2.2373e-09	1.79542e-05	0.0370737	0.710262	0.229089	0.0219529	0.000963228	0.000175787	0.000395099	6.5699e-05	4.44453e-06	1.28709e-07	1.82091e-09	1.39659e-11	6.24081e-14	1.71189e-16	3.02505e-19	3.83556e-22	5.54784e-25	1.68303e-27	6.42251e-30	2.06553e-32	5.26657e-35	1.06242e-37	1.69828e-40	2.15269e-43	2.16372e-46	1.72535e-49	1.09704e-52	5.68268e-56	2.57097e-59	1.18321e-62	6.3539e-66	3.723e-69	2.03829e-72	9.57195e-76	3.7464e-79	1.21349e-82	3.2549e-86	7.2764e-90	
L_corymbiferum	0	0	0	0	0	0	0	0	0.999345	0	0	0	0	0	0.000655206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	8.01622e-26	5.82842e-27	1.89635e-27	3.24775e-25	1.30758e-20	2.55127e-15	2.28829e-10	7.11591e-06	0.0424077	0.858994	0.095915	0.00242289	5.36531e-05	1.83221e-05	0.00016025	2.10931e-05	3.17319e-07	1.4053e-09	2.52306e-12	2.16614e-15	9.84955e-19	2.55242e-22	6.22401e-26	8.52204e-28	2.02844e-29	2.82749e-31	1.91869e-33	3.70122e-36	3.32151e-39	1.7633e-42	1.43762e-45	5.3389e-48	1.45002e-50	8.2437e-54	2.07724e-57	2.86645e-61	2.3905e-65	1.27458e-69	4.5094e-74	1.14577e-78	5.58908e-82	4.05453e-84	2.34803e-86	1.01103e-88	3.0476e-91	5.77875e-94	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_strictum	0	0	0	0	0	0	0	0	0.999803	0	0	0	0	0	0.000174401	2.23551e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	3.92488e-09	3.90918e-09	3.36225e-09	5.25021e-09	1.28057e-07	2.94655e-06	4.10686e-05	0.000318724	0.00116367	0.00130142	0.000691826	0.000210414	8.06338e-05	0.00086972	0.0107303	0.0754555	0.277396	0.438619	0.164351	0.0264156	0.00223662	0.000111671	3.86792e-06	1.82211e-07	2.07168e-08	2.5703e-09	2.5189e-10	1.90235e-11	1.10975e-12	5.02694e-14	1.77307e-15	4.87572e-17	1.04546e-18	1.74698e-20	2.27438e-22	2.31436e-24	1.90448e-26	1.55136e-28	2.12711e-30	4.8409e-32	1.10705e-33	2.12563e-35	3.29682e-37	4.05558e-39	3.89085e-41	2.89933e-43	
