NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	1.06652e-11	2.57753e-09	2.46573e-07	7.70918e-06	0.00142591	0.000846333	0.000114881	0.00122635	0.0369686	0.312739	0.493656	0.143009	0.00979693	0.000207194	1.66207e-06	5.82734e-09	1.01874e-11	2.03126e-17	4.78738e-19	8.90005e-21	1.32914e-22	1.62568e-24	1.6553e-26	1.4228e-28	1.04483e-30	6.62403e-33	3.65886e-35	1.77513e-37	7.61902e-40	2.91167e-42	9.96484e-45	3.07009e-47	8.57061e-50	2.1731e-52	5.02425e-55	1.06306e-57	2.06532e-60	3.69565e-63	6.10797e-66	9.34861e-69	1.32831e-71	1.75606e-74	2.16466e-77	2.49336e-80	2.69386e-83	2.8735e-86	
N2	1.3347e-11	3.3055e-09	1.92903e-07	1.26975e-05	0.000617273	0.000270811	7.4816e-05	0.00188304	0.0756078	0.440633	0.407836	0.0702138	0.00281407	3.62807e-05	1.94837e-07	6.32658e-09	7.92027e-11	1.1877e-11	8.03311e-14	6.95355e-15	1.99132e-17	1.05191e-18	1.30065e-21	3.54284e-23	2.33706e-26	2.59727e-28	6.94011e-32	5.55399e-34	9.54514e-38	5.32392e-40	8.50682e-43	3.69115e-45	5.52858e-48	2.36326e-50	1.41318e-52	6.36905e-55	1.31293e-57	1.35979e-60	6.4243e-64	1.31932e-66	7.6277e-71	3.36747e-73	2.83864e-76	2.80705e-78	4.41731e-82	3.58596e-84	
N3	7.41384e-13	3.90196e-10	3.76234e-09	1.8827e-06	6.35555e-05	9.64042e-06	5.40941e-05	0.0133788	0.652162	0.312267	0.0216438	0.000415385	2.97445e-06	2.33849e-08	1.55494e-10	2.32982e-12	9.45537e-15	6.55455e-17	1.28685e-19	4.33317e-22	4.01789e-25	7.14762e-28	3.24809e-31	3.01921e-34	6.7368e-38	3.62442e-41	5.20273e-45	3.7302e-48	6.72346e-52	6.51508e-55	2.67174e-58	2.38848e-61	6.27308e-65	3.86541e-68	1.24679e-71	5.20236e-75	6.46085e-79	1.82925e-82	2.62579e-86	1.09749e-89	6.19766e-94	2.07706e-97	2.54059e-101	8.60436e-105	9.56919e-109	3.24409e-112	
N4	1.01781e-13	3.49259e-11	1.99266e-09	6.12962e-07	1.30036e-05	8.1336e-06	0.000143555	0.0264874	0.740208	0.224239	0.00873947	0.000159957	8.93077e-07	2.18346e-08	2.3172e-10	1.74585e-11	5.22683e-14	1.507e-15	5.57177e-19	6.97305e-21	1.14656e-24	5.8745e-27	1.36473e-30	9.79741e-34	6.0587e-38	3.35394e-41	1.9578e-45	6.55425e-48	1.47061e-51	1.54817e-54	1.56819e-57	1.91085e-60	3.91401e-64	5.23469e-67	3.74303e-70	1.1537e-73	4.07936e-78	3.30211e-82	3.11452e-86	5.6956e-89	2.84662e-94	1.03177e-97	6.79396e-102	7.98e-105	1.3337e-109	1.31133e-112	
N5	3.15373e-14	4.12145e-12	4.59211e-10	8.75701e-08	5.01325e-06	2.07904e-05	0.000321064	0.023337	0.759756	0.207975	0.00830656	0.000273213	3.40607e-06	1.79865e-06	1.92012e-08	2.78189e-09	2.58644e-12	1.30266e-13	1.41836e-17	2.43991e-19	2.80744e-23	9.71986e-26	1.9786e-29	3.70741e-33	9.75116e-38	2.80872e-41	6.84582e-45	3.46506e-47	6.45716e-51	2.45567e-54	2.0723e-57	3.30699e-60	4.19292e-64	5.32073e-67	2.14009e-70	2.58064e-74	2.94099e-79	9.48533e-84	5.26359e-88	1.37869e-90	2.69778e-96	1.55176e-99	2.61888e-104	3.47702e-107	2.44627e-112	3.20239e-115	
N6	3.7686e-16	9.36272e-13	4.06366e-11	6.43783e-08	9.0643e-06	2.68384e-06	1.67472e-05	0.00823077	0.858785	0.13089	0.00205286	1.30221e-05	6.41933e-08	2.10072e-09	7.82606e-12	2.2459e-13	4.24078e-16	1.37926e-17	1.78816e-20	5.58081e-22	4.5674e-25	4.1356e-27	3.13168e-30	5.24179e-33	1.12048e-36	3.43691e-39	3.05658e-42	2.10489e-44	4.2181e-48	1.03857e-50	1.15939e-53	4.34462e-56	1.78967e-59	3.97472e-62	1.76079e-64	3.64643e-66	6.82754e-69	9.1772e-71	8.75659e-73	1.41555e-73	1.37651e-76	5.57987e-78	3.27121e-80	2.8289e-81	1.06897e-83	1.05594e-84	
N7	3.78146e-20	2.38327e-15	6.90384e-15	3.03005e-11	1.26902e-07	3.92782e-10	3.34587e-09	0.000117216	0.91598	0.0838867	1.62466e-05	9.30714e-10	6.04962e-12	2.22553e-11	1.32318e-10	2.11895e-12	1.31205e-15	1.46146e-18	6.41872e-23	8.53888e-25	2.35415e-27	4.01611e-29	9.55116e-32	2.23007e-34	1.53035e-37	1.56005e-39	9.46387e-42	3.06886e-43	6.81064e-46	8.7292e-48	4.66616e-50	5.12487e-52	8.60794e-55	1.40517e-33	1.9883e-33	2.7015e-33	2.28842e-34	2.44167e-34	1.07604e-34	9.08204e-34	8.27324e-35	1.96124e-34	1.2131e-34	4.4778e-34	2.37418e-34	1.27354e-33	
L_corymbiferum	0	0	0	0	0	0	0	0	0.999981	0	0	0	0	0	1.94679e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	6.84746e-23	1.13713e-17	1.32874e-16	3.33583e-13	1.75103e-09	2.58665e-12	6.63724e-11	5.80409e-06	0.890847	0.109145	2.14293e-06	8.68657e-12	1.44203e-13	1.0408e-11	1.25145e-10	6.49411e-13	1.7496e-17	8.41223e-20	3.19015e-26	9.4742e-30	1.51697e-35	3.33365e-39	3.86106e-33	7.84635e-37	4.44131e-39	1.04371e-37	5.01025e-37	1.53428e-35	6.64988e-36	1.93506e-34	6.4774e-36	8.25514e-35	1.65943e-36	5.77067e-35	1.2207e-33	1.4164e-34	8.05236e-37	2.94445e-37	3.73316e-38	3.42218e-36	8.87853e-36	3.95891e-36	3.06618e-37	8.92945e-36	2.10536e-37	1.54272e-35	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_strictum	0	0	0	0	0	0	0	0	0.999964	0	0	0	0	0	4.94707e-07	3.52147e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	4.17787e-18	3.00179e-14	1.28098e-12	3.72504e-09	6.56986e-07	1.08066e-07	8.39998e-07	0.00192438	0.97406	0.0239543	6.01122e-05	4.56697e-08	2.62564e-11	9.85855e-13	1.65375e-12	2.21381e-11	1.62339e-11	4.27096e-11	3.7884e-14	4.30076e-16	1.03712e-19	2.99497e-22	7.69502e-26	1.7738e-29	7.93392e-34	3.08241e-37	7.0751e-41	1.9615e-43	2.97756e-47	2.22666e-50	1.07257e-53	1.0208e-56	8.27194e-58	1.45237e-57	7.68045e-58	1.121e-58	2.7466e-62	3.43928e-65	1.80358e-68	1.04064e-70	2.72684e-75	2.87669e-78	5.31926e-82	9.9281e-85	7.49745e-89	1.31828e-91	
L_setaceum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	3.73531e-23	4.94887e-18	3.98208e-16	1.76218e-11	5.15952e-09	2.66847e-10	7.00243e-09	0.000162936	0.531599	0.00108511	1.56709e-07	6.31858e-12	2.76971e-16	3.4336e-18	1.21973e-14	3.05888e-09	2.26488e-05	0.467016	0.000113271	4.14304e-07	2.46255e-11	9.91952e-13	1.10487e-13	8.47701e-18	1.05284e-22	1.23919e-26	1.81641e-30	1.63281e-33	7.26159e-38	7.4237e-40	3.34509e-39	7.72195e-39	3.17803e-25	3.89888e-21	1.2605e-18	4.90261e-17	1.21875e-19	3.25698e-21	2.4846e-23	5.31905e-24	2.34862e-27	1.01825e-28	7.49672e-31	5.25491e-32	1.36487e-34	7.83352e-34	
L_suffruticosum1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.965141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0348592	0	0	0	0	0	0	0	0	0	0	
L_tenuifolium1	0	0	0	0	0	0	0	0.00355597	0.526976	0	0	0	0	0	0	0	0	0.469468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	1.2288e-12	1.14295e-10	2.30215e-09	2.1458e-07	1.76748e-05	0.000794207	0.0160765	0.0850078	0.678931	0.197156	0.0162617	0.00323962	0.000417945	0.00201251	7.26544e-05	1.25408e-05	7.87709e-08	3.77996e-09	1.08707e-12	1.44961e-14	3.01459e-18	1.55236e-20	5.66229e-24	9.94348e-28	4.58465e-32	1.89533e-35	1.28993e-38	9.31514e-41	3.91548e-44	5.13051e-47	8.06593e-50	9.35573e-53	2.1429e-56	4.87081e-59	4.94678e-62	1.31604e-65	1.72382e-70	2.93335e-74	3.12025e-78	8.01671e-81	4.67616e-86	2.41593e-89	2.10986e-93	2.79557e-96	7.39913e-101	1.06396e-103	
N12	1.5949e-10	3.4139e-11	7.64544e-11	1.12549e-10	1.69971e-09	3.62371e-05	0.0204676	0.000461276	3.32683e-06	3.98273e-07	7.18614e-06	0.0010527	0.0282244	0.934403	0.01481	0.000532617	1.19292e-06	8.77263e-09	3.32753e-12	8.85507e-15	4.16007e-19	2.38942e-22	2.64244e-26	1.60047e-30	2.03711e-35	4.99729e-39	2.54722e-41	3.78395e-42	4.1409e-44	2.41452e-45	1.09965e-46	1.91142e-45	2.92251e-47	1.404e-48	4.99634e-50	1.30351e-51	2.26726e-54	7.46015e-56	2.15133e-55	1.71241e-56	1.0006e-59	1.49838e-61	5.64673e-64	3.40389e-65	1.36317e-67	8.0128e-69	
N13	9.57544e-13	1.64997e-13	3.98039e-14	8.82503e-13	3.02461e-12	1.79348e-07	0.00161439	6.10265e-06	6.32391e-09	4.6301e-11	9.14901e-10	4.26462e-06	0.00277505	0.990242	0.00533045	2.78722e-05	7.43027e-09	7.73829e-12	1.2393e-15	1.85487e-17	1.30247e-21	1.12275e-23	1.98963e-28	8.17805e-31	9.57279e-36	6.84995e-39	5.34469e-44	5.806e-47	1.05339e-52	5.97287e-56	1.45857e-61	1.49877e-64	2.69224e-69	4.12011e-58	1.12009e-58	5.2823e-58	1.55199e-57	2.93111e-57	8.86645e-57	3.55147e-54	5.54196e-55	4.43411e-55	9.01553e-56	2.32736e-54	1.4888e-55	1.31876e-53	
N14	2.49228e-15	3.32457e-16	2.8398e-17	8.70711e-16	1.6769e-15	2.86706e-10	1.20228e-05	1.64846e-09	4.9781e-14	2.21873e-17	8.3751e-15	1.79214e-09	0.000115978	0.999403	0.000468692	3.7049e-08	8.13036e-13	1.58892e-17	5.79662e-21	4.69235e-24	6.08737e-29	2.40677e-32	1.44064e-36	1.10144e-39	3.67142e-44	1.38195e-47	2.85976e-52	3.65085e-56	1.68915e-62	3.24789e-67	7.61599e-74	9.90934e-79	2.43231e-84	1.03868e-90	9.17174e-98	1.52677e-103	9.52272e-109	1.63691e-114	3.24607e-35	1.35257e-34	1.43302e-35	7.59255e-37	1.82574e-37	3.32317e-37	6.31985e-36	1.04376e-34	
L_album	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_mucronatum1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	4.54839e-16	1.87546e-16	1.69522e-17	1.07736e-16	1.55012e-16	7.12181e-11	9.49288e-06	1.28621e-09	1.87898e-14	1.57931e-18	7.04899e-16	3.35001e-10	4.66334e-05	0.997399	0.00254417	3.06647e-07	5.43987e-12	9.33056e-17	1.60658e-20	1.03723e-23	6.89523e-29	1.72293e-30	2.61953e-32	8.98128e-33	7.53773e-35	1.80278e-35	1.53616e-37	1.60499e-38	3.27711e-42	8.07802e-44	1.34642e-47	4.05802e-49	2.19316e-51	1.83462e-54	4.93603e-58	2.37489e-60	1.33292e-61	8.8853e-63	3.89735e-64	9.60163e-66	3.69238e-69	9.1184e-73	6.39088e-76	2.07388e-78	1.87187e-79	1.65613e-80	
N16	2.56927e-19	4.03708e-20	1.64595e-22	4.3175e-22	2.74755e-21	3.3084e-14	9.41176e-08	5.04161e-13	3.85279e-19	3.26874e-24	2.95228e-20	4.15238e-13	1.79229e-06	0.998798	0.00120045	7.27169e-09	1.12439e-14	6.13832e-21	1.61047e-25	2.96083e-28	1.32943e-34	1.01586e-39	3.2415e-43	1.09968e-41	1.05015e-41	3.07975e-39	1.87719e-35	3.44532e-34	1.21408e-36	2.7042e-35	7.62842e-38	3.03717e-37	3.2249e-38	1.86909e-39	6.63878e-42	4.54605e-42	4.8898e-41	5.57749e-39	4.25598e-37	1.5664e-35	1.31283e-36	1.74222e-38	2.95249e-39	3.82764e-41	6.48269e-39	1.02852e-36	
N17	4.51531e-22	1.61024e-23	3.25437e-24	2.03795e-21	1.85526e-19	5.15716e-15	2.27898e-09	1.09449e-13	2.48985e-16	1.09053e-17	7.95216e-16	1.04825e-11	8.81774e-06	0.999722	0.000268986	2.83319e-09	6.37542e-15	5.13204e-21	2.28528e-26	6.65638e-29	1.1592e-34	5.66018e-37	2.07318e-41	1.61728e-42	1.40756e-44	2.11587e-44	7.04575e-43	6.60066e-44	1.70405e-48	5.0436e-50	8.6947e-55	3.01439e-57	5.29511e-62	5.54707e-41	1.43789e-43	3.44109e-43	2.69931e-41	2.4041e-39	8.7922e-37	2.73275e-35	1.21468e-36	1.02031e-38	3.77413e-39	2.65265e-40	3.0754e-38	2.9079e-36	
N18	1.44237e-22	1.789e-24	8.92385e-25	2.66394e-23	1.81896e-22	2.34915e-16	7.68579e-11	1.5752e-15	1.11431e-19	2.96572e-21	8.51868e-18	1.86414e-11	1.2186e-05	0.999505	0.000483125	6.11505e-09	1.71268e-14	1.7552e-20	2.40837e-26	1.09992e-28	4.44519e-33	5.16378e-35	2.85186e-39	1.51761e-41	5.64603e-46	1.30236e-48	8.89321e-53	2.32135e-56	1.37482e-63	2.45026e-68	7.07017e-76	4.22848e-81	5.75615e-89	1.53159e-94	1.08156e-102	9.8266e-108	7.21729e-112	1.5026e-116	6.90854e-37	3.19091e-35	5.44336e-37	3.34618e-39	8.89677e-40	2.64841e-40	3.36252e-38	3.24189e-36	
L_arboreum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_elegans	0	0	0	0	0	0	0	0	0	0	0	0	0	0.990074	0.00992601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_campanulatum	0	0	0	0	0	0	0	0	1.53691e-08	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N19	3.09782e-22	1.01981e-22	1.2748e-22	1.11988e-20	1.76199e-20	1.57256e-14	1.91757e-09	1.03359e-13	3.99901e-17	5.15348e-18	7.21901e-16	4.38306e-10	5.26897e-06	0.996486	0.00350915	2.90805e-08	1.0851e-11	1.54871e-17	1.54234e-21	8.21764e-24	4.7443e-30	4.68515e-32	6.41239e-34	1.89612e-33	2.76937e-35	3.91035e-35	1.73234e-36	2.65677e-37	6.93385e-42	9.12453e-44	1.54075e-48	8.6542e-51	1.73713e-54	3.85554e-58	2.87256e-63	4.30668e-65	1.55458e-41	2.17334e-39	1.70587e-36	7.46323e-35	9.39172e-37	4.67429e-39	1.2645e-39	2.2783e-40	4.50097e-38	6.00268e-36	
L_capitatum	0	0	0	0	0	0	0	0	0	0	0	0.000715681	0	0.999282	0	0	2.67571e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N20	3.67602e-22	8.5857e-22	6.9365e-23	2.64654e-20	3.48127e-19	2.77022e-16	1.14121e-10	8.74927e-13	1.6279e-14	6.50879e-15	2.46489e-15	8.51528e-12	6.08992e-06	0.980246	0.0197482	2.37229e-07	9.17235e-13	1.58116e-18	1.03079e-23	1.28503e-25	2.44412e-30	7.37917e-32	7.4827e-36	1.06162e-37	4.72211e-42	3.6479e-44	7.33271e-48	4.06476e-51	2.34307e-58	6.08709e-63	1.61659e-70	1.83821e-75	6.24256e-83	1.93711e-63	1.23253e-68	1.27947e-70	2.69016e-71	3.1319e-72	5.64833e-73	6.04816e-34	4.82624e-36	1.46178e-38	3.37904e-39	6.54285e-40	1.75963e-37	3.19169e-35	
L_gyaricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_tauricum	0	0	0	0	0	0	0	0	1.6739e-08	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_flavum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.956247	0.0437527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_nodiflorum	0	0	0	0	0	0	0	0	0	0	0	0.0301266	0.969873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N21	1.27157e-15	7.02247e-12	1.65139e-09	1.13282e-06	0.0028758	0.000698022	6.12422e-05	0.00202934	0.202061	0.777451	0.0138841	0.000904443	3.35198e-05	9.89359e-07	3.14582e-09	2.13273e-11	1.10994e-14	3.57189e-17	5.61571e-21	1.32619e-23	1.19578e-26	8.70801e-30	1.28483e-33	2.52168e-36	8.54753e-40	4.35256e-42	2.70834e-45	7.15231e-48	5.8425e-52	8.06025e-55	1.20329e-58	2.36905e-61	2.16749e-65	1.01722e-68	1.17223e-72	3.55121e-76	4.4224e-81	1.25666e-84	2.67711e-88	1.91611e-91	1.77864e-95	4.91055e-99	1.45669e-103	3.22049e-107	6.3624e-111	6.0018e-114	
N22	5.98732e-17	6.17437e-13	7.86054e-12	1.12929e-08	7.98227e-05	7.86365e-07	6.19185e-08	2.19034e-05	0.0349556	0.962384	0.0025539	3.77833e-06	3.8957e-09	1.64057e-09	4.66086e-10	1.24425e-11	8.133e-15	1.26481e-16	4.6422e-18	5.49643e-18	1.09315e-21	1.972e-24	2.73697e-28	6.45343e-32	1.96228e-36	1.11176e-39	5.18998e-44	2.47209e-45	9.10968e-48	3.47583e-49	1.08729e-50	4.74671e-52	2.9325e-54	1.25582e-55	2.59917e-57	2.56163e-59	1.51618e-62	1.00354e-64	3.89862e-67	2.52633e-68	6.77099e-72	1.25736e-73	2.79264e-76	1.17098e-77	1.52097e-80	7.16866e-82	
N23	5.90814e-26	1.38723e-19	1.5355e-17	8.20692e-12	5.22571e-08	1.4745e-12	1.67346e-12	2.11121e-07	0.0670578	0.932923	1.91739e-05	7.62181e-11	1.65978e-16	1.55335e-20	6.08699e-25	2.71956e-30	9.33613e-34	1.17627e-32	7.68661e-33	8.57639e-32	2.72911e-33	3.30124e-33	2.91523e-33	2.39144e-34	6.90311e-36	2.81824e-36	1.86979e-36	2.0016e-35	1.19855e-35	9.81848e-35	2.48722e-35	1.28086e-34	9.06227e-35	9.03491e-35	7.12314e-34	3.04305e-33	1.76181e-34	1.17319e-34	9.87731e-35	1.80812e-33	3.53157e-35	4.94738e-35	3.63405e-36	5.52873e-35	1.78948e-35	2.65581e-34	
L_corymbulosum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_trigynum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_tenue1	0	0	0	0	0	0	0	0	0	0.992438	0	0	0	0	3.46286e-05	0	0	0	0	0.00752771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_maritimum	0	0	0	0	0	0	0	0	0.212202	0.787798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_catharticum	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N24	7.01002e-14	5.71734e-11	9.89348e-10	5.47006e-07	5.85801e-06	2.43817e-06	8.26667e-05	0.0233878	0.833078	0.140695	0.00273477	1.36882e-05	3.03606e-08	5.90274e-10	4.60369e-12	2.68556e-13	8.79302e-15	2.80174e-15	1.38299e-17	5.56982e-19	6.34391e-22	7.52605e-24	6.74791e-27	1.39453e-29	3.37758e-33	5.01693e-36	1.78418e-39	1.4057e-41	7.62914e-45	2.43094e-47	3.9143e-50	1.20283e-52	5.80374e-56	1.43078e-58	1.63662e-61	1.38307e-64	1.1032e-68	3.98814e-72	1.0498e-75	2.71751e-78	6.25294e-83	4.88831e-86	9.42353e-90	1.93476e-92	2.20738e-96	5.86926e-99	
N25	6.71388e-15	3.25893e-11	1.70234e-09	5.84353e-08	1.30621e-06	5.09301e-06	0.000109243	0.0568242	0.939702	0.0033558	1.99194e-06	2.90882e-08	8.56698e-10	4.49243e-10	6.05099e-11	3.0469e-10	2.28727e-10	9.92894e-10	8.12124e-13	9.90878e-15	1.31805e-18	3.39055e-21	4.12462e-24	6.61253e-26	1.7914e-28	3.89002e-30	3.63759e-32	8.90917e-33	1.21333e-34	8.13126e-36	4.75937e-37	4.09664e-38	5.6215e-40	5.45859e-41	2.71115e-42	6.43341e-44	1.25274e-46	1.22546e-48	1.18404e-50	1.90455e-51	1.07746e-54	3.80899e-56	2.50837e-58	2.76629e-59	7.39771e-62	8.29088e-63	
N26	2.33595e-17	6.44556e-13	1.49278e-10	1.6773e-08	6.0829e-06	5.45691e-05	6.42282e-05	0.0249018	0.974236	0.000737745	7.5704e-08	7.07011e-11	4.35537e-13	1.65312e-12	3.55369e-11	2.79241e-10	2.47392e-10	1.05083e-09	3.91942e-13	5.46256e-16	6.38353e-19	2.95494e-22	1.43399e-26	2.2522e-30	9.96524e-35	8.35443e-37	2.9005e-40	8.03099e-43	8.6384e-47	1.11187e-49	1.81279e-52	9.55037e-53	2.27341e-55	1.43069e-54	2.0988e-57	9.13484e-59	6.44177e-63	1.38598e-64	8.66645e-68	1.22064e-68	4.04926e-70	5.3941e-71	1.04337e-72	5.39255e-75	1.12767e-77	2.11345e-78	
N27	5.37966e-20	1.62028e-15	1.83781e-12	9.50816e-10	2.32944e-07	4.93084e-06	2.10629e-05	0.00597565	0.246738	7.68565e-05	8.77203e-09	3.60049e-11	3.93986e-13	1.60146e-11	5.63837e-09	0.000163568	0.00172593	0.745121	0.000171657	1.61585e-06	4.3224e-09	2.90441e-12	5.79627e-17	2.84035e-21	3.75274e-26	2.89167e-29	1.00151e-32	1.88928e-35	2.04233e-38	2.30324e-40	3.32896e-41	2.64311e-41	5.30079e-43	4.77371e-44	3.25376e-46	6.84444e-49	5.03922e-53	3.38893e-55	2.53851e-58	4.95747e-59	5.68711e-62	1.79225e-62	6.89431e-66	6.03316e-67	2.65033e-70	3.53938e-71	
