NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	1.3339e-11	5.52577e-09	5.54458e-07	1.2806e-05	0.00103809	0.00131185	0.000334203	0.00160915	0.0266916	0.215578	0.470904	0.245646	0.0351644	0.00167795	3.1623e-05	2.69273e-07	1.15108e-09	2.6849e-12	1.31493e-17	3.80741e-19	8.85113e-21	1.68359e-22	2.66272e-24	3.55025e-26	4.03851e-28	3.96042e-30	3.37911e-32	2.52889e-34	1.67213e-36	9.83182e-39	5.17078e-41	2.44527e-43	1.04479e-45	4.05091e-48	1.43098e-50	4.62235e-53	1.36994e-55	3.73681e-58	9.40819e-61	2.19218e-63	4.73897e-66	9.52647e-69	1.7847e-71	3.12291e-74	5.12567e-77	8.40618e-80	
N2	5.70897e-11	9.49017e-09	5.25998e-07	1.91022e-05	0.000539893	0.000511317	0.000241649	0.00242876	0.0505057	0.321245	0.455912	0.153928	0.014212	0.000450066	5.84251e-06	1.2824e-07	2.13732e-09	4.05588e-10	4.65726e-12	5.35428e-13	2.8883e-15	2.00366e-16	4.62805e-19	1.93655e-20	2.10198e-23	5.0604e-25	3.08091e-28	4.2202e-30	1.6261e-33	1.3142e-35	4.3708e-39	5.16935e-41	1.14899e-44	1.62345e-46	3.72398e-49	8.88153e-51	1.47441e-54	1.77649e-56	3.122e-59	5.27809e-61	5.77402e-65	4.04901e-67	5.11568e-70	6.42894e-72	1.97385e-75	2.04572e-77	
N3	5.37051e-12	1.61445e-09	2.45236e-08	5.9868e-06	0.000119751	3.45726e-05	0.000263105	0.025097	0.535185	0.383433	0.053446	0.00237543	3.93179e-05	4.32675e-07	3.56013e-09	6.28296e-11	4.0049e-13	3.85905e-15	1.24708e-17	5.95138e-20	9.7713e-23	2.51493e-25	2.11679e-28	3.19071e-31	1.46896e-34	1.43098e-37	4.19259e-41	3.62944e-44	8.08547e-48	9.25328e-51	4.01927e-54	6.32519e-57	1.60998e-60	1.99943e-63	7.80819e-67	8.22088e-70	1.53995e-73	1.21366e-76	3.26918e-80	2.16658e-83	2.64221e-87	1.30087e-90	2.57165e-94	1.23766e-97	2.30242e-101	1.09246e-104	
N4	2.4094e-13	1.81076e-10	1.16088e-08	1.80365e-06	2.81093e-05	4.01179e-05	0.000539876	0.0421943	0.627303	0.297625	0.0309953	0.00125845	1.41679e-05	2.63821e-07	3.32043e-09	2.86637e-10	1.16384e-12	4.04799e-14	3.14455e-17	4.8587e-19	1.37346e-22	9.79321e-25	1.39263e-28	4.87062e-31	4.09407e-35	7.78953e-38	5.70023e-42	1.99086e-44	1.11688e-48	5.45292e-51	2.90056e-54	1.62023e-56	5.30204e-61	1.50037e-63	5.27747e-67	1.81724e-69	2.86875e-74	2.43923e-77	4.66989e-81	1.10971e-83	1.12909e-88	4.267e-92	4.11873e-96	7.01046e-99	9.33056e-104	9.4672e-107	
N5	4.89345e-15	1.14886e-11	2.19998e-09	3.0982e-07	1.25175e-05	6.33826e-05	0.000865168	0.0399107	0.649959	0.274913	0.0323085	0.00192712	3.25865e-05	7.78642e-06	1.00753e-07	1.77077e-08	2.71194e-11	1.66142e-12	4.23873e-16	9.55552e-18	8.62284e-22	6.88555e-24	3.2344e-28	1.04469e-30	2.98467e-35	5.12409e-38	4.74189e-42	5.50778e-44	1.00313e-48	6.28424e-51	2.6513e-54	2.1495e-56	1.83843e-61	3.63271e-64	9.29324e-68	4.95101e-70	2.51328e-75	1.31913e-78	1.63658e-82	6.17777e-85	2.17589e-90	5.18865e-94	2.64972e-98	7.41024e-101	3.35643e-106	5.00621e-109	
N6	6.15041e-15	8.062e-12	4.02247e-10	3.26962e-07	2.16937e-05	8.55587e-06	9.01169e-05	0.0184687	0.775184	0.198069	0.0080448	0.00011213	7.03532e-07	1.54899e-08	8.63226e-11	2.80283e-12	8.02574e-15	3.09851e-16	7.99718e-19	2.95828e-20	3.46626e-23	5.44592e-25	3.11752e-28	2.67099e-30	8.05714e-34	4.00109e-36	2.49035e-39	2.23442e-41	4.03619e-45	2.0242e-47	1.67516e-50	1.35222e-52	1.22485e-56	4.79042e-59	3.50154e-62	4.82985e-64	4.62282e-67	2.13725e-68	2.81167e-70	4.72966e-71	6.01629e-74	1.91557e-75	1.63271e-77	1.88385e-78	4.83138e-81	4.71178e-82	
N7	7.32692e-22	6.36815e-17	2.94522e-15	1.5388e-10	2.67497e-07	1.10362e-09	1.95708e-08	0.000293723	0.88884	0.110817	4.91927e-05	5.82068e-09	4.83881e-11	1.03016e-10	3.55752e-10	6.67581e-12	5.83982e-15	8.10538e-18	5.02521e-22	1.39663e-25	3.3567e-30	2.85916e-29	1.56635e-31	1.79775e-33	1.73758e-36	2.56685e-38	1.04622e-40	4.15747e-42	5.00977e-45	1.32762e-46	5.36652e-49	1.11686e-50	7.58073e-54	5.18693e-34	4.35799e-34	1.83161e-33	2.00385e-34	3.19241e-34	1.58715e-34	1.09657e-33	1.05261e-34	1.27199e-34	4.0631e-35	1.75827e-34	8.11058e-35	4.58036e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	0.99997	0	0	0	0	0	3.0314e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	4.18495e-26	2.65155e-20	9.97757e-18	1.791e-12	3.82904e-09	8.67463e-12	2.83717e-10	1.6861e-05	0.860387	0.13959	6.66813e-06	6.38077e-11	9.74525e-13	4.34318e-11	3.25369e-10	2.16705e-12	1.00532e-16	5.76041e-19	6.73038e-25	5.11183e-28	2.42561e-34	3.43733e-38	8.03383e-45	4.31793e-49	2.30917e-55	2.74533e-58	3.18051e-63	2.24464e-66	5.94522e-72	2.08381e-75	1.2683e-82	1.17432e-86	1.50234e-94	1.95083e-76	7.19983e-37	5.95767e-35	2.57571e-37	2.92102e-37	3.53894e-38	3.22058e-36	1.47553e-38	1.52495e-38	6.21672e-40	5.3108e-38	1.49588e-38	1.32285e-36	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
