NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	1.89901e-10	1.17083e-07	9.39784e-06	0.000270005	0.00103029	0.00807729	0.00298876	0.0632922	0.849299	0.0743616	0.000670663	7.03094e-07	1.54875e-10	1.71342e-17	8.86923e-20	3.12502e-22	7.93968e-25	1.51812e-27	2.25745e-30	2.67915e-33	2.59134e-36	2.07809e-39	1.40166e-42	8.04852e-46	3.97533e-49	1.70404e-52	6.38826e-56	2.10869e-59	6.16504e-63	1.60478e-66	3.73642e-70	7.8132e-74	1.4727e-77	2.51022e-81	3.88034e-85	5.45372e-89	6.98491e-93	8.16844e-97	8.73746e-101	8.56168e-105	7.69534e-109	6.35145e-113	4.81827e-117	3.36211e-121	2.16108e-125	1.36045e-129	
N2	7.96869e-11	3.46103e-08	3.1459e-06	0.000110993	0.000495419	0.00395278	0.00204976	0.0648778	0.880049	0.0482255	0.000234671	8.29476e-07	5.80476e-09	2.82568e-11	7.24949e-14	9.74117e-17	4.43226e-20	6.15549e-22	4.47518e-26	2.62899e-28	1.4326e-32	1.69667e-35	1.09472e-39	1.01692e-42	3.52997e-47	9.33965e-50	4.87316e-53	8.12535e-57	2.12979e-61	6.46537e-64	6.38607e-69	7.2727e-72	2.89253e-76	4.1261e-80	2.59175e-84	9.52226e-87	3.37754e-92	5.7862e-96	2.93683e-100	5.39888e-103	2.22158e-108	2.78998e-112	1.79264e-117	2.80764e-120	5.83139e-125	2.73892e-128	
N3	8.17502e-14	9.28033e-11	1.89332e-08	8.49112e-07	5.76806e-06	0.000312823	0.000168573	0.0215793	0.966544	0.0113696	1.87003e-05	3.50169e-08	4.42801e-11	3.23367e-14	1.04477e-17	3.22088e-21	5.16019e-25	3.12959e-28	1.40462e-32	2.21322e-36	8.56665e-41	5.23697e-45	1.65873e-49	2.21569e-53	4.31243e-58	5.50225e-62	3.0115e-66	8.23216e-71	8.62468e-76	5.77878e-80	3.7241e-85	2.0013e-89	1.31328e-94	4.34387e-99	6.80498e-104	2.42635e-107	5.83679e-112	9.54779e-116	5.32123e-120	1.21779e-123	2.55863e-128	2.56055e-132	2.88348e-137	3.78557e-141	3.30554e-145	1.02649e-148	
N4	7.48795e-16	2.48002e-12	1.2817e-09	1.05911e-07	2.43689e-06	5.96096e-05	0.000148416	0.0265125	0.967548	0.00572709	2.23891e-06	2.49184e-09	8.81482e-12	7.31667e-15	1.349e-18	4.9756e-22	5.49583e-26	2.7906e-28	2.80903e-33	1.32519e-36	1.99921e-41	1.30033e-45	2.31611e-50	5.28816e-54	4.38698e-59	1.2649e-52	1.39941e-51	1.30568e-51	1.12718e-53	1.78608e-53	1.04952e-55	2.27686e-56	6.2594e-59	9.88203e-59	1.19444e-60	5.32332e-61	1.75502e-64	2.59329e-66	1.05973e-68	1.32045e-69	1.13769e-72	2.00433e-74	7.83873e-78	7.90043e-79	5.36322e-81	7.50395e-82	
N5	2.61149e-18	2.8002e-14	5.95214e-11	6.17844e-09	4.6836e-07	1.76508e-05	0.000186046	0.00755847	0.982053	0.0101815	2.90162e-06	1.65049e-07	1.74103e-09	6.06306e-12	9.45179e-16	4.34073e-18	9.13661e-23	7.64724e-25	3.20174e-30	1.03884e-33	1.4245e-38	3.24025e-43	6.48137e-48	9.22185e-51	1.31351e-56	9.76711e-60	6.74679e-64	1.15421e-68	9.08111e-75	1.43896e-78	3.00483e-84	2.89345e-87	7.29361e-94	2.68098e-98	2.26532e-103	1.97019e-106	2.63724e-113	2.85982e-118	6.99699e-124	5.53041e-128	3.17259e-134	3.56729e-139	2.96556e-146	1.24076e-150	4.87346e-156	7.53301e-160	
N6	1.13686e-18	5.95388e-15	8.32794e-12	9.96183e-10	4.26424e-08	1.47033e-05	9.50109e-06	0.00335636	0.992138	0.0044787	2.29702e-06	5.08774e-09	3.88467e-11	6.25116e-14	1.9611e-17	1.09762e-20	2.88849e-24	2.09651e-26	7.15272e-31	8.43317e-34	7.05925e-38	1.23127e-41	1.13015e-45	8.91417e-49	4.09883e-53	9.4155e-56	2.7505e-59	2.70883e-63	4.73905e-67	2.06109e-68	1.28516e-71	5.74446e-73	3.86751e-76	1.04599e-77	5.63659e-80	8.54935e-81	1.70888e-84	1.07783e-86	1.87195e-89	6.39952e-91	3.1529e-94	2.18131e-96	3.75364e-100	6.80185e-102	2.75106e-104	1.29233e-105	
N7	1.66334e-26	7.06051e-21	6.12653e-16	9.79885e-14	2.77998e-10	1.09812e-07	4.2864e-08	4.49125e-05	0.992621	0.00733396	1.08042e-07	5.22493e-12	1.83077e-12	5.53185e-13	5.67108e-13	1.37849e-16	9.13336e-21	9.55167e-23	6.5038e-26	3.86159e-28	4.22319e-31	6.06006e-34	4.45499e-35	1.19386e-34	4.38418e-35	3.55271e-34	6.03338e-34	5.97753e-34	7.59859e-35	1.97961e-34	2.40625e-35	9.49578e-35	1.33913e-35	6.55083e-35	5.98162e-35	9.49789e-34	5.93375e-35	7.19216e-35	2.69101e-35	1.05272e-34	2.32615e-35	4.10654e-35	2.94118e-36	7.71624e-36	1.37908e-35	1.99376e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	0.997791	0	0	0	0	0	0.0022091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	4.05832e-30	9.55851e-24	3.5046e-18	1.95425e-15	2.97456e-11	2.58924e-09	8.26538e-09	2.71565e-06	0.983598	0.0163995	6.8739e-08	2.5771e-12	1.29441e-12	9.1007e-13	5.41336e-13	6.23999e-17	1.68296e-22	4.42327e-25	1.68146e-32	1.64904e-37	7.08422e-44	1.71453e-49	9.06666e-35	5.45943e-36	1.72816e-37	2.09686e-35	4.10489e-35	3.95809e-35	1.14595e-36	2.05061e-34	9.67317e-37	5.48537e-36	2.84831e-37	3.3897e-37	2.72659e-37	4.75197e-35	1.40312e-37	1.62177e-37	4.31222e-38	5.34535e-37	4.22721e-38	1.77918e-37	2.14553e-39	2.64369e-37	5.23011e-37	1.21218e-36	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_strictum	0	0	0	0	0	0	0	0	0.999347	0	0	0	0	0	0.000634207	1.87536e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	1.78354e-21	3.10862e-17	1.44525e-13	2.07646e-11	8.87e-10	1.58912e-06	3.31749e-07	0.000848166	0.998368	0.000779739	1.32787e-06	4.97486e-07	2.82115e-09	1.34148e-12	5.4354e-15	2.22174e-15	4.69698e-16	1.09659e-15	4.9971e-20	2.3823e-23	9.02126e-28	3.77002e-32	9.84115e-37	1.96989e-40	3.17798e-45	1.88741e-48	1.32308e-52	2.43069e-57	5.61448e-63	5.2833e-67	5.98803e-70	6.01769e-70	8.26913e-72	4.61388e-72	2.6587e-73	2.04798e-73	1.87501e-78	2.57807e-82	6.30295e-87	1.84717e-90	1.06096e-95	5.50008e-100	5.80219e-106	4.25755e-110	9.78907e-115	1.82192e-117	
L_setaceum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
