NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	2.06519e-10	1.25157e-07	9.77659e-06	0.0002791	0.00105847	0.00806217	0.00297207	0.0629024	0.848128	0.0758862	0.000700726	7.55208e-07	1.71199e-10	1.83043e-17	9.61252e-20	3.43593e-22	8.85553e-25	1.71761e-27	2.59083e-30	3.11907e-33	3.06035e-36	2.48973e-39	1.70373e-42	9.92624e-46	4.97505e-49	2.16427e-52	8.23542e-56	2.75964e-59	8.19198e-63	2.16553e-66	5.12137e-70	1.08802e-73	2.08402e-77	3.61067e-81	5.67475e-85	8.11131e-89	1.05683e-92	1.25767e-96	1.3694e-100	1.36637e-104	1.25099e-108	1.05214e-112	8.1363e-117	5.78968e-121	3.7967e-125	2.44075e-129	
N2	8.69391e-11	3.70982e-08	3.29275e-06	0.0001153	0.000509393	0.00393613	0.00204356	0.0645703	0.879229	0.0493461	0.000245746	8.73285e-07	6.13434e-09	3.03602e-11	7.95477e-14	1.09433e-16	5.06983e-20	7.12304e-22	5.26486e-26	3.15753e-28	1.72645e-32	2.11042e-35	1.35349e-39	1.28318e-42	4.50569e-47	1.20312e-49	6.35762e-53	1.07729e-56	2.87845e-61	8.87314e-64	8.88351e-69	1.03425e-71	4.17211e-76	6.05226e-80	3.8598e-84	1.43247e-86	5.14983e-92	8.96622e-96	4.6023e-100	8.65326e-103	3.56435e-108	4.51962e-112	2.99949e-117	4.79334e-120	9.82838e-125	4.7336e-128	
N3	8.84813e-14	9.90181e-11	1.97296e-08	8.77302e-07	5.89822e-06	0.000310322	0.000169269	0.0215867	0.966301	0.0116059	1.94421e-05	3.68054e-08	4.70697e-11	3.49482e-14	1.14949e-17	3.63641e-21	5.92462e-25	3.63327e-28	1.65259e-32	2.64849e-36	1.02831e-40	6.4243e-45	2.05091e-49	2.78941e-53	5.51373e-58	7.11898e-62	3.94133e-66	1.09425e-70	1.16438e-75	7.92764e-80	5.18454e-85	2.84868e-89	1.88673e-94	6.38717e-99	1.01108e-103	3.58803e-107	8.70982e-112	1.44264e-115	8.09092e-120	1.89222e-123	3.98301e-128	4.02605e-132	4.60876e-137	6.19558e-141	5.48283e-145	1.72734e-148	
N4	8.20612e-16	2.6721e-12	1.34483e-09	1.10068e-07	2.50523e-06	5.90582e-05	0.000150337	0.026516	0.967397	0.00587257	2.33901e-06	2.61843e-09	9.3447e-12	7.88186e-15	1.48622e-18	5.65565e-22	6.35042e-26	3.25626e-28	3.32046e-33	1.60151e-36	2.40065e-41	1.61708e-45	2.86779e-50	6.71537e-54	5.65014e-59	1.49322e-52	1.64988e-51	1.53124e-51	1.32772e-53	2.13689e-53	1.22996e-55	2.74547e-56	7.52543e-59	1.19872e-58	1.46259e-60	6.52432e-61	2.16441e-64	3.21431e-66	1.30763e-68	1.67003e-69	1.4183e-72	2.50559e-74	9.93102e-78	1.02788e-78	6.90173e-81	9.813e-82	
N5	2.90176e-18	3.05475e-14	6.33545e-11	6.48831e-09	4.84307e-07	1.76486e-05	0.000189645	0.00759817	0.981804	0.0103868	3.00445e-06	1.70493e-07	1.82611e-09	6.46897e-12	1.03138e-15	4.85072e-18	1.03987e-22	8.7929e-25	3.72241e-30	1.23478e-33	1.67285e-38	3.95054e-43	7.90075e-48	1.14328e-50	1.65561e-56	1.24556e-59	8.71742e-64	1.51311e-68	1.2057e-74	1.95265e-78	4.15344e-84	4.07414e-87	1.03923e-93	3.89552e-98	3.34454e-103	2.93046e-106	3.97514e-113	4.35884e-118	1.06316e-123	8.72686e-128	4.94563e-134	5.63022e-139	4.75528e-146	2.06863e-150	8.13642e-156	1.28321e-159	
N6	1.24262e-18	6.41678e-15	8.81473e-12	1.04068e-09	4.43389e-08	1.48594e-05	9.65494e-06	0.0033744	0.992037	0.00456171	2.37605e-06	5.28032e-09	4.03354e-11	6.55422e-14	2.08991e-17	1.2043e-20	3.20991e-24	2.34742e-26	8.10555e-31	9.75718e-34	8.1073e-38	1.45523e-41	1.33338e-45	1.07888e-48	5.02037e-53	1.16108e-55	3.42941e-59	3.35596e-63	5.42888e-67	2.37562e-68	1.48421e-71	6.80575e-73	4.56747e-76	1.25854e-77	6.83035e-80	1.03689e-80	2.08564e-84	1.32177e-86	2.28397e-89	7.99991e-91	3.88657e-94	2.6984e-96	4.68446e-100	8.69887e-102	3.51236e-104	1.67358e-105	
N7	1.81717e-26	7.61586e-21	6.48854e-16	1.02741e-13	2.92401e-10	1.10694e-07	4.35147e-08	4.51781e-05	0.992546	0.00740864	1.10527e-07	5.38173e-12	1.86558e-12	5.65983e-13	5.84051e-13	1.46841e-16	9.82078e-21	9.92052e-23	6.77114e-26	4.05268e-28	4.38214e-31	6.34437e-34	4.4644e-35	1.21535e-34	4.46683e-35	3.60141e-34	6.10914e-34	6.05237e-34	7.6909e-35	2.00751e-34	2.42911e-35	9.80072e-35	1.3703e-35	6.79974e-35	6.21177e-35	9.80717e-34	6.12556e-35	7.40482e-35	2.73276e-35	1.08246e-34	2.35481e-35	4.14732e-35	2.97271e-36	7.90731e-36	1.41667e-35	2.05812e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	0.997789	0	0	0	0	0	0.00221121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	4.44212e-30	1.04075e-23	3.73099e-18	2.0615e-15	3.10115e-11	2.62365e-09	8.33593e-09	2.73454e-06	0.98347	0.0165267	6.93424e-08	2.62417e-12	1.31211e-12	9.28818e-13	5.57494e-13	6.5967e-17	1.81031e-22	4.78493e-25	1.83646e-32	1.83205e-37	7.77243e-44	1.90417e-49	9.00838e-35	5.53333e-36	1.75783e-37	2.11713e-35	4.14416e-35	3.99711e-35	1.16514e-36	2.07593e-34	9.78581e-37	5.67759e-36	2.82322e-37	3.45358e-37	2.76162e-37	4.89365e-35	1.44473e-37	1.66473e-37	4.33567e-38	5.50305e-37	4.2486e-38	1.78747e-37	2.16892e-39	2.66261e-37	5.26689e-37	1.24068e-36	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
