NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	0.230331	0.209576	0.175415	0.135858	0.0976236	0.0651206	0.0402963	0.0230972	0.0122409	0.00598682	0.00269713	0.00111737	0.00042505	0.000148282	4.73916e-05	1.38654e-05	3.71126e-06	9.08429e-07	2.03297e-07	4.15905e-08	7.77831e-09	1.33002e-09	2.07972e-10	2.97476e-11	3.89369e-12	4.66568e-13	6.71158e-17	2.12848e-17	6.4636e-18	1.88006e-18	5.23959e-19	1.39957e-19	3.58432e-20	8.80424e-21	2.07498e-21	4.69408e-22	1.0198e-22	2.12903e-23	4.27546e-24	8.27306e-25	1.54775e-25	2.81886e-26	5.06845e-27	9.24788e-28	1.81588e-28	4.95343e-29	
N2	0.163119	0.174082	0.167749	0.147253	0.118452	0.0876631	0.0598358	0.0377165	0.0219629	0.0118124	0.00586435	0.0026854	0.00113338	0.000440584	0.000157659	5.19108e-05	1.57226e-05	4.37969e-06	1.12202e-06	2.64378e-07	5.73045e-08	1.14289e-08	2.09803e-09	3.54639e-10	5.52236e-11	7.92562e-12	1.04887e-12	1.28044e-13	1.44234e-14	1.49919e-15	1.43752e-16	1.27086e-17	1.03509e-18	7.76037e-20	5.35223e-21	3.39572e-22	1.98504e-23	1.07518e-24	5.48227e-26	2.74067e-27	1.46442e-28	9.39774e-30	7.61074e-31	7.49431e-32	9.42432e-33	2.31095e-33	
N3	0.00983084	0.0155171	0.0273749	0.0473418	0.0750621	0.106051	0.131984	0.144004	0.137463	0.114701	0.0836379	0.0533017	0.0297006	0.0144804	0.00618301	0.00231489	0.000760981	0.000219993	5.60255e-05	1.25925e-05	2.50293e-06	4.4085e-07	6.89556e-08	9.59922e-09	1.19195e-09	1.32314e-10	1.31601e-11	1.1754e-12	9.44842e-14	6.85058e-15	4.48984e-16	2.66558e-17	1.43653e-18	7.04183e-20	3.14603e-21	1.28348e-22	4.79048e-24	1.63882e-25	5.14776e-27	1.48731e-28	3.95976e-30	9.73619e-32	2.22078e-33	4.7724e-35	1.04189e-36	3.95603e-38	
N4	0.00479482	0.00868946	0.017935	0.0357298	0.0642237	0.101033	0.136886	0.158275	0.155342	0.129019	0.0905336	0.0536423	0.0268428	0.0113531	0.00406376	0.00123314	0.000317875	6.97728e-05	1.30745e-05	2.09742e-06	2.88894e-07	3.42692e-08	3.51184e-09	3.1189e-10	2.40813e-11	1.62161e-12	9.55353e-14	4.93947e-15	2.24813e-16	9.03411e-18	3.21474e-19	1.01588e-20	2.85877e-22	7.18348e-24	1.61602e-25	3.26305e-27	5.92836e-29	9.71447e-31	1.43907e-32	1.9315e-34	2.35399e-36	2.61066e-38	2.64155e-40	2.45528e-42	2.19859e-44	3.17175e-46	
N5	0.00173435	0.00350543	0.00860448	0.0206434	0.0441112	0.0808141	0.12473	0.160676	0.171815	0.152013	0.111069	0.066964	0.0333122	0.0136821	0.00464526	0.00130588	0.000304615	5.9105e-05	9.56599e-06	1.29535e-06	1.47231e-07	1.40943e-08	1.14037e-09	7.8266e-11	4.57304e-12	2.28316e-13	9.77586e-15	3.60282e-16	1.14699e-17	3.16554e-19	7.60001e-21	1.59271e-22	2.92318e-24	4.71387e-26	6.69993e-28	8.41899e-30	9.38068e-32	9.29483e-34	8.21277e-36	6.48856e-38	4.59567e-40	2.9254e-42	1.67773e-44	8.69336e-47	4.13986e-49	2.88581e-51	
N6	0.000347601	0.000826588	0.00247115	0.00722534	0.0187841	0.0418192	0.0784117	0.122795	0.159864	0.172542	0.154148	0.113921	0.0696546	0.0352646	0.0148052	0.00516507	0.00150125	0.000364651	7.42759e-05	1.27352e-05	1.84544e-06	2.26967e-07	2.37946e-08	2.13582e-09	1.64872e-10	1.09936e-11	6.35973e-13	3.20551e-14	1.4136e-15	5.47627e-17	1.87095e-18	5.65833e-20	1.52029e-21	3.64139e-23	7.80068e-25	1.49925e-26	2.59286e-28	4.04635e-30	5.71332e-32	7.3173e-34	8.52106e-36	9.04295e-38	8.76521e-40	7.78358e-42	6.49669e-44	8.68746e-46	
N7	1.80456e-12	1.72403e-10	1.5351e-08	1.01151e-06	4.56105e-05	0.00129317	0.020661	0.158218	0.445419	0.299328	0.0619498	0.00956298	0.00257954	0.000751416	0.000169212	2.04499e-05	1.27471e-06	4.36529e-08	8.94333e-10	1.17982e-11	1.06203e-13	6.82468e-16	3.2446e-18	1.17445e-20	3.31369e-23	7.4316e-26	1.34688e-28	2.00076e-31	2.46607e-34	2.5493e-37	2.23129e-40	1.66752e-43	1.07213e-46	5.97107e-50	2.89847e-53	1.23325e-56	4.62316e-60	1.53427e-63	4.52738e-67	1.19272e-70	2.81595e-74	5.97907e-78	1.14565e-81	1.99009e-85	3.20476e-89	6.26752e-93	
L_corymbiferum	0	0	0	0	0	0	0	0	0.981206	0	0	0	0	0	0.0187936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	8.83175e-17	4.5e-14	2.04749e-11	6.0722e-09	1.08756e-06	0.000107024	0.00506919	0.0945254	0.493737	0.360865	0.0424126	0.00251748	0.000450781	0.00024335	6.61157e-05	5.40715e-06	1.28114e-07	1.23176e-09	5.89236e-12	1.59546e-14	2.6707e-17	2.94665e-20	2.24971e-23	1.23488e-26	5.02601e-30	1.55588e-33	3.74254e-37	7.12355e-41	1.0899e-44	1.35889e-48	1.3974e-52	1.19795e-56	8.64328e-61	5.29386e-65	2.77389e-69	1.25224e-73	4.90192e-78	1.67371e-82	5.01174e-87	1.3227e-91	3.09112e-96	6.42418e-101	1.19208e-105	1.98247e-110	2.96522e-115	4.32473e-120	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
