NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	3.25062e-05	0.000725721	0.00787832	0.036211	0.0856626	0.206189	0.38011	0.257351	0.0255245	0.000315787	7.27396e-07	3.8247e-10	5.61629e-17	3.97768e-19	1.76495e-21	5.18898e-24	1.05499e-26	1.53306e-29	1.63378e-32	1.30305e-35	7.90372e-39	3.69261e-42	1.34222e-45	3.82556e-49	8.60019e-53	1.53148e-56	2.16621e-60	2.43712e-64	2.18103e-68	1.55066e-72	8.73603e-77	3.8844e-81	1.35562e-85	3.68638e-90	7.7387e-95	1.23949e-99	1.49251e-104	1.32616e-109	8.49088e-115	3.79803e-120	1.13888e-125	2.16168e-131	2.38688e-137	1.33863e-143	2.95922e-150	1.39713e-157	
N2	9.56945e-06	0.000270174	0.00376866	0.0221212	0.0598625	0.178082	0.385497	0.310194	0.0393453	0.000843508	6.13718e-06	1.21118e-07	1.92989e-10	2.27063e-12	1.24984e-15	8.40933e-18	1.43177e-21	4.8234e-24	3.64466e-28	4.62262e-31	7.21476e-35	1.85213e-38	9.03989e-43	2.57784e-45	3.13949e-50	9.15417e-54	1.04775e-57	3.04496e-61	1.25451e-66	2.60571e-70	1.52099e-75	1.71654e-78	2.67261e-84	1.07271e-88	1.62657e-94	1.41982e-97	4.12858e-104	8.63677e-109	1.05249e-114	5.90497e-119	8.8527e-126	1.77476e-130	3.69247e-138	4.49509e-143	2.03886e-150	4.34669e-156	
N3	2.66653e-09	3.58008e-07	1.6309e-05	0.000440234	0.00142613	0.0123516	0.0625853	0.439004	0.477529	0.00662692	2.02708e-05	4.25145e-08	2.89805e-11	2.21653e-14	6.24549e-18	2.08181e-21	2.11758e-25	4.35572e-29	1.88779e-33	1.9166e-37	7.05879e-42	3.48566e-46	6.0858e-51	4.86279e-55	3.82792e-60	1.00225e-64	1.10702e-69	2.24985e-74	6.33154e-80	1.08145e-84	1.86855e-90	3.54742e-95	3.96482e-101	1.6639e-106	1.66054e-112	1.51208e-116	2.85553e-122	4.9576e-127	1.15305e-132	1.33136e-137	4.96111e-144	3.80288e-149	2.86905e-156	7.55239e-162	4.95157e-169	3.78347e-175	
N4	3.24413e-11	1.20152e-08	1.24642e-06	6.64076e-05	0.000306851	0.00526366	0.0320093	0.410496	0.548114	0.00373776	4.82547e-06	1.05891e-08	8.81691e-12	1.14974e-14	2.51914e-18	2.51548e-21	1.00114e-25	1.40442e-28	1.96117e-33	4.74998e-37	5.33675e-42	3.32434e-46	2.1967e-51	5.83968e-55	1.18936e-60	1.49513e-51	1.6094e-51	3.47857e-52	3.29067e-54	6.13933e-55	1.60558e-57	8.0783e-58	1.68597e-60	8.66726e-62	5.92058e-65	2.0568e-65	1.854e-69	1.65846e-71	6.81301e-75	3.30008e-76	2.91005e-80	1.64307e-82	3.90452e-87	1.28748e-88	1.60154e-92	1.07582e-94	
N5	3.7232e-13	3.53379e-10	8.7094e-08	7.44228e-06	7.7799e-05	0.00169308	0.0162722	0.262169	0.712088	0.00765977	3.15612e-05	9.91044e-07	1.3725e-09	6.12121e-12	8.02938e-16	3.84024e-18	6.32002e-23	9.28018e-26	5.6175e-31	1.26191e-34	1.33467e-39	4.70073e-44	2.20047e-49	1.96579e-52	1.51488e-58	1.0645e-62	2.3072e-67	3.88507e-72	1.02172e-78	3.98483e-83	1.9063e-89	7.82393e-93	4.89793e-100	2.46394e-105	3.01601e-112	8.00204e-116	9.94336e-124	2.16849e-129	1.67236e-136	1.52359e-141	1.51831e-149	1.43299e-155	1.23297e-164	2.56367e-170	8.37708e-179	2.3161e-185	
N6	4.44599e-14	2.85713e-11	6.213e-09	6.52627e-07	8.87223e-06	0.00034124	0.00252632	0.124876	0.864038	0.00819622	1.20288e-05	3.05894e-08	4.87613e-11	8.487e-14	3.6785e-17	5.0714e-20	4.72299e-24	1.17477e-26	6.41222e-31	4.20871e-34	2.19042e-38	4.72046e-42	1.4397e-46	1.18798e-49	1.23025e-54	3.58713e-58	3.3445e-62	5.95934e-66	3.02875e-69	6.70457e-71	2.71601e-74	1.8236e-75	5.89166e-79	7.2303e-81	2.89204e-84	3.53744e-85	2.0626e-89	8.31649e-92	1.71577e-95	3.29941e-97	1.87766e-101	3.92285e-104	5.54857e-109	4.72392e-111	3.03627e-115	9.00431e-118	
N7	1.20059e-22	5.25774e-18	3.91422e-14	1.69023e-11	4.30535e-09	8.89071e-07	5.32217e-07	0.000982545	0.99108	0.0079356	3.68263e-07	5.95255e-11	6.78808e-12	1.30671e-12	6.69646e-13	1.79539e-16	5.78002e-21	5.46336e-23	6.90703e-26	4.24779e-28	3.228e-31	8.49666e-34	4.22291e-37	2.26936e-39	6.84839e-43	3.78493e-45	6.93948e-48	4.88151e-51	7.79479e-55	1.90273e-57	1.30231e-61	3.71461e-64	2.23748e-68	6.56376e-35	1.66666e-35	5.81444e-34	3.33785e-35	8.86445e-35	1.52831e-35	2.44117e-34	2.2611e-35	6.28779e-35	2.81725e-36	3.90867e-35	1.40978e-35	3.03462e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	0.997397	0	0	0	0	0	0.00260265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.4085e-26	4.35455e-21	1.46701e-16	3.39128e-13	4.08027e-10	1.67717e-08	1.17392e-07	6.67685e-05	0.982044	0.017889	2.31375e-07	4.75573e-12	3.92106e-12	1.59496e-12	5.96424e-13	1.02507e-16	9.61697e-23	1.0794e-25	6.44214e-33	5.59703e-38	9.66323e-45	2.16401e-50	8.94732e-35	8.48994e-36	1.43595e-37	8.82638e-36	1.60248e-35	3.10863e-35	7.99216e-37	2.30194e-34	1.44446e-36	9.24541e-36	3.1111e-37	3.08297e-37	1.52555e-37	2.07451e-35	5.39948e-38	1.55128e-37	1.87023e-38	6.48525e-37	1.68751e-38	1.58534e-37	8.86829e-40	3.00719e-37	5.8674e-37	1.25419e-36	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
