NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	0.0369441	0.191653	0.433842	0.300481	0.0368087	0.000272224	8.58204e-23	6.29294e-34	1.73237e-42	6.69346e-43	1.21234e-43	1.98252e-53	1.63e-63	9.13841e-74	4.06596e-84	1.5366e-94	4.68934e-105	1.09479e-115	2.24148e-126	4.10156e-137	6.6941e-148	8.90768e-159	1.37816e-169	1.75316e-180	2.07226e-191	2.29566e-202	2.36048e-213	2.03759e-224	9.62317e-221	3.2275e-231	6.11854e-242	7.32346e-253	6.22574e-264	4.55435e-275	3.15118e-286	2.09038e-297	1.33181e-308	8.16246e-320	0	0	5.28564e-40	5.28564e-40	5.28564e-40	5.28564e-40	5.28564e-40	5.28564e-40	
N2	0.0098747	0.0984233	0.362218	0.415427	0.109687	0.00436967	2.22316e-14	6.0479e-27	7.03242e-47	1.13565e-57	5.32843e-64	2.50902e-64	1.84898e-64	4.38945e-64	9.87961e-64	1.38218e-63	1.08201e-63	4.75347e-64	3.29357e-64	7.12158e-64	1.34885e-63	1.40502e-63	1.1014e-63	4.84551e-64	3.37103e-64	7.37848e-64	1.44548e-63	1.63753e-63	4.0668e-50	5.57343e-38	5.78329e-37	2.05437e-35	7.25044e-34	6.41888e-33	1.08737e-32	4.33442e-33	1.22565e-33	4.86119e-34	5.87561e-34	6.96753e-34	4.72321e-34	1.88067e-34	1.10939e-34	2.23394e-34	4.52068e-34	1.78105e-33	
N3	1.23741e-06	3.28075e-05	0.00103133	0.0303589	0.297516	0.67106	4.69549e-11	4.09711e-22	2.29814e-42	4.42457e-54	3.86108e-64	3.88121e-64	5.24651e-64	4.69374e-64	3.5782e-64	3.73187e-64	5.16963e-64	7.54723e-64	1.03552e-63	9.28342e-64	6.42903e-64	3.96255e-64	5.59899e-64	8.22385e-64	1.13055e-63	1.01426e-63	7.02507e-64	4.33099e-64	9.79629e-39	1.66081e-37	1.07345e-36	1.12406e-35	4.92535e-34	1.09518e-32	4.00072e-32	6.43544e-32	6.20694e-32	4.8862e-32	3.3216e-32	2.27405e-32	1.81634e-32	1.63749e-32	1.41267e-32	1.08559e-32	8.24835e-33	6.48335e-32	
N4	4.54935e-08	2.76136e-06	6.59499e-05	0.00177468	0.0618223	0.454376	0.423595	0.0583634	3.70735e-13	2.20168e-35	2.74361e-57	3.4175e-77	2.43668e-88	6.01667e-100	2.28833e-111	7.60399e-122	1.6667e-132	1.51905e-143	4.36783e-155	5.37708e-167	1.06173e-178	1.42943e-189	1.88789e-200	1.0792e-211	2.0141e-223	1.6575e-235	2.24464e-247	1.8194e-245	3.24159e-256	1.9608e-267	4.15789e-279	2.26224e-290	2.09711e-301	9.46944e-312	1.4822e-322	0	8.40974e-33	2.09465e-33	3.83988e-34	2.17122e-34	5.58635e-34	7.55804e-34	3.30509e-34	8.34862e-35	3.33442e-35	1.57119e-33	
N5	2.3509e-09	1.07614e-07	4.40893e-06	0.000152214	0.0142743	0.236995	0.511072	0.213853	0.0236483	3.30057e-23	2.54353e-44	7.43203e-64	2.41859e-64	2.26559e-65	4.65969e-66	1.95616e-65	1.60844e-64	3.56377e-64	2.38387e-64	6.14944e-65	1.03965e-65	1.97117e-65	1.6209e-64	3.59139e-64	2.40234e-64	6.19708e-65	1.0477e-65	1.98645e-65	1.86012e-39	1.60942e-38	1.7726e-38	6.00358e-39	8.64641e-39	1.31692e-36	1.78727e-34	1.84996e-33	4.22138e-33	1.11189e-33	1.68448e-34	3.01016e-35	7.60495e-35	1.43314e-34	8.09849e-35	2.1352e-35	3.90272e-36	2.72522e-34	
N6	2.07779e-11	2.52053e-09	1.39247e-07	1.15211e-06	0.000394429	0.0226195	0.220577	0.547736	0.208671	3.82132e-23	1.38931e-45	7.33892e-66	8.54418e-66	6.24983e-66	3.08346e-66	1.16702e-66	1.53967e-66	9.37695e-66	1.71827e-65	1.23703e-65	5.16018e-66	1.18565e-66	1.57188e-66	9.57954e-66	1.75542e-65	1.26379e-65	5.27199e-66	1.21179e-66	2.22783e-48	5.88133e-44	4.81873e-41	4.02307e-41	8.34e-41	3.25675e-40	2.42691e-39	1.70331e-35	8.50405e-33	6.38094e-33	3.0722e-33	1.03697e-33	3.04044e-34	3.33432e-34	4.54969e-34	3.36816e-34	1.61882e-34	1.14138e-33	
N7	2.45554e-19	6.26713e-15	3.29935e-11	1.16133e-18	1.35918e-13	3.49728e-09	1.32266e-05	0.0100697	0.989917	7.58846e-23	1.08112e-46	3.10472e-69	1.31202e-81	1.91228e-86	6.12127e-96	3.76363e-106	9.36663e-119	2.71684e-131	2.68288e-143	4.77521e-155	4.77516e-165	1.58934e-175	2.20809e-188	3.71871e-201	2.1993e-213	1.07959e-225	2.70551e-238	3.81988e-251	3.47389e-264	3.88212e-277	1.54064e-289	5.12134e-302	8.75354e-315	0	0	4.81836e-34	1.11318e-33	2.29251e-33	2.58215e-33	1.75157e-33	8.05713e-34	2.936e-34	1.63376e-34	2.11146e-34	2.23582e-34	7.58992e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.07561e-23	4.11343e-18	2.16578e-13	5.832e-18	1.84527e-18	1.17446e-12	8.85091e-08	0.00100908	0.998991	1.46915e-12	1.77808e-37	4.80971e-63	1.05277e-87	1.02152e-110	1.78048e-134	1.96808e-160	7.975e-187	5.01031e-213	2.2215e-236	3.40139e-260	1.06308e-284	2.37029e-311	0	0	0	0	0	0	0	0	0	0	0	4.94066e-324	1.74522e-36	1.07058e-37	6.0477e-36	1.51841e-34	9.92995e-34	5.88181e-35	1.74809e-36	3.44734e-38	2.71687e-38	6.70024e-37	4.38174e-36	4.40848e-36	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
