#Nodes with GAIN events with expectation above 0.5
N3: 2.1088
N4: 0.836065
N5: 0.51968
N6: 0.946519
N7: 1.04824
L_gallicum: 1.00101
N9: 0.755571
N11: 0.699056
N12: 2.09119
N13: 0.683085
L_gyaricum: 1.00017
N21: 0.961934
L_trigynum: 1.00013
L_tenue1: 1.02465
L_maritimum: 1.34386
L_catharticum: 1.52525
N32: 0.500375
N34: 1.29448
L_rupestre: 2.54264
L_vernale: 1.03801
L_striatum: 2.50156
N36: 2.77854
Ra_linoides: 3.09488
N40: 1.09777
N42: 1.03469
N43: 1.27972
N44: 1.50824
N52: 2.20392
L_aroanium1: 2.91648
N53: 0.833946
N55: 0.912847
N56: 1.05644
L_hologynum: 1.1406
L_narbonense: 1.68727
N57: 0.734014
L_decumbens1: 1.28392
L_stelleroides: 3.88227
N58: 2.4424
L_viscosum: 0.579122
L_pubescens: 0.929204
Re_indica: 7.50558
Total number of gain events: 71.1631
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Total number of loss events: 0
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_littorale: 0.982507
L_macraei: 0.999627
Total number of duplication events: 2.93972
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.341614
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
N12: 0.507115
N28: 0.961865
L_littorale: 1.00019
L_macraei: 1
N33: 0.906349
He_micranthum: 1.0002
N36: 0.990257
N52: 0.856924
N54: 0.560611
L_hologynum: 0.981481
Total number of transitions in base number: 10.0637
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N10:ML=9 to L_suffruticosum1:ML=36  sum expections= 0.00456487
	HEURISTIC ESTIMATION:	Gains = 3	Losses = 0	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.420364	0	0.0270694	1.04733e-34	5.82692e-16
N3	2.1088	0	0.00987346	8.23144e-33	1.06071e-14
N4	0.836065	0	2.41793e-07	1.07092e-34	1.83407e-05
N5	0.51968	0	7.90013e-09	4.22526e-35	5.08996e-05
N6	0.946519	0	1.07372e-09	1.08442e-34	2.7916e-06
N7	1.04824	0	1.35806e-11	4.76487e-35	1.26849e-07
L_corymbiferum	0.0100961	0	0	0	3.29998e-11
N8	0.00908687	0	4.56084e-20	7.77941e-197	3.27832e-11
L_gallicum	1.00101	0	0	0	2.16583e-13
L_strictum	0.00100925	0	0	0	2.16582e-13
N9	0.755571	0	1.22487e-11	9.10148e-35	1.13434e-07
L_setaceum	0.302762	0	9.1956e-15	0	3.65066e-09
N10	0.286192	0	1.27042e-14	1.68947e-24	1.37693e-09
L_suffruticosum1	3	0	0	0	1
L_tenuifolium1	0.0165695	0	0	0	4.01819e-10
N11	0.699056	0	3.55238e-10	2.8158e-36	3.32782e-06
N12	2.09119	0	0.045451	3.12303e-33	0.507115
N13	0.683085	0	7.3313e-06	6.86917e-44	0.00232503
N14	0.447164	0	1.43834e-08	8.13122e-36	4.61119e-05
L_album	0.0271207	0	9.56728e-19	0	8.33089e-08
L_mucronatum1	0.0271207	0	9.56728e-19	0	8.33089e-08
N15	0.449824	0	1.98045e-08	4.92235e-59	4.61334e-05
N16	0.0218061	0	1.50735e-14	2.99667e-45	6.57463e-08
N17	0.00212074	0	3.49329e-19	1.66816e-66	1.55804e-10
N18	0.000414766	0	6.24615e-23	1.08623e-84	9.07138e-13
L_arboreum	0.000119003	0	3.06212e-23	0	7.74208e-15
L_elegans	0.000119003	0	3.06212e-23	0	7.74208e-15
