NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	3.49395e-09	5.82884e-07	9.21377e-05	0.000104093	0.00203875	5.81797e-05	6.71419e-05	0.00495052	0.388647	0.53047	0.0727974	0.000772282	1.46345e-06	7.90154e-10	1.60049e-13	6.87283e-19	4.66771e-21	2.3644e-23	9.24882e-26	2.87122e-28	7.2316e-31	1.52208e-33	2.68135e-36	4.00542e-39	5.13023e-42	5.68788e-45	5.50394e-48	4.71839e-51	3.57519e-54	2.408e-57	1.44892e-60	7.82338e-64	3.80567e-67	1.68348e-70	6.75084e-74	2.46109e-77	8.17764e-81	2.48229e-84	6.89735e-88	1.76566e-91	4.15019e-95	8.96982e-99	1.7848e-102	3.27311e-106	5.54274e-110	9.04231e-114	
N2	1.11849e-09	3.00984e-07	1.56427e-05	6.52878e-05	0.000481642	8.80637e-06	2.16347e-05	0.00658052	0.566531	0.402684	0.0234939	0.000116884	1.33968e-07	3.39117e-10	6.36159e-12	1.08109e-13	3.30976e-16	2.19357e-18	1.19915e-21	3.18473e-23	8.57581e-27	8.27549e-29	1.95418e-32	1.58892e-35	8.8495e-40	2.33557e-42	5.17709e-45	8.99973e-48	4.41723e-51	4.65294e-55	3.93473e-59	8.84962e-62	9.95717e-65	9.84943e-68	2.7064e-71	2.1407e-75	8.18411e-80	9.03545e-83	7.95744e-86	5.52987e-89	8.1716e-93	3.2742e-97	7.6851e-102	1.41211e-104	4.05798e-109	8.50777e-112	
N3	3.56511e-12	2.02613e-09	3.20618e-07	4.90153e-07	2.47862e-06	7.88921e-08	4.74218e-06	0.00653216	0.945969	0.0472852	0.000205605	2.24583e-07	2.3711e-10	1.11158e-12	1.89263e-15	2.86876e-18	1.2447e-21	1.56984e-24	2.53948e-28	1.8257e-31	1.93235e-35	4.54774e-39	2.17079e-43	2.58912e-47	2.80419e-51	8.77262e-55	1.43928e-58	1.26905e-62	4.1385e-67	3.16614e-71	1.77836e-75	3.14586e-79	1.99187e-83	9.71394e-88	1.97259e-92	1.62884e-96	7.28832e-101	4.32427e-104	1.4107e-107	3.57547e-111	1.80471e-115	2.54132e-119	1.51821e-123	5.31738e-127	8.26142e-131	3.63766e-134	
N4	3.00127e-13	2.76518e-10	2.22806e-08	1.38343e-07	4.72823e-07	4.02293e-08	7.33545e-06	0.0139315	0.959538	0.0264904	3.18808e-05	1.42916e-08	2.10598e-11	9.36281e-13	1.06187e-14	1.39329e-17	5.87732e-21	6.39144e-23	1.47783e-27	4.23644e-30	9.89006e-34	9.60037e-38	1.64438e-42	4.10138e-46	3.25435e-50	2.06558e-45	1.9433e-44	1.58115e-45	8.60864e-48	1.22449e-48	8.89949e-51	2.66119e-51	1.60058e-51	3.94618e-52	1.18213e-54	1.43743e-55	2.6485e-58	4.62631e-59	4.37409e-60	2.28508e-62	3.10694e-65	1.13394e-66	8.10428e-70	9.18335e-71	2.15198e-72	1.92499e-73	
N5	7.6263e-14	6.24469e-11	3.58666e-09	3.09057e-08	1.31907e-07	1.7773e-07	1.44451e-05	0.00741008	0.962446	0.0300985	3.0726e-05	7.70279e-08	8.75699e-09	2.08684e-09	1.57599e-11	5.2968e-14	4.69359e-18	8.80086e-20	7.7936e-25	2.15911e-27	6.87931e-31	1.62641e-35	9.91118e-41	5.95954e-44	1.32408e-47	1.95674e-50	4.44328e-54	3.5978e-59	9.22963e-65	4.08067e-68	2.01088e-72	1.36241e-75	1.30101e-79	4.68998e-85	7.92572e-91	4.12515e-94	3.14947e-99	1.00393e-102	5.2526e-107	1.07124e-112	6.45661e-119	6.97665e-123	2.50746e-129	3.07184e-133	6.4215e-138	4.53549e-142	
N6	4.1187e-16	6.66373e-13	5.31117e-10	1.65449e-09	6.28634e-08	7.98036e-09	5.3381e-07	0.0019556	0.984917	0.0131139	1.29325e-05	4.64349e-09	2.17164e-11	3.73965e-13	1.56113e-15	2.08853e-18	7.18094e-22	5.32924e-24	1.48458e-28	2.64823e-31	8.28464e-35	5.8321e-39	1.12158e-43	6.24655e-47	1.0722e-50	1.28629e-53	6.94617e-57	1.97402e-61	2.09231e-66	2.15818e-69	4.52019e-72	2.33676e-73	4.83735e-75	6.43278e-78	5.08367e-81	2.52997e-82	2.26077e-85	7.30409e-87	1.24517e-88	1.3772e-91	4.79163e-95	7.98728e-97	2.02748e-100	3.67412e-102	2.65651e-104	5.36131e-106	
N7	1.7487e-22	4.51613e-17	3.66985e-12	1.51893e-11	1.91791e-09	2.77884e-12	8.09735e-11	2.46111e-05	0.985859	0.0141162	2.75358e-07	1.81025e-12	1.39607e-16	2.59112e-20	9.52105e-25	6.13201e-30	1.42254e-33	3.00244e-35	4.8828e-39	1.54396e-41	1.69679e-44	7.76743e-34	1.0268e-34	3.10719e-34	2.14786e-34	1.33662e-33	4.54643e-33	7.60562e-34	1.30182e-34	6.13931e-34	2.45867e-34	1.58075e-33	4.66344e-33	8.7071e-34	2.6009e-34	1.97068e-33	2.89697e-34	1.46961e-33	4.76883e-33	9.01828e-34	1.3882e-34	6.16824e-34	5.19107e-35	1.5296e-34	4.62128e-34	2.35506e-33	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	8.27789e-25	1.51147e-18	1.64898e-14	1.81326e-13	2.41636e-11	2.57061e-14	1.40299e-12	9.80439e-07	0.972615	0.0273837	4.64018e-08	1.66814e-14	1.10238e-18	4.14519e-21	4.51749e-24	4.49045e-30	1.89924e-35	1.41116e-38	1.18265e-46	7.59915e-52	6.59697e-57	1.67449e-48	4.97023e-37	1.9284e-35	1.03051e-36	1.08081e-34	5.8978e-33	6.61973e-35	5.84567e-37	3.85841e-35	1.07121e-36	1.09399e-34	5.90453e-33	6.65139e-35	1.00473e-36	1.29913e-34	1.23434e-36	1.08534e-34	5.91128e-33	6.71773e-35	5.86616e-37	3.86776e-35	1.09943e-37	6.4044e-37	1.72806e-35	9.40089e-35	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_strictum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	9.74581e-19	7.13599e-15	3.24802e-11	3.58742e-11	1.16362e-09	7.75708e-11	3.32564e-08	0.000497057	0.997293	0.00220988	5.17177e-07	5.69614e-11	1.12288e-13	1.56731e-15	5.52755e-18	2.35822e-21	5.82301e-25	2.56131e-27	4.99358e-32	6.91337e-35	3.62945e-38	1.40962e-40	3.87581e-42	2.02477e-42	1.28648e-45	6.88794e-48	1.30059e-50	4.16188e-53	9.47904e-55	5.60816e-55	1.34409e-58	5.00075e-61	3.34185e-63	1.09427e-64	2.83905e-66	2.18839e-66	1.27334e-70	2.6402e-73	2.14282e-76	4.26823e-81	3.4499e-86	1.25173e-89	3.48522e-95	6.31821e-99	6.83047e-103	1.15018e-106	
L_setaceum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	5.62705e-20	1.70819e-17	4.89988e-12	1.7572e-13	6.15356e-10	1.86894e-08	3.89916e-07	2.2779e-05	0.999951	2.5798e-05	2.52082e-07	4.98791e-09	2.14388e-12	3.90986e-15	1.92879e-15	1.43876e-19	4.91095e-20	2.83893e-19	2.47094e-25	9.50054e-30	1.64402e-34	2.49993e-22	2.23755e-21	1.17093e-18	1.18461e-20	2.83533e-21	2.58437e-22	2.4379e-22	2.79008e-21	2.34201e-18	1.28844e-20	3.06318e-21	5.98532e-21	9.5913e-20	2.03232e-18	2.91212e-15	5.71069e-18	1.09429e-18	9.35093e-20	5.44107e-23	2.33213e-26	1.20551e-27	1.30497e-31	1.49063e-33	1.94331e-35	1.92947e-37	
L_suffruticosum1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
L_tenuifolium1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
