#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.972633
L_gyaricum: 0.997521
N21: 0.873944
Re_indica: 1.4754
Total number of gain events: 6.77995
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N3: 0.560364
N12: 1.22264
L_nodiflorum: 1.00119
L_corymbulosum: 0.962067
L_catharticum: 1.0652
L_kingii: 1.98527
S_digynum: 2.88555
L_narbonense: 1.12941
L_grandiflorum: 0.835842
N58: 1.17235
Re_indica: 0.904831
Total number of loss events: 17.2556
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.9999
N28: 0.925273
L_littorale: 0.996385
L_macraei: 0.999997
L_rupestre: 0.972898
He_micranthum: 0.967093
L_aroanium1: 0.893147
Total number of duplication events: 8.69402
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0.00236934
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
L_suffruticosum1: 0.999951
N12: 0.823063
L_littorale: 1.00364
L_macraei: 1
L_kingii: 0.991306
L_vernale: 0.950057
N36: 0.946776
L_nervosum: 0.880396
N54: 0.587742
L_hologynum: 1.00022
Total number of transitions in base number: 9.81683
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.0169914	0.248429	0.00156532	3.34554e-15	0.000164236
N3	0.157294	0.560364	0.000533234	7.29764e-16	0.000103409
N4	0.0141439	0.0426934	2.36895e-06	7.85846e-21	4.35715e-07
N5	0.0174974	0.00738563	4.90689e-07	6.58839e-19	1.1432e-07
N6	0.0225775	0.0341171	4.69527e-07	1.38166e-22	3.49793e-08
N7	0.0402522	0.0373448	3.79042e-07	1.45303e-34	8.14915e-09
L_corymbiferum	0.000888358	0.0149805	1.9331e-09	0	3.66985e-12
N8	0.0133734	8.30314e-05	1.84992e-09	3.8163e-39	5.79533e-11
L_gallicum	0.972633	1.75589e-05	2.36989e-11	0	6.62501e-13
L_strictum	0.000104362	0.0274872	2.43449e-11	0	1.64898e-14
N9	0.0155968	0.0250662	7.15939e-08	1.46213e-25	2.98317e-09
L_setaceum	0.00956963	0.0112834	1.23481e-09	0	7.47418e-11
N10	0.00645128	0.00816234	1.4386e-09	4.71615e-20	2.80202e-10
L_suffruticosum1	4.1392e-18	9.7781e-18	1.9999	1.17093e-18	0.999951
L_tenuifolium1	0.000238648	0.000241392	6.15532e-10	0	4.89988e-12
N11	0.0647455	0.0329821	3.60685e-05	1.65945e-13	0.000220587
N12	0.00490578	1.22264	0.163492	5.18521e-09	0.823063
N13	0.00971162	0.0111044	0.00901935	2.04208e-12	0.00188232
N14	0.00457826	0.00567772	0.000680537	7.80737e-17	3.71769e-05
L_album	0.00045408	0.000501733	4.66241e-06	0	4.16149e-08
L_mucronatum1	0.00045408	0.000501733	4.66241e-06	0	4.16149e-08
