NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	0.000194421	0.00221999	0.015045	0.049662	0.0876303	0.186655	0.299694	0.259931	0.0883782	0.0101732	0.000411182	6.44049e-06	4.33533e-08	1.37681e-10	2.2369e-13	3.68873e-18	8.39693e-20	1.495e-21	2.12709e-23	2.46364e-25	2.36018e-27	1.89629e-29	1.29335e-31	7.56829e-34	3.83564e-36	1.69772e-38	6.61198e-41	2.28109e-43	7.01339e-46	1.93226e-48	4.79421e-51	1.07611e-53	2.19426e-56	4.08009e-59	6.94272e-62	1.08462e-64	1.56034e-67	2.07284e-70	2.54944e-73	2.91009e-76	3.08983e-79	3.05806e-82	2.8269e-85	2.44595e-88	1.99223e-91	1.78836e-94	
N2	0.000107071	0.001274	0.00951703	0.0360899	0.0690084	0.168786	0.315455	0.29337	0.0939215	0.0119355	0.00050329	3.19713e-05	4.54307e-07	5.47936e-08	4.05152e-10	2.81694e-11	1.05298e-13	3.5593e-15	7.5225e-18	1.35466e-19	1.64739e-22	1.47279e-24	1.39932e-27	2.12287e-29	1.07282e-32	5.71325e-35	7.58762e-38	1.96884e-39	6.2286e-43	2.20388e-45	2.01795e-48	3.57609e-50	7.59696e-54	1.6346e-56	8.52571e-60	1.02784e-61	1.54324e-65	2.17275e-68	6.49114e-72	5.59823e-74	5.97371e-78	5.80896e-81	9.57814e-85	5.8201e-87	1.15902e-90	9.12924e-93	
N3	2.53394e-07	1.24524e-05	0.000197534	0.00317802	0.00359611	0.0201366	0.174524	0.507953	0.25675	0.032497	0.00113137	2.33898e-05	2.10412e-07	2.05395e-09	8.15226e-12	3.87853e-14	7.20766e-17	1.72555e-19	1.7092e-22	2.50982e-25	1.43471e-28	1.40992e-31	5.86084e-35	5.61117e-38	1.69016e-41	1.18249e-44	3.53084e-48	2.71567e-51	5.48376e-55	2.48168e-58	4.78085e-62	2.36436e-65	3.03042e-69	8.54727e-73	1.00575e-76	3.27618e-80	2.69965e-84	5.22484e-88	4.06202e-92	9.92698e-96	5.4183e-100	7.64035e-104	4.49314e-108	1.0886e-111	1.89508e-115	7.63538e-119	
N4	1.00935e-08	1.08819e-06	3.04574e-05	0.000765859	0.00224839	0.00969564	0.1259	0.478042	0.329093	0.0524736	0.00171498	3.42119e-05	2.13592e-07	1.12519e-08	2.45283e-11	5.36798e-13	4.0399e-16	2.89161e-18	1.04932e-21	3.21622e-24	6.46249e-28	9.91992e-31	1.3389e-34	2.59952e-37	2.10833e-41	2.38131e-44	6.52253e-48	3.23094e-50	1.53805e-54	1.04743e-57	1.83877e-61	5.82501e-64	1.75451e-68	5.609e-72	4.0954e-76	8.08835e-79	1.6018e-83	3.10526e-87	1.11334e-91	1.42523e-94	1.88476e-99	2.42055e-103	4.63966e-108	3.94862e-111	9.45141e-116	9.8769e-119	
N5	3.52306e-10	9.36587e-08	5.62026e-06	0.000216059	0.00101362	0.0061685	0.0983717	0.412904	0.380187	0.0958304	0.00501963	0.000280943	2.6374e-06	5.55673e-07	8.53e-10	4.29458e-11	1.63772e-14	1.87999e-16	3.0585e-20	1.10535e-22	9.45619e-27	1.42013e-29	8.34217e-34	2.67357e-36	8.43746e-41	9.92483e-44	2.39078e-47	2.01839e-49	3.49429e-54	1.86522e-57	2.38039e-61	1.25192e-63	1.3746e-68	3.20014e-72	1.41672e-76	4.78179e-79	3.54844e-84	5.03722e-88	9.15992e-93	2.03646e-95	1.05121e-100	1.03569e-104	9.3538e-110	1.41184e-112	1.62547e-117	2.91999e-120	
N6	5.2162e-11	1.09847e-08	5.1826e-07	4.99704e-05	0.000160789	0.00048175	0.0190081	0.264847	0.645294	0.0686577	0.00148485	1.55924e-05	7.2994e-08	1.2899e-09	2.8919e-12	3.93075e-14	3.77838e-17	2.33174e-19	1.2848e-22	4.79523e-25	1.55572e-28	2.91054e-31	6.37784e-35	1.05234e-37	1.54085e-41	1.55842e-44	3.53694e-48	1.16791e-50	9.83156e-55	7.37056e-58	1.50197e-61	4.24857e-64	2.25315e-68	9.86327e-72	1.10679e-75	2.16397e-78	8.0184e-83	2.48899e-86	1.94043e-90	2.79516e-93	7.66675e-98	1.57995e-101	6.7369e-106	6.82296e-109	2.79641e-113	2.92054e-116	
N7	3.55955e-19	4.79743e-15	3.54518e-13	3.23793e-09	2.14148e-07	2.90713e-09	1.67984e-06	0.00332808	0.962129	0.0345264	1.50749e-05	1.76225e-09	9.80199e-14	1.70995e-17	9.05076e-22	1.38319e-25	2.66016e-30	1.47402e-34	5.66128e-39	4.37339e-41	1.482e-42	3.13981e-42	6.71356e-45	3.43465e-47	3.15575e-50	1.71406e-52	2.89662e-55	5.05887e-57	4.97242e-60	4.22429e-62	1.01662e-64	1.51897e-66	1.14213e-69	5.21475e-72	7.56877e-75	7.912e-77	4.36533e-80	1.08825e-82	7.17464e-86	4.77864e-88	1.75136e-91	3.06994e-94	1.18811e-97	5.7657e-100	3.54058e-103	2.56515e-105	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	3.37931e-23	3.24129e-18	1.68911e-15	7.27511e-11	4.44577e-09	5.94802e-11	1.22525e-08	0.00028406	0.941729	0.0579842	2.93e-06	3.08238e-11	1.467e-16	3.60313e-19	1.16868e-23	5.27627e-26	3.43963e-31	7.4871e-34	3.70074e-40	2.54466e-44	6.78392e-51	1.34735e-55	1.89986e-62	1.73666e-67	1.25736e-74	7.59489e-80	5.34664e-86	1.56894e-89	3.79788e-97	9.71731e-102	6.9427e-108	3.12205e-112	5.68226e-121	2.40301e-80	4.12177e-37	4.64467e-35	5.92549e-37	6.18923e-37	3.04882e-38	2.96892e-36	3.58869e-38	3.65453e-38	8.9064e-40	7.42421e-38	2.08681e-39	1.99292e-37	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
