#Nodes with GAIN events with expectation above 0.5
N3: 1.89835
N6: 0.506049
N7: 0.616296
L_gallicum: 0.945561
N11: 0.503459
N12: 1.34595
L_gyaricum: 0.990709
N21: 0.89399
L_maritimum: 0.623005
L_catharticum: 0.923314
N28: 0.629021
L_kingii: 1.24008
L_rupestre: 1.59845
L_striatum: 0.858033
He_micranthum: 1.16315
Ra_linoides: 1.37777
N40: 0.694396
N42: 0.576146
N43: 0.68464
N44: 1.2675
N52: 0.905945
L_aroanium1: 1.69873
N53: 0.57952
N55: 0.674724
N56: 0.978507
L_hologynum: 2.60305
L_narbonense: 1.04153
N57: 0.76377
L_decumbens1: 0.920415
L_stelleroides: 2.76555
N58: 1.72154
L_pubescens: 0.707349
Re_indica: 4.5628
Total number of gain events: 47.5586
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N3: 1.24446
N12: 0.763037
L_nodiflorum: 0.740082
L_corymbulosum: 0.685742
L_catharticum: 1.2261
L_kingii: 1.69241
L_vernale: 1.28583
S_digynum: 2.10862
N36: 1.1203
Ra_linoides: 0.542691
N40: 0.508156
N52: 0.830563
L_nervosum: 1.32797
N56: 1.21519
L_hologynum: 0.570219
L_narbonense: 1.26513
L_grandiflorum: 0.564157
L_stelleroides: 1.7009
N58: 1.43909
L_pubescens: 0.56218
Re_indica: 2.7099
Total number of loss events: 33.1819
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N12: 0.576469
N28: 0.83386
L_littorale: 1.00715
L_macraei: 1.00002
He_micranthum: 1.00198
N36: 0.999487
N52: 0.948463
L_hologynum: 0.709273
L_narbonense: 0.710143
Total number of duplication events: 11.5333
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N10:ML=9 to L_suffruticosum1:ML=36  sum expections= 7.5288e-16
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 0	Duplications = 2	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.349171	0.250156	0.0196543	0
N3	1.89835	1.24446	0.0885194	0
N4	0.343915	0.165247	0.00441164	0
N5	0.235527	0.0593768	0.00268616	0
N6	0.506049	0.221529	0.00176372	0
N7	0.616296	0.353844	0.000470618	0
L_corymbiferum	0.0107835	0.0420089	2.17386e-07	0
N8	0.028759	0.00227834	2.14401e-07	0
L_gallicum	0.945561	0.00326676	4.578e-09	0
L_strictum	0.00312088	0.0608269	4.51852e-09	0
N9	0.380352	0.204794	0.000296231	0
L_setaceum	0.181761	0.125247	7.47695e-06	0
N10	0.143701	0.0879123	5.39126e-06	0
L_suffruticosum1	0	0	2	0
L_tenuifolium1	0.00647427	0.0057382	2.12563e-10	0
N11	0.503459	0.185854	0.00805166	0
N12	1.34595	0.763037	0.576469	0
N13	0.279811	0.0109895	0.0104083	0
N14	0.15495	0.0430352	0.00124518	0
L_album	0.0124127	0.00759106	1.35851e-05	0
L_mucronatum1	0.0124127	0.00759106	1.35851e-05	0
N15	0.130967	0.0180522	0.00124784	0
N16	0.00458514	0.000921113	1.07563e-05	0
N17	0.00166991	0.00159681	1.5368e-07	0
N18	0.00162678	0.00162474	5.30475e-09	0
L_arboreum	0.00590322	0.00582003	2.68883e-10	0
L_elegans	0.00590322	0.00582003	2.68883e-10	0
L_campanulatum	0.0116597	0.0115744	5.5742e-09	0
N19	0.0027476	0.000638368	1.54527e-07	0
L_capitatum	0.013747	0.0156979	4.73401e-09	0
N20	0.0151099	0.000453929	4.307e-09	0
L_gyaricum	0.990709	0.00731619	3.94223e-10	0
L_tauricum	0.00970573	0.0263126	3.94239e-10	0
L_flavum	0.0291299	0.0253076	1.09169e-05	0
L_nodiflorum	0.128271	0.740082	0.0116351	0
N21	0.89399	0.221566	0.0104793	0
N22	0.346092	0.15126	0.00335983	0
N23	0.0438757	0.136593	9.77256e-05	0
L_corymbulosum	0.000328725	0.685742	8.71013e-08	0
L_trigynum	0.314997	0.000410705	8.68206e-08	0
L_tenue1	0.253498	0.031635	9.88395e-05	0
L_maritimum	0.623005	0.208319	0.00385928	0
L_catharticum	0.923314	1.2261	0.00446855	0
N24	0.43651	0.396069	0.00432461	0
N25	0.194673	0.308717	0.000873785	0
