NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	5.9126e-09	1.7489e-06	8.21185e-05	0.0015216	0.00427334	0.0248701	0.0119317	0.140936	0.734872	0.0801331	0.00137591	2.84568e-06	1.22702e-09	1.62191e-13	5.61058e-19	2.74211e-21	9.64882e-24	2.55208e-26	5.24464e-29	8.59564e-32	1.14746e-34	1.26944e-37	1.18081e-40	9.34862e-44	6.36556e-47	3.76139e-50	1.94388e-53	8.84613e-57	3.56616e-60	1.28027e-63	4.11231e-67	1.18674e-70	3.08824e-74	7.27082e-78	1.55326e-81	3.01873e-85	5.34974e-89	8.66288e-93	1.2841e-96	1.74516e-100	2.17756e-104	2.49756e-108	2.63579e-112	2.56169e-116	2.29731e-120	2.04365e-124	
N2	2.85516e-09	6.51841e-07	3.48948e-05	0.000767387	0.00252309	0.0144751	0.00889534	0.135514	0.782625	0.0546899	0.000471001	3.31052e-06	1.79256e-08	1.31383e-10	4.11054e-13	1.20238e-15	5.95935e-19	7.97378e-21	8.96135e-25	6.46786e-27	5.99218e-31	1.09916e-33	9.68534e-38	1.81976e-40	7.47696e-45	1.79805e-47	1.21103e-50	3.20779e-54	1.19003e-58	4.28466e-61	7.53176e-66	1.52371e-68	7.43121e-73	1.327e-76	9.63722e-81	4.04992e-83	2.22527e-88	5.33786e-92	3.99185e-96	8.53907e-99	5.56682e-104	1.08775e-107	1.21091e-112	2.40279e-115	6.30004e-120	4.46063e-123	
N3	3.19671e-12	2.02895e-09	2.63686e-07	7.49595e-06	4.39305e-05	0.00127287	0.000579754	0.0334898	0.946439	0.0181124	5.38806e-05	1.78814e-07	2.54549e-10	2.68972e-13	1.2672e-16	6.39167e-20	1.29376e-23	8.86214e-27	6.09899e-31	1.29752e-34	8.03479e-39	7.28114e-43	3.72662e-47	7.51917e-51	1.91112e-55	2.69009e-59	1.88323e-63	7.60781e-68	1.18991e-72	1.05171e-76	1.13077e-81	8.77347e-86	8.1832e-91	3.2464e-95	6.09821e-100	1.82879e-103	5.91148e-108	1.28686e-111	1.06723e-115	2.90348e-119	9.29996e-124	1.30731e-127	2.27611e-132	4.00245e-136	5.20924e-140	2.08851e-143	
N4	3.94522e-14	7.14078e-11	2.2354e-08	1.1158e-06	2.0688e-05	0.000279844	0.000487823	0.0361114	0.952239	0.0108523	7.44907e-06	1.36511e-08	4.74582e-11	5.60789e-14	1.71251e-17	1.00031e-20	1.36265e-24	7.7302e-27	1.24351e-31	8.4839e-35	1.87382e-39	2.00144e-43	5.01132e-48	1.76072e-51	1.78307e-56	1.36796e-50	1.19926e-49	9.85217e-50	1.01396e-51	1.73845e-51	1.05467e-53	2.70846e-54	8.44004e-57	7.86881e-57	1.0919e-58	4.81601e-59	2.07148e-62	3.68293e-64	1.9534e-66	2.67174e-67	2.784e-70	5.71198e-72	3.13234e-75	3.79147e-76	2.86856e-78	4.10641e-79	
N5	2.19651e-16	1.24347e-12	1.42484e-09	9.41365e-08	4.88017e-06	9.07277e-05	0.000548083	0.0119024	0.969329	0.0181155	8.8518e-06	5.36805e-07	6.12709e-09	2.95271e-11	7.69277e-15	4.42836e-17	1.33758e-21	1.26343e-23	8.30787e-29	4.13247e-32	7.9259e-37	3.14102e-41	8.67833e-46	1.5242e-48	3.24528e-54	2.76374e-57	2.67792e-61	6.77857e-66	8.71005e-72	2.20021e-75	7.0294e-81	8.62708e-84	3.78994e-90	1.90226e-94	2.35653e-99	2.72658e-102	6.43348e-109	1.14084e-113	5.04056e-119	6.69328e-123	6.32411e-129	1.24414e-133	2.1072e-140	1.79115e-144	1.22783e-149	3.03547e-153	
N6	7.45684e-17	2.18579e-13	1.75273e-10	1.31527e-08	3.42611e-07	5.53404e-05	3.04801e-05	0.00522888	0.987244	0.00743476	6.05097e-06	1.43605e-08	7.2553e-11	9.54741e-14	3.11486e-17	1.49375e-20	3.25662e-24	1.60326e-26	3.83308e-31	2.26571e-34	7.71834e-39	6.78585e-43	2.92732e-47	1.04196e-50	2.21338e-55	2.16386e-58	3.33449e-62	1.6782e-66	8.07215e-71	2.42951e-72	1.17895e-75	3.55166e-77	2.18578e-80	3.63924e-82	1.53522e-84	1.65695e-85	3.19931e-89	1.85958e-91	3.3262e-94	1.06602e-95	4.83552e-99	3.22686e-101	6.48747e-105	1.28693e-106	5.43852e-109	2.25884e-110	
N7	5.84654e-25	1.36099e-19	6.67708e-15	6.81547e-13	1.03962e-09	3.02236e-07	7.81087e-08	6.56722e-05	0.992812	0.00712203	1.39474e-07	6.60209e-12	4.75834e-16	6.37211e-21	1.50131e-26	5.53813e-32	6.24478e-35	1.30218e-36	3.24809e-40	6.54241e-43	2.47199e-46	9.5666e-50	2.39474e-53	3.05948e-56	2.66456e-60	5.58921e-34	9.25788e-34	5.61792e-34	8.16061e-35	2.18705e-34	2.93828e-35	1.07453e-34	1.72188e-35	7.13827e-35	6.40516e-35	8.68865e-34	6.12735e-35	7.60739e-35	3.17335e-35	1.17795e-34	2.71521e-35	4.73339e-35	3.87012e-36	1.02623e-35	1.90619e-35	2.40722e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.31115e-28	2.03952e-22	4.57196e-17	1.3656e-14	1.1862e-10	8.77403e-09	1.64652e-08	4.02396e-06	0.982761	0.0172348	2.66723e-08	1.25739e-12	1.43432e-15	2.70954e-20	8.91098e-27	5.48962e-32	1.14146e-37	6.34135e-41	6.23323e-49	1.19716e-54	5.09039e-62	1.33493e-51	3.37615e-37	1.23627e-36	1.99769e-37	2.83557e-35	5.61194e-35	2.83525e-35	2.03906e-37	1.25264e-36	3.53793e-38	5.96466e-37	5.22972e-39	1.97531e-37	1.9469e-37	5.59319e-35	1.84457e-37	2.15466e-37	6.11288e-38	6.52605e-37	6.04284e-38	1.18894e-37	4.02175e-40	3.22263e-39	3.35281e-39	4.8226e-37	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
