#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.982774
L_gyaricum: 0.993846
N21: 0.745717
L_vernale: 0.918776
N36: 0.929543
L_nervosum: 0.635971
N56: 0.821084
L_stelleroides: 0.523835
Re_indica: 1.54855
Total number of gain events: 12.4462
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
L_nodiflorum: 0.815129
L_corymbulosum: 0.909392
L_catharticum: 1.05175
S_digynum: 2.83362
L_grandiflorum: 0.804744
N58: 0.97636
Re_indica: 1.11324
Total number of loss events: 12.9907
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.99985
N28: 0.928515
L_littorale: 1.00169
L_macraei: 1
L_rupestre: 0.962823
He_micranthum: 0.943353
L_aroanium1: 0.78679
Total number of duplication events: 8.26659
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N12: 0.950663
L_kingii: 0.987596
L_vernale: 0.930217
N36: 0.955383
L_nervosum: 0.783025
N54: 0.595374
L_hologynum: 0.963615
Total number of demi-dulications events: 7.65628
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0570116	0.0758447	0.00137718	0.0131571
N3	0.36076	0.313289	0.00221561	0.0253987
N4	0.0235776	0.033673	1.81387e-05	0.00110834
N5	0.0358623	0.00506383	1.50008e-05	0.00037171
N6	0.0263435	0.030226	2.23546e-06	0.000336545
N7	0.0521356	0.0479624	7.90085e-07	0.000295896
L_corymbiferum	0.000937978	0.00799457	2.08321e-10	3.42123e-07
N8	0.0104503	0.000276184	9.99363e-10	3.65065e-07
L_gallicum	0.982774	8.72731e-06	3.04132e-09	1.36364e-06
L_strictum	0.000422989	0.0176538	3.95503e-11	1.98299e-08
N9	0.0191906	0.0212228	1.71655e-07	7.92035e-05
L_setaceum	0.0109677	0.0111927	2.77865e-09	9.52236e-06
N10	0.00785489	0.00810204	2.44661e-09	6.07007e-06
L_suffruticosum1	3.26328e-08	2.94568e-18	1.99985	5.34251e-08
L_tenuifolium1	0.000592328	0.000559899	2.63714e-13	6.08221e-08
N11	0.117216	0.0147447	8.54785e-06	0.00105999
N12	0.0975847	0.160939	0.011073	0.950663
N13	0.145242	0.00216071	0.000176438	0.0349675
N14	0.0202879	0.00447633	1.53197e-05	0.00126578
L_album	0.0010787	0.000922191	1.35109e-07	3.9892e-06
L_mucronatum1	0.0010787	0.000922191	1.35109e-07	3.9892e-06
N15	0.0178911	0.00205812	1.54471e-05	0.00126639
N16	0.000145721	1.64049e-05	9.0437e-08	3.2421e-06
N17	6.8218e-06	8.88573e-06	7.56467e-10	1.34916e-08
N18	9.90116e-06	9.89438e-06	1.55021e-11	1.40268e-10
L_arboreum	0.000654121	0.000654454	4.65574e-13	2.13966e-12
L_elegans	0.000654121	0.000654454	4.65574e-13	2.13966e-12
L_campanulatum	0.00134724	0.00134756	1.59682e-11	1.42411e-10
N19	0.000307467	2.56365e-06	7.58651e-10	1.3503e-08
L_capitatum	0.0016985	0.0020058	1.36126e-11	1.25155e-10
N20	0.00585712	4.43895e-06	1.26702e-11	1.14745e-10
L_gyaricum	0.993846	6.14765e-06	4.47474e-13	1.03001e-11
L_tauricum	0.00121728	0.00737728	8.92145e-13	9.40308e-12
L_flavum	0.00298885	0.00286204	9.09565e-08	3.25657e-06
L_nodiflorum	0.00862111	0.815129	0.000154871	0.0362731
N21	0.745717	0.0115683	3.2002e-05	0.00577796
N22	0.097044	0.0137922	1.00124e-05	0.000363084
N23	0.00417535	0.0427085	2.07331e-07	4.57233e-06
L_corymbulosum	9.51417e-06	0.909392	3.96466e-14	9.41793e-09
L_trigynum	0.0908033	0.000189621	2.91214e-10	8.70305e-09
L_tenue1	0.0549403	0.00286533	2.66652e-07	6.32416e-06
L_maritimum	0.156605	0.0217244	1.15386e-05	0.000514969
L_catharticum	0.0780343	1.05175	2.93812e-05	0.000249791
