NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	6.12356e-09	1.8047e-06	7.73124e-05	0.00152055	0.00406434	0.0213574	0.0108648	0.136273	0.739112	0.0852099	0.00151643	3.26368e-06	1.46711e-09	2.02284e-13	6.36184e-19	3.17556e-21	1.14115e-23	3.08222e-26	6.46775e-29	1.08232e-31	1.47512e-34	1.66607e-37	1.5821e-40	1.27866e-43	8.88759e-47	5.36073e-50	2.82789e-53	1.31358e-56	5.40518e-60	1.98068e-63	6.49379e-67	1.91279e-70	5.08073e-74	1.22097e-77	2.66241e-81	5.28171e-85	9.55455e-89	1.57935e-92	2.38982e-96	3.31562e-100	4.22358e-104	4.94569e-108	5.32895e-112	5.28814e-116	4.84248e-120	4.39808e-124	
N2	2.95737e-09	6.62449e-07	3.3073e-05	0.000763265	0.00235634	0.0120733	0.00810652	0.13228	0.785892	0.0579747	0.000516156	3.40315e-06	1.85e-08	1.3995e-10	4.57934e-13	1.41397e-15	7.23496e-19	1.01227e-20	1.16407e-24	8.88563e-27	7.82432e-31	1.58154e-33	1.28955e-37	2.47329e-40	1.02658e-44	2.5387e-47	1.73962e-50	4.76769e-54	1.82462e-58	6.80019e-61	1.21313e-65	2.59305e-68	1.26853e-72	2.3654e-76	1.78753e-80	7.73384e-83	4.3314e-88	1.06409e-91	7.84442e-96	1.83637e-98	1.13438e-103	2.19196e-107	2.69314e-112	5.66136e-115	1.32382e-119	1.01141e-122	
N3	3.11995e-12	1.96255e-09	2.35459e-07	6.94606e-06	3.91961e-05	0.00102711	0.000534257	0.0334726	0.946164	0.0186992	5.62073e-05	1.8247e-07	2.64754e-10	2.90089e-13	1.41138e-16	7.65475e-20	1.59336e-23	1.11735e-26	7.77827e-31	1.70832e-34	1.00987e-38	9.65597e-43	4.84906e-47	1.01468e-50	2.64402e-55	3.82194e-59	2.7121e-63	1.13472e-67	1.80659e-72	1.64761e-76	1.81454e-81	1.50632e-85	1.38506e-90	5.8855e-95	1.1234e-99	3.35102e-103	1.08898e-107	2.40468e-111	1.92202e-115	5.64731e-119	1.72419e-123	2.43429e-127	4.3541e-132	8.19611e-136	1.07609e-139	4.46609e-143	
N4	3.94474e-14	6.98967e-11	2.02195e-08	1.03995e-06	1.84931e-05	0.000222881	0.000466199	0.0361897	0.951839	0.0112552	7.90232e-06	1.397e-08	4.97917e-11	6.09717e-14	1.94569e-17	1.27831e-20	1.78926e-24	1.04342e-26	1.69135e-31	1.20623e-34	2.4409e-39	2.9034e-43	6.70364e-48	2.55154e-51	2.63748e-56	1.66774e-50	1.47039e-49	1.17302e-49	1.23509e-51	2.20232e-51	1.22351e-53	3.57725e-54	1.07144e-56	1.08035e-56	1.53628e-58	6.82266e-59	2.96168e-62	5.23117e-64	2.57644e-66	3.93367e-67	3.7115e-70	7.51996e-72	4.28466e-75	5.71009e-76	3.95881e-78	6.16371e-79	
N5	2.23896e-16	1.23797e-12	1.32907e-09	8.8961e-08	4.38776e-06	7.44466e-05	0.000542497	0.0121231	0.968606	0.0186393	9.29957e-06	5.58431e-07	6.57497e-09	3.26495e-11	8.87398e-15	5.62584e-17	1.74484e-21	1.67847e-23	1.10558e-28	5.74565e-32	9.76553e-37	4.40033e-41	1.14366e-45	2.13775e-48	4.66976e-54	4.05691e-57	4.00491e-61	1.04104e-65	1.35201e-71	3.55954e-75	1.20247e-80	1.5811e-83	6.94987e-90	3.6467e-94	4.6331e-99	5.43015e-102	1.3077e-108	2.32179e-113	9.31847e-119	1.44107e-122	1.20885e-128	2.40615e-133	4.20644e-140	4.09027e-144	2.65417e-149	7.1317e-153	
N6	7.11501e-17	2.0663e-13	1.58953e-10	1.20324e-08	3.21222e-07	4.8821e-05	2.9499e-05	0.00530304	0.986962	0.00765008	6.35264e-06	1.46502e-08	7.39499e-11	9.99288e-14	3.34872e-17	1.80469e-20	4.00138e-24	2.00386e-26	4.80547e-31	2.95218e-34	9.22317e-39	8.87412e-43	3.56132e-47	1.39865e-50	3.00718e-55	2.9755e-58	4.65938e-62	2.38364e-66	9.99828e-71	2.98412e-72	1.43746e-75	4.86995e-77	2.81715e-80	5.10432e-82	2.18524e-84	2.37413e-85	4.62546e-89	2.66978e-91	4.43609e-94	1.57959e-95	6.51078e-99	4.30708e-101	8.80429e-105	1.91947e-106	7.66166e-109	3.44031e-110	
N7	5.75145e-25	1.34406e-19	6.34143e-15	6.69335e-13	1.08145e-09	2.70109e-07	7.34647e-08	6.6443e-05	0.992664	0.00726918	1.44965e-07	6.65427e-12	4.81943e-16	6.58925e-21	1.59627e-26	6.50552e-32	7.10691e-35	1.48891e-36	3.67673e-40	7.5148e-43	2.56582e-46	1.07612e-49	2.53423e-53	3.50835e-56	3.08609e-60	5.53744e-34	9.15099e-34	5.55671e-34	8.01714e-35	2.16384e-34	2.81995e-35	1.15545e-34	1.75864e-35	7.87747e-35	7.08997e-35	9.56704e-34	6.73495e-35	8.19825e-35	3.1021e-35	1.25123e-34	2.61428e-35	4.49437e-35	3.68277e-36	1.05689e-35	1.93693e-35	2.54744e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.32508e-28	2.05439e-22	4.29773e-17	1.37023e-14	1.1868e-10	7.75429e-09	1.5303e-08	4.01854e-06	0.982522	0.0174739	2.76716e-08	1.24952e-12	1.43689e-15	2.76575e-20	9.33576e-27	6.55362e-32	1.38761e-37	7.78612e-41	7.64117e-49	1.52243e-54	5.60229e-62	1.51338e-51	3.01173e-37	1.22877e-36	1.98329e-37	2.78974e-35	5.52062e-35	2.78894e-35	1.98638e-37	1.23807e-36	3.05284e-38	6.52922e-37	5.3298e-39	2.18676e-37	2.1565e-37	6.13975e-35	2.02734e-37	2.31728e-37	5.69173e-38	7.06744e-37	5.61641e-38	1.10201e-37	3.72636e-40	3.43022e-39	3.27416e-39	5.11669e-37	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_strictum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
