#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.982537
L_gyaricum: 0.993788
N21: 0.745718
L_vernale: 0.948066
N36: 0.92368
L_nervosum: 0.625166
N56: 0.814579
L_stelleroides: 0.526137
Re_indica: 1.53322
Total number of gain events: 12.4115
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
L_nodiflorum: 0.817409
L_corymbulosum: 0.909697
L_catharticum: 1.05639
L_grandiflorum: 0.804733
N58: 0.963481
Re_indica: 1.14434
Total number of loss events: 10.4213
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.99986
N28: 0.925172
L_littorale: 1.00185
L_macraei: 1
L_rupestre: 0.959774
He_micranthum: 0.960883
L_aroanium1: 0.7801
Total number of duplication events: 8.30115
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N12: 0.943948
L_kingii: 0.9879
L_vernale: 0.959874
N36: 0.950221
L_nervosum: 0.775039
N54: 0.598407
L_hologynum: 0.956636
Total number of demi-dulications events: 7.57135
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N35:ML=9 to S_digynum:ML=6  sum expections= 0.262771
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 3	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0566549	0.0786214	0.00164358	0.0112602
N3	0.362701	0.328787	0.00247302	0.0243931
N4	0.0244255	0.0347992	2.56184e-05	0.000884781
N5	0.0354125	0.0045557	1.39878e-05	0.000293333
N6	0.0283082	0.0322706	3.03779e-06	0.000298339
N7	0.0467946	0.0420637	1.18433e-06	0.000100098
L_corymbiferum	0.000827664	0.00803068	9.27409e-10	3.14343e-07
N8	0.010544	0.000277234	1.05253e-09	3.28709e-07
L_gallicum	0.982537	7.4405e-06	1.1868e-10	1.5303e-08
L_strictum	0.000213037	0.0176829	9.49546e-11	1.54296e-08
N9	0.020748	0.0228677	4.18923e-07	6.34345e-05
L_setaceum	0.0119248	0.012163	2.56307e-08	5.12996e-06
N10	0.00759243	0.00785824	3.16406e-08	5.21306e-06
L_suffruticosum1	3.88212e-18	3.89305e-18	1.99986	1.82292e-08
L_tenuifolium1	0.000370504	0.000343303	7.62484e-13	5.31125e-08
N11	0.118551	0.0155918	8.85781e-06	0.00101905
N12	0.0768424	0.177352	0.0193606	0.943948
N13	0.144744	0.0018536	0.000201315	0.0326395
N14	0.0211391	0.00538699	2.62336e-05	0.00110212
L_album	0.00042229	0.000266731	1.60622e-07	3.28698e-06
L_mucronatum1	0.00042229	0.000266731	1.60622e-07	3.28698e-06
N15	0.0174963	0.00172037	1.82982e-05	0.00111065
N16	0.000145442	1.67667e-05	1.10001e-07	2.67189e-06
N17	6.91895e-06	9.08064e-06	9.64947e-10	1.04412e-08
N18	1.00693e-05	1.00536e-05	2.07179e-11	1.02005e-10
L_arboreum	0.000221671	0.000222059	6.52065e-13	1.46214e-12
L_elegans	0.000221671	0.000222059	6.52065e-13	1.46214e-12
L_campanulatum	0.000451539	0.000451912	2.13707e-11	1.0347e-10
N19	0.000313232	2.6055e-06	9.67902e-10	1.04494e-08
L_capitatum	0.000566246	0.000879406	1.82084e-11	9.06099e-11
N20	0.00591205	4.57109e-06	1.69411e-11	8.34384e-11
L_gyaricum	0.993788	8.29939e-06	1.20253e-12	6.43981e-12
L_tauricum	0.000223221	0.00644387	1.20207e-12	6.43363e-12
L_flavum	0.00296859	0.00284234	1.11066e-07	2.68258e-06
L_nodiflorum	0.0069524	0.817409	0.000153637	0.0338133
N21	0.745718	0.0117869	5.14341e-05	0.00568394
N22	0.0963353	0.0131234	1.26204e-05	0.000338591
N23	0.00369921	0.0423017	2.55582e-07	4.13051e-06
L_corymbulosum	1.87753e-05	0.909697	3.44949e-10	8.35734e-09
L_trigynum	0.0904125	9.56454e-05	3.44901e-10	7.70494e-09
L_tenue1	0.0537637	0.00205698	2.99591e-07	6.68925e-06
L_maritimum	0.154907	0.0209224	1.40029e-05	0.000651655
L_catharticum	0.0800467	1.05639	1.94991e-05	0.00095595
N24	0.0604142	0.044165	2.99855e-05	0.00096412
N25	0.0357987	0.0256038	5.72695e-06	0.000208039
N26	0.0029597	0.0283718	4.91007e-08	6.85853e-06
N27	0.0130642	0.00361623	1.50261e-06	0.00145521
N28	0.000523209	0.000424652	0.925172	0.000595612
C_selaginoides	0.0188329	0.0192433	0.074109	0.000874913
N29	0.00198837	0.00201431	0.0726338	0.000105671
L_littorale	0.00229717	0.00230759	1.00185	1.34753e-05
N30	0.00121609	0.00121738	0.00181762	6.75497e-06
N31	0.000476359	0.000477677	3.67537e-05	1.35736e-07
L_macraei	2.25423e-05	2.38186e-05	1	1.87589e-08
L_prostratum	0.00296508	0.00296635	1.9824e-06	1.33838e-08
L_oligophyllum	0.00424884	0.00425143	3.87378e-05	1.47478e-07
N32	0.000896811	0.000484171	1.02086e-08	3.1761e-05
N33	0.00180561	0.00123383	6.35174e-06	0.0117771
L_kingii	0.0118381	0.0763144	5.67739e-05	0.9879
N34	0.0373193	0.00820405	0.0231548	0.00248648
L_rupestre	0.0143933	0.0520681	0.959774	0.0164739
L_vernale	0.948066	0.0684866	0.00303581	0.959874
L_striatum	0.0249918	0.0250158	3.03691e-08	6.56836e-06
N35	0.00318017	0.13497	5.61817e-09	5.59556e-07
He_micranthum	0.120539	0.0178994	0.960883	0.0851692
S_digynum	0	3	0	0
N36	0.92368	0.0786829	0.0472501	0.950221
N37	0.00275306	0.000802358	2.73758e-07	0.00283911
N38	0.000806831	0.000541189	8.18629e-09	0.000233569
N39	0.00269073	0.00262464	1.69681e-10	3.56207e-05
L_acuticarpum	0.00124871	0.00124971	1.52434e-13	4.14969e-07
L_gracile	0.00124871	0.00124971	1.52434e-13	4.14969e-07
L_heterostylum	0.00478777	0.00472267	1.67987e-10	3.60357e-05
L_africanum	0.00734512	0.00701433	8.976e-09	0.000269673
L_comptonii	0.0108005	0.00851262	1.03795e-06	0.00311522
Ra_linoides	0.112588	0.116783	2.08908e-05	0.00125996
N40	0.0889806	0.162221	0.00120093	0.00912388
N41	0.0692315	0.0286253	0.00037353	0.002812
N42	0.116044	0.0661093	0.000385901	0.00427968
N43	0.112507	0.0719707	0.000132352	0.00407304
N44	0.132914	0.130865	5.27317e-05	0.0026569
N45	0.000942111	0.000973615	6.38226e-09	1.43018e-05
N46	0.000134434	0.000137152	7.69491e-13	2.57817e-07
N47	0.000229678	0.000228937	5.00518e-14	7.24478e-09
N48	0.000355086	0.000355385	1.58245e-14	7.65074e-10
N49	0.000227208	0.000227868	2.72067e-15	6.08646e-10
N50	0.000212119	0.000212299	1.33777e-16	6.83161e-11
L_alpinum	0.000207781	0.000207855	4.97391e-18	1.00133e-11
L_punctatum1	0.000207781	0.000207855	4.97391e-18	1.00133e-11
L_perenne	0.000217158	0.000217412	1.0779e-16	6.86857e-11
L_lewisii	0.00113305	0.00113396	2.19233e-15	6.26695e-10
L_leonii	0.00315278	0.003154	2.61863e-12	7.99025e-10
N51	0.0004943	0.000491232	4.36596e-14	7.38887e-09
L_austr_mauritanicum	0.00156153	0.00156507	4.88112e-14	3.64104e-09
L_austriacum	0.00156153	0.00156507	4.88112e-14	3.64104e-09
L_pallescens	0.00576451	0.0057677	1.60814e-09	2.6379e-07
L_pycnophyllum	0.00929966	0.00933452	7.85026e-08	1.44451e-05
N52	0.267991	0.180039	0.173095	0.0489803
L_aroanium1	0.24842	0.171816	0.7801	0.0135438
L_nervosum	0.625166	0.403872	0.0121899	0.775039
N53	0.0869791	0.10652	7.73114e-05	0.00144954
N54	0.0536564	0.0343948	0.0348578	0.598407
N55	0.190572	0.0469432	0.0410355	0.242052
N56	0.814579	0.0251807	0.00426622	0.0818852
L_bienne	0.00160106	0.000669741	3.97666e-09	6.23801e-05
L_usitatissimum	0.00160106	0.000669741	3.97666e-09	6.23801e-05
L_hologynum	0.0960363	0.184629	0.0663552	0.956636
L_narbonense	0.171205	0.200476	0.0512109	0.315496
N57	0.0737974	0.225146	3.10837e-05	0.00299599
L_decumbens1	0.246471	0.0344543	1.79922e-05	0.00303166
L_grandiflorum	0.0253119	0.804733	2.40774e-05	0.000252264
L_stelleroides	0.526137	0.487872	0.00193967	0.0262359
N58	0.159454	0.963481	0.000811548	0.00535152
N59	0.014901	0.0449511	5.99289e-05	8.50454e-05
N60	0.00796862	0.0125443	6.76362e-06	7.03528e-06
L_hirsutum	0.0162286	0.0174035	1.21136e-06	4.21544e-06
L_seljukorum	0.0162286	0.0174035	1.21136e-06	4.21544e-06
L_viscosum	0.0342301	0.0399981	1.01081e-05	1.43011e-05
L_pubescens	0.0712653	0.10814	8.44318e-05	0.000435535
Re_indica	1.53322	1.14434	0.0390505	0.391787
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
L_corymbiferum	0.555125	0.529129	0.00416042	0.0372302
