NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	4.19021e-05	0.00108349	0.00720813	0.034171	0.0303687	0.0743939	0.220204	0.337599	0.224082	0.0625963	0.00776204	0.000473776	1.59128e-05	3.24334e-07	4.34613e-09	4.08305e-11	2.83146e-13	1.02792e-17	6.69897e-19	3.94942e-20	2.13083e-21	1.06232e-22	4.93406e-24	2.14991e-25	8.84108e-27	3.44909e-28	1.28226e-29	4.56071e-31	1.55733e-32	5.12102e-34	1.6261e-35	4.99815e-37	1.49037e-38	4.31974e-40	1.21919e-41	3.35608e-43	9.02359e-45	2.37298e-46	6.11097e-48	1.54286e-49	3.82323e-51	9.30962e-53	2.23093e-54	5.27512e-56	1.24063e-57	3.18303e-59	
N2	1.00746e-05	0.000430755	0.0039144	0.0225063	0.0220479	0.0590735	0.21414	0.381987	0.233237	0.056694	0.00553145	0.000411567	1.36323e-05	2.39426e-06	6.27659e-08	1.26007e-08	2.25775e-10	2.99349e-11	3.80534e-13	3.4939e-14	3.12055e-16	1.9644e-17	1.47426e-19	8.37696e-21	4.30912e-23	1.85771e-24	2.70785e-26	2.49948e-27	1.0409e-29	5.33308e-31	1.26682e-32	1.04707e-33	3.96324e-36	1.66765e-37	3.33322e-39	2.24957e-40	7.74055e-43	2.63857e-44	4.35308e-46	2.49735e-47	7.69243e-50	2.11845e-51	2.91121e-53	1.51498e-54	1.41613e-56	8.19606e-58	
N3	2.42424e-09	1.0032e-06	2.67097e-05	0.00128488	0.000868171	0.00391164	0.0804749	0.495923	0.359106	0.055292	0.00299833	0.000111122	2.54879e-06	7.04285e-08	9.80602e-10	1.6069e-11	1.25958e-13	1.2668e-15	6.33456e-18	4.56829e-20	1.61771e-22	9.6741e-25	3.14885e-27	1.97358e-29	6.43861e-32	4.1136e-34	1.60672e-36	9.89925e-39	3.1114e-41	1.65021e-43	5.37242e-46	2.61648e-48	6.44179e-51	2.71606e-53	7.04688e-56	2.8679e-58	5.71944e-61	2.07298e-63	4.70858e-66	1.80358e-68	3.87507e-71	1.55771e-73	5.32575e-76	2.3599e-78	8.92288e-81	3.83914e-83	
N4	5.71593e-11	6.35555e-08	3.63103e-06	0.000281244	0.000465728	0.0020245	0.0567319	0.470695	0.399017	0.0669555	0.00371567	0.000107617	2.04632e-06	2.491e-07	2.79352e-09	1.90547e-10	7.08904e-13	2.1255e-14	4.11886e-17	6.39754e-19	8.03441e-22	7.76944e-24	7.94291e-27	7.54154e-29	6.53805e-32	7.25034e-34	3.31342e-36	6.72921e-38	5.36835e-41	6.57716e-43	3.23792e-45	4.99744e-47	2.79492e-50	1.87782e-52	6.05053e-55	7.40407e-57	3.4257e-60	1.58643e-62	3.40695e-65	3.47976e-67	1.40215e-70	5.20549e-73	8.64986e-76	8.15749e-78	1.65372e-80	1.80864e-82	
N5	1.2542e-12	4.08029e-09	6.34632e-07	7.01839e-05	0.000254436	0.00139796	0.043643	0.416089	0.432059	0.0977109	0.00825593	0.000491717	1.85187e-05	9.31442e-06	7.88875e-08	1.22222e-08	2.16818e-11	1.06518e-12	8.73194e-16	1.70291e-17	8.71359e-21	8.81317e-23	3.72573e-26	4.6566e-28	1.57851e-31	2.47197e-33	1.26116e-35	4.00184e-37	9.79474e-41	1.11956e-42	4.8848e-45	1.12461e-46	2.00264e-50	9.53215e-53	2.29317e-55	4.10074e-57	6.27407e-61	1.94268e-63	2.582e-66	3.77385e-68	5.14109e-72	1.26744e-74	1.09255e-77	1.3935e-79	1.42358e-82	2.11163e-84	
N6	8.71776e-14	2.26263e-10	2.41641e-08	8.19385e-06	5.69846e-05	8.02004e-05	0.00663956	0.203028	0.712972	0.0750662	0.00211412	3.42774e-05	4.56291e-07	1.86483e-08	1.58376e-10	5.3126e-12	1.88092e-14	3.58983e-16	9.03861e-19	1.26339e-20	2.38953e-23	2.45062e-25	4.01392e-28	3.77411e-30	5.99989e-33	6.48046e-35	2.74009e-37	3.82193e-39	5.05525e-42	4.87261e-44	2.11924e-46	2.78857e-48	2.4769e-51	1.69717e-53	5.58986e-56	6.34294e-58	5.10184e-61	3.10842e-63	9.10603e-66	8.92214e-68	6.62801e-71	3.48024e-73	9.55604e-76	9.10912e-78	2.91623e-80	3.03171e-82	
N7	2.90747e-22	5.54797e-17	8.63215e-15	3.64438e-10	1.03489e-07	5.94776e-10	4.39322e-07	0.00188649	0.956162	0.0419301	2.10474e-05	3.44602e-09	4.52755e-13	2.46234e-16	5.58065e-20	2.28514e-23	2.14798e-27	4.43234e-31	1.70963e-35	1.72786e-39	3.83929e-44	2.57736e-48	3.76916e-53	2.07866e-57	2.59999e-62	3.76364e-61	1.20272e-59	3.32365e-60	5.39149e-59	5.23611e-59	6.08895e-61	1.37409e-62	5.39272e-64	5.42963e-63	8.9397e-65	1.48678e-66	4.07632e-69	4.24839e-71	2.06854e-73	2.78372e-75	5.48951e-78	4.46992e-80	1.94674e-82	2.63291e-84	1.96114e-86	2.54802e-88	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	2.04797e-26	2.71007e-20	3.08134e-17	7.31202e-12	2.09108e-09	7.63054e-12	2.29965e-09	0.000131959	0.933079	0.0667848	4.00104e-06	6.11308e-11	5.84139e-16	3.09035e-18	6.90902e-22	5.98373e-24	3.4451e-28	1.79295e-30	3.99507e-36	1.59667e-39	2.59928e-45	4.14701e-49	5.0657e-55	5.11352e-59	4.80118e-65	5.12189e-69	1.75866e-73	4.45176e-76	7.4343e-82	1.2186e-84	1.29045e-88	2.13808e-91	1.8796e-97	1.24209e-100	9.90984e-105	1.10123e-107	5.19419e-114	1.71934e-118	1.05609e-123	7.91086e-127	2.71545e-133	6.10844e-138	1.26061e-143	6.10838e-147	1.47315e-152	6.63592e-156	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
