NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	2.07479e-10	3.38995e-07	3.6077e-05	0.000634701	0.00201397	0.0262331	0.00371911	0.0707666	0.806023	0.0887834	0.00178498	4.78193e-06	3.1891e-09	7.88861e-13	1.73462e-18	1.39618e-20	8.83569e-23	4.57559e-25	1.99822e-27	7.53344e-30	2.49788e-32	7.39465e-35	1.97887e-37	4.8368e-40	1.08925e-42	2.27693e-45	4.4463e-48	8.15591e-51	1.41209e-53	2.31741e-56	3.61834e-59	5.39281e-62	7.69468e-65	1.05384e-67	1.38862e-70	1.76415e-73	2.16498e-76	2.5709e-79	2.95871e-82	3.30462e-85	3.58673e-88	3.78741e-91	3.8952e-94	3.90686e-97	3.8421e-100	4.28839e-103	
N2	9.66559e-11	1.05632e-07	1.17017e-05	0.00031058	0.00114179	0.0142864	0.00244181	0.0658422	0.857528	0.0578913	0.000542401	3.7534e-06	2.76973e-08	2.57269e-10	1.368e-12	5.39168e-15	7.22971e-18	1.56553e-19	5.57277e-23	6.47411e-25	2.0313e-28	8.09829e-31	2.62676e-34	9.73884e-37	2.29113e-40	1.32169e-42	3.14425e-45	3.21829e-48	9.75121e-52	8.28393e-54	1.35196e-57	5.72733e-60	2.24134e-63	2.30587e-66	1.69568e-69	1.85912e-71	1.87338e-75	1.7743e-78	1.1957e-81	9.24428e-84	1.09476e-87	1.00178e-90	2.29318e-94	1.40829e-96	5.15361e-100	2.40968e-102	
N3	9.21957e-14	2.68539e-10	9.13693e-08	2.92391e-06	2.07472e-05	0.00103636	0.000211197	0.0164497	0.966056	0.0161749	4.74876e-05	1.93326e-07	4.14436e-10	6.05326e-13	4.51421e-16	3.64146e-19	1.79024e-22	2.15109e-25	4.29281e-29	1.74085e-32	3.21828e-36	7.36267e-40	1.31497e-43	6.27981e-47	9.14651e-51	3.88375e-54	1.01783e-57	1.9097e-61	2.03756e-65	5.41117e-69	4.73511e-73	1.20093e-76	1.12401e-80	2.5419e-84	3.69139e-88	1.34654e-91	8.69752e-96	1.2499e-99	1.15678e-103	2.16484e-107	1.54003e-111	2.30072e-115	1.46815e-119	2.98364e-123	8.09974e-127	3.34357e-130	
N4	1.0493e-15	9.50937e-12	5.75751e-09	4.31129e-07	1.3609e-05	0.000165303	0.000197834	0.0210324	0.967735	0.0108479	7.13e-06	1.55186e-08	9.13148e-11	1.5272e-13	6.56413e-17	5.63417e-20	2.54023e-23	2.32522e-25	1.19723e-29	1.20399e-32	9.31682e-37	2.1093e-40	2.00997e-44	1.79685e-47	1.40741e-51	3.30294e-54	1.56321e-57	2.41242e-61	7.9818e-66	6.41882e-69	1.69382e-73	1.3212e-76	4.1797e-81	2.03949e-84	4.68303e-88	1.00382e-90	1.41578e-95	1.58495e-99	9.52928e-104	7.76117e-107	1.6673e-111	2.61494e-115	3.80479e-120	1.5099e-123	2.05139e-127	2.07662e-130	
N5	3.18103e-18	9.39349e-14	3.87947e-10	2.68657e-08	2.7339e-06	4.70199e-05	0.00026906	0.00604742	0.974474	0.0191504	8.54482e-06	6.71955e-07	1.13423e-08	7.30835e-11	2.78134e-14	2.59991e-16	2.3407e-20	3.5112e-22	7.50146e-27	5.1689e-30	3.22731e-34	2.78101e-38	3.23713e-42	1.41083e-44	2.02258e-49	4.16428e-52	1.56317e-55	1.6763e-59	1.79032e-64	1.00759e-67	3.2947e-72	1.07777e-74	6.40493e-80	1.38786e-83	2.01149e-87	6.57341e-90	3.33396e-95	2.41797e-99	7.57411e-104	5.57523e-107	7.60891e-112	1.17389e-115	5.74104e-121	1.62243e-124	2.63012e-128	4.8644e-131	
N6	1.1339e-18	1.64477e-14	4.42792e-11	3.9159e-09	1.20232e-07	3.35894e-05	1.08499e-05	0.00241015	0.990822	0.00671836	5.36868e-06	1.46692e-08	1.1018e-10	2.04101e-13	1.0784e-16	7.46984e-20	4.72919e-23	3.54296e-25	2.7e-29	2.68806e-32	2.81284e-36	5.84713e-40	8.47999e-44	7.11395e-47	9.61781e-51	2.23668e-53	1.23779e-56	2.55127e-60	1.41658e-64	1.25858e-67	1.04966e-71	2.05514e-73	8.47834e-76	5.6063e-77	1.07162e-78	1.2624e-79	1.7548e-82	1.56442e-84	8.00802e-87	4.03931e-88	8.82074e-91	1.13532e-92	1.72304e-95	3.94755e-97	7.48466e-99	5.80462e-100	
N7	7.04341e-27	7.00877e-21	1.38004e-15	1.214e-13	3.98018e-10	1.75485e-07	4.47877e-08	3.17703e-05	0.993208	0.00676007	1.28225e-07	8.72238e-12	9.23017e-16	2.10619e-20	1.08305e-25	1.02475e-30	9.86834e-36	1.52625e-39	1.57689e-42	6.46719e-45	1.05108e-47	2.09689e-47	5.5029e-50	3.34277e-52	5.19197e-55	5.42924e-57	1.65182e-59	1.95331e-62	7.0723e-66	1.24853e-68	2.81912e-72	4.13565e-75	4.72525e-79	9.30576e-35	1.19982e-34	7.05407e-34	1.3366e-34	1.04523e-34	4.4146e-35	9.31137e-35	3.3416e-35	4.41745e-35	9.24517e-36	1.2754e-35	3.42219e-35	2.20024e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	1.02767e-30	8.20486e-24	9.89267e-18	1.51646e-15	4.33944e-11	4.60056e-09	8.4505e-09	1.96588e-06	0.983408	0.0165902	2.44192e-08	1.56465e-12	2.83849e-15	8.2286e-20	4.28787e-26	5.10982e-31	5.35804e-36	7.4348e-39	5.41481e-46	4.83139e-51	4.67195e-57	1.05813e-63	1.07406e-69	1.29465e-74	1.37297e-80	2.9631e-84	1.18234e-89	9.59562e-96	1.53361e-103	3.62736e-109	7.81367e-117	2.68958e-122	5.28172e-131	6.3474e-85	5.65027e-37	6.51903e-35	6.37015e-37	3.70277e-37	7.58171e-38	6.30132e-37	7.38029e-38	1.37973e-37	1.50512e-39	3.31285e-39	6.59529e-39	5.56871e-37	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
