#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.983419
L_gyaricum: 0.992146
N21: 0.751497
L_vernale: 0.960073
N36: 0.980033
L_nervosum: 0.54328
N56: 0.806685
Re_indica: 1.39176
Total number of gain events: 11.7542
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
L_nodiflorum: 0.829346
L_corymbulosum: 0.929741
L_catharticum: 1.03978
S_digynum: 2.84782
L_nervosum: 0.706801
L_grandiflorum: 0.851022
N58: 0.988756
Re_indica: 1.27189
Total number of loss events: 13.4109
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.99991
N28: 0.920839
L_littorale: 1.00207
L_macraei: 1
L_rupestre: 0.919215
He_micranthum: 0.937101
L_aroanium1: 0.614084
Total number of duplication events: 8.16773
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N12: 0.958721
L_kingii: 0.978458
L_vernale: 0.919833
N36: 0.967481
L_nervosum: 0.611136
N54: 0.582535
L_hologynum: 0.948028
Total number of demi-dulications events: 7.58907
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.03706	0.0657463	0.000816802	0.0134225
N3	0.244281	0.261205	0.0015662	0.0215644
N4	0.0164219	0.0265752	1.04405e-05	0.00093205
N5	0.0265596	0.0036477	1.07043e-05	0.000194025
N6	0.0190564	0.0279056	1.60097e-06	0.000201092
N7	0.0358976	0.0336387	2.84195e-07	8.79886e-05
L_corymbiferum	0.00068325	0.00741177	1.32796e-10	1.93666e-07
N8	0.00991521	5.59933e-05	3.86802e-10	2.12187e-07
L_gallicum	0.983419	7.09207e-06	1.57692e-09	1.15175e-08
L_strictum	1.97436e-06	0.0165903	1.44648e-11	8.85474e-09
N9	0.0148407	0.0185647	8.0936e-08	4.59986e-05
L_setaceum	0.00872393	0.00934431	8.01454e-10	3.27761e-06
N10	0.00564564	0.00628087	1.0207e-09	3.28877e-06
L_suffruticosum1	2.61089e-17	2.65099e-17	1.99991	2.00246e-08
L_tenuifolium1	0.000245421	0.000230623	9.46946e-14	3.36299e-08
N11	0.126303	0.0120202	5.58169e-06	0.00139956
N12	0.0661951	0.171913	0.00685357	0.958721
N13	0.139217	0.00355785	0.000138694	0.0310944
N14	0.0237473	0.00653453	1.19834e-05	0.00116345
L_album	0.00180128	0.00162488	1.06605e-07	3.75915e-06
L_mucronatum1	0.00180128	0.00162488	1.06605e-07	3.75915e-06
N15	0.0205924	0.00336103	1.19997e-05	0.00116417
N16	0.000291894	0.000134779	7.14401e-08	3.04109e-06
N17	0.000219426	0.000223981	5.96672e-10	1.26078e-08
