NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	2.59947e-10	4.04687e-07	3.65129e-05	0.000664535	0.00213069	0.0228716	0.00337897	0.0692808	0.803216	0.0963032	0.0021113	6.39702e-06	4.92551e-09	1.42761e-12	2.54193e-18	2.24003e-20	1.55943e-22	8.92179e-25	4.32151e-27	1.81361e-29	6.71634e-32	2.22761e-34	6.69815e-37	1.84453e-39	4.69183e-42	1.11041e-44	2.46049e-47	5.13215e-50	1.01241e-52	1.89664e-55	3.38652e-58	5.78173e-61	9.46527e-64	1.48965e-66	2.25891e-69	3.30724e-72	4.68362e-75	6.42642e-78	8.55619e-81	1.1069e-83	1.39312e-86	1.70771e-89	2.04102e-92	2.38155e-95	2.72808e-98	3.54106e-101	
N2	1.10754e-10	1.20674e-07	1.18077e-05	0.00032727	0.00118559	0.0120235	0.00223572	0.0653476	0.854981	0.063233	0.00064952	4.46492e-06	3.35893e-08	3.40192e-10	2.03051e-12	9.17606e-15	1.39258e-17	3.31854e-19	1.33535e-22	1.76618e-24	5.92456e-28	2.82985e-30	9.52566e-34	3.93795e-36	1.03656e-39	6.60171e-42	1.75682e-44	2.06805e-47	7.42752e-51	7.11941e-53	1.34744e-56	6.7144e-59	2.98685e-62	3.6448e-65	3.23238e-68	3.88642e-70	4.48935e-74	5.04088e-77	4.04262e-80	3.57537e-82	4.71111e-86	4.83522e-89	1.42885e-92	1.0143e-94	3.94521e-98	2.13877e-100	
N3	8.78973e-14	2.63639e-10	8.37038e-08	2.74606e-06	2.01131e-05	0.000819323	0.000196168	0.0168075	0.964607	0.0174925	5.46413e-05	2.27199e-07	5.18087e-10	8.29778e-13	6.90136e-16	6.48331e-19	3.57455e-22	4.64186e-25	1.0206e-28	4.63082e-32	9.04881e-36	2.378e-39	4.69062e-43	2.53461e-46	4.2383e-50	2.01821e-53	5.89263e-57	1.26361e-60	1.55082e-64	4.73745e-68	4.83768e-72	1.45761e-75	1.56846e-79	4.25376e-83	7.17383e-87	2.90036e-90	2.15286e-94	3.56799e-98	3.74277e-102	8.17589e-106	6.50699e-110	1.09983e-113	8.47412e-118	2.11555e-121	6.67977e-125	3.06669e-128	
N4	1.02784e-15	9.53356e-12	5.28118e-09	4.09031e-07	1.27667e-05	0.000127126	0.000193632	0.0214035	0.96635	0.0119043	8.41344e-06	1.82616e-08	1.13953e-10	2.09495e-13	1.02297e-16	1.07609e-19	5.50883e-23	5.40636e-25	3.07322e-29	3.54815e-32	2.75333e-36	7.66923e-40	7.49109e-44	7.91777e-47	7.15892e-51	1.83513e-53	9.76607e-57	1.71353e-60	6.53977e-65	6.08583e-68	1.85719e-72	1.7992e-75	6.31529e-80	3.79348e-83	1.0264e-86	2.38088e-89	3.84457e-94	4.96593e-98	3.37433e-102	3.32225e-105	7.63222e-110	1.31586e-113	2.31565e-118	1.16995e-121	1.78978e-125	2.10579e-128	
N5	3.18633e-18	9.51081e-14	3.67148e-10	2.6084e-08	2.59494e-06	3.73048e-05	0.000273155	0.00632089	0.972688	0.0206679	9.80734e-06	7.62237e-07	1.38494e-08	9.79578e-11	4.27592e-14	4.71113e-16	4.79541e-20	7.70424e-22	1.79858e-26	1.42698e-29	8.51336e-34	9.31439e-38	1.15274e-41	5.69806e-44	9.40741e-49	2.15272e-51	9.1204e-55	1.11626e-58	1.35682e-63	9.05434e-67	3.70815e-71	1.37919e-73	9.302e-79	2.41113e-82	4.15143e-86	1.46321e-88	8.49731e-94	7.07007e-98	2.37866e-102	2.23613e-105	3.11992e-110	5.36417e-114	3.09172e-119	1.16513e-122	2.19275e-126	4.62866e-129	
N6	9.98708e-19	1.49526e-14	3.9853e-11	3.5227e-09	1.20383e-07	3.00142e-05	1.07113e-05	0.00249911	0.990206	0.0072478	6.16794e-06	1.69003e-08	1.31017e-10	2.63144e-13	1.55112e-16	1.29458e-19	9.16824e-23	7.27459e-25	6.08557e-29	6.92792e-32	7.27864e-36	1.79634e-39	2.69765e-43	2.70886e-46	4.18891e-50	1.05684e-52	6.52717e-56	1.53197e-59	9.79228e-64	9.89611e-67	6.30714e-71	7.61896e-73	3.14694e-75	2.38141e-76	5.01462e-78	5.98592e-79	8.87308e-82	8.50307e-84	4.60623e-86	2.59008e-87	5.64744e-90	7.40817e-92	1.22823e-94	3.28499e-96	6.69064e-98	5.53762e-99	
N7	6.19232e-27	6.46116e-21	1.27569e-15	1.16361e-13	4.36118e-10	1.57383e-07	4.27476e-08	3.27376e-05	0.992862	0.00710539	1.42913e-07	9.81132e-12	1.08387e-15	2.66269e-20	1.51337e-25	1.74209e-30	1.88931e-35	2.59376e-39	2.38208e-42	1.01188e-44	1.55949e-47	3.53849e-47	9.52356e-50	6.5257e-52	1.1054e-54	1.18391e-56	3.77453e-59	4.73438e-62	1.82727e-65	3.4721e-68	8.37792e-72	1.43664e-74	1.78001e-78	1.09726e-34	1.42804e-34	7.90887e-34	1.48637e-34	1.15089e-34	4.62397e-35	1.00439e-34	3.35358e-35	4.25647e-35	8.99919e-36	1.36719e-35	3.83339e-35	2.3734e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	9.27253e-31	7.71147e-24	9.00418e-18	1.51922e-15	4.51568e-11	4.07149e-09	7.88108e-09	1.98832e-06	0.982851	0.0171474	2.6935e-08	1.71375e-12	3.2478e-15	1.01425e-19	5.82231e-26	8.57863e-31	1.01152e-35	1.47265e-38	1.1623e-45	1.17802e-50	1.0529e-56	3.07097e-63	3.0729e-69	4.68312e-74	5.76313e-80	1.33012e-83	5.99208e-89	5.50674e-95	9.89353e-103	2.73039e-108	5.92401e-116	2.93785e-121	6.46869e-130	2.62821e-84	6.76006e-37	7.28263e-35	7.06126e-37	4.06024e-37	7.21148e-38	6.9847e-37	6.94681e-38	1.28265e-37	1.39145e-39	3.56622e-39	7.18485e-39	6.01873e-37	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
