#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.982858
L_gyaricum: 0.991805
N21: 0.752671
L_vernale: 0.880316
N36: 0.994412
L_nervosum: 0.523681
N56: 0.777649
Re_indica: 1.35073
Total number of gain events: 11.7545
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
L_nodiflorum: 0.835472
L_corymbulosum: 0.93015
L_catharticum: 1.06047
S_digynum: 2.85559
L_grandiflorum: 0.847652
N58: 1.00873
Re_indica: 1.30762
Total number of loss events: 13.3117
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
N28: 0.916013
L_littorale: 1.00233
L_macraei: 1
L_rupestre: 0.910864
He_micranthum: 0.953514
L_aroanium1: 0.577851
Total number of duplication events: 6.31876
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N12: 0.951382
L_kingii: 0.978949
L_vernale: 0.834411
N36: 0.934844
L_nervosum: 0.581462
N54: 0.587423
L_hologynum: 0.93376
Total number of demi-dulications events: 7.37167
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N10:ML=9 to L_suffruticosum1:ML=36  sum expections= 3.68557e-08
	HEURISTIC ESTIMATION:	Gains = 0	Losses = 0	Duplications = 2	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0356907	0.0681949	0.00101907	0.0120852
N3	0.249709	0.265508	0.00135742	0.0180151
N4	0.0157245	0.0261697	1.21385e-05	0.000744428
N5	0.0275638	0.00410744	1.06447e-05	0.000164317
N6	0.0196007	0.0292431	1.73877e-06	0.000193406
N7	0.0402697	0.0385891	2.4933e-07	0.000244541
L_corymbiferum	0.00100518	0.00807816	4.36236e-10	2.00131e-07
N8	0.010233	0.000161076	4.23974e-10	1.92518e-07
L_gallicum	0.982858	3.66162e-06	4.11665e-09	7.88108e-09
L_strictum	0.000417526	0.017563	0	1.19526e-08
N9	0.0145217	0.0186234	9.25342e-08	4.23442e-05
L_setaceum	0.00908062	0.00977088	1.18557e-09	5.09764e-06
N10	0.00524836	0.00594704	1.34837e-09	4.25323e-06
L_suffruticosum1	0	0	2	0
L_tenuifolium1	0.000563134	0.000552204	1.98499e-13	2.95921e-08
N11	0.130452	0.0124202	5.09762e-06	0.00128193
N12	0.0789107	0.198832	0.0162583	0.951382
N13	0.135774	0.00348257	0.000141984	0.0283459
N14	0.0239931	0.0073566	1.47225e-05	0.000995417
L_album	0.0013626	0.00119787	1.33013e-07	3.01686e-06
L_mucronatum1	0.0013626	0.00119787	1.33013e-07	3.01686e-06
N15	0.0197149	0.0030677	1.47026e-05	0.000996044
N16	0.000186599	3.56698e-05	9.18283e-08	2.44042e-06
N17	0.000117188	0.000122725	8.13352e-10	9.47682e-09
N18	0.000123116	0.000122535	1.78954e-11	9.30968e-11
L_arboreum	0.000985423	0.000989028	5.7758e-13	1.34252e-12
L_elegans	0.000985423	0.000989028	5.7758e-13	1.34252e-12
L_campanulatum	0.00180928	0.00181231	1.84734e-11	9.44406e-11
N19	0.000530567	4.79183e-06	8.15893e-10	9.49026e-09
L_capitatum	0.00205504	0.00258938	1.56566e-11	8.12146e-11
N20	0.00768318	8.0618e-06	1.45714e-11	7.65733e-11
L_gyaricum	0.991805	1.48633e-05	1.01628e-12	4.68104e-12
L_tauricum	0.00177552	0.00998499	1.01628e-12	4.66766e-12
L_flavum	0.00428201	0.00413956	9.26883e-08	2.45015e-06
L_nodiflorum	0.0116102	0.835472	0.000143252	0.029377
N21	0.752671	0.0118007	2.18635e-05	0.00439377
N22	0.0836257	0.0128229	4.99358e-06	0.00028058
N23	0.00377969	0.036576	1.29846e-07	3.2864e-06
L_corymbulosum	7.24451e-06	0.93015	0	2.98255e-10
L_trigynum	0.0700458	0.000192974	1.36781e-10	4.18612e-09
L_tenue1	0.0400413	0.00298761	1.40514e-07	4.277e-06
L_maritimum	0.127808	0.0208287	7.15662e-06	0.000569451
L_catharticum	0.0678867	1.06047	8.30697e-06	0.000952685
N24	0.0417239	0.0361675	1.46834e-05	0.000608262
N25	0.0248142	0.0208299	2.43965e-06	0.000133364
N26	0.00257872	0.0236877	3.39694e-09	1.74886e-06
N27	0.0104064	0.00333926	1.03555e-06	0.00136935
N28	0.000771133	0.00073729	0.916013	0.000659912
C_selaginoides	0.0419675	0.0425629	0.0831613	0.00102039
N29	0.0046684	0.00475173	0.0812853	0.000105164
L_littorale	0.0303758	0.0304609	1.00233	7.72163e-06
N30	0.00313219	0.00315799	0.002278	7.36548e-06
N31	0.000940127	0.000953959	4.91921e-05	1.52996e-07
L_macraei	0.00398886	0.00401881	1	4.21358e-08
L_prostratum	0.00587748	0.00589796	2.86741e-06	1.59465e-08
L_oligophyllum	0.0103129	0.0103473	5.20618e-05	1.68945e-07
N32	0.00104707	0.000756611	1.98855e-08	2.99168e-05
N33	0.00191793	0.00178129	1.07941e-05	0.020801
L_kingii	0.0154805	0.0924316	2.06703e-05	0.978949
N34	0.0370281	0.0143361	0.0602236	0.00574077
L_rupestre	0.0363794	0.0604719	0.910864	0.0253844
L_vernale	0.880316	0.173636	0.079762	0.834411
L_striatum	0.020117	0.0201727	7.73251e-10	6.571e-06
N35	0.0029413	0.120936	3.48878e-10	3.31485e-07
