NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	0.105443	0.332155	0.412538	0.142034	0.0078074	2.28663e-05	2.17617e-23	1.60785e-34	1.0164e-42	3.3468e-43	5.91293e-44	1.33706e-53	1.31757e-63	8.72737e-74	4.45677e-84	1.92762e-94	7.31348e-105	2.25224e-115	5.53276e-126	1.20098e-136	2.26469e-147	3.40609e-158	6.55039e-169	1.09899e-179	1.55841e-190	2.04772e-201	2.43235e-212	2.3716e-223	2.71754e-219	8.99506e-230	1.68708e-240	2.10155e-251	2.02314e-262	1.76842e-273	1.47308e-284	1.17647e-295	9.02414e-307	6.65886e-318	0	0	5.1814e-40	5.1814e-40	5.1814e-40	5.1814e-40	5.1814e-40	5.1814e-40	
N2	0.0343011	0.211269	0.436953	0.27489	0.0415874	0.00100025	3.99227e-15	1.20377e-27	2.4462e-47	3.79731e-58	3.46698e-64	1.52793e-64	2.59814e-64	6.80976e-64	1.15292e-63	1.17555e-63	7.33806e-64	2.94939e-64	4.59712e-64	1.0903e-63	1.56148e-63	1.19434e-63	7.47119e-64	3.01182e-64	4.73217e-64	1.14677e-63	1.73233e-63	1.4882e-63	1.11256e-63	3.35271e-50	1.52702e-37	4.94939e-36	1.2005e-34	1.37256e-33	3.9242e-33	2.86572e-33	8.65336e-34	5.50824e-34	6.81691e-34	6.26547e-34	3.45499e-34	1.22788e-34	1.48362e-34	3.4202e-34	5.38434e-34	1.77314e-33	
N3	3.85951e-06	9.27974e-05	0.00277837	0.0541901	0.362671	0.580264	3.75601e-11	3.1685e-22	1.27292e-42	3.53202e-54	3.56615e-64	3.59133e-64	4.61604e-64	4.07527e-64	3.35509e-64	3.69571e-64	4.93644e-64	6.83435e-64	8.89501e-64	7.93251e-64	5.9278e-64	3.91315e-64	5.32918e-64	7.42755e-64	9.69137e-64	8.65204e-64	6.468e-64	4.27141e-64	1.63048e-38	2.53147e-37	1.66104e-36	2.3639e-35	8.69656e-34	1.42506e-32	4.28787e-32	6.08957e-32	5.63652e-32	4.37685e-32	3.03468e-32	2.16775e-32	1.75544e-32	1.53429e-32	1.27953e-32	9.86095e-33	8.02369e-33	6.29569e-32	
N4	1.64114e-07	8.09528e-06	0.000140384	0.00412298	0.0925605	0.477584	0.378508	0.0470756	3.04393e-13	2.93946e-35	4.44873e-57	5.55837e-77	4.82467e-88	1.56907e-99	1.03064e-110	3.60716e-121	7.73795e-132	7.45141e-143	2.63619e-154	4.27261e-166	1.45278e-177	2.06665e-188	2.67139e-199	1.61341e-210	3.7047e-222	4.01373e-234	9.35983e-246	7.63845e-244	1.39492e-254	9.46789e-266	3.39862e-277	2.49762e-288	3.33272e-299	1.38587e-309	2.01332e-320	0	7.80606e-33	2.07751e-33	4.24405e-34	2.68004e-34	5.67291e-34	6.69174e-34	3.02996e-34	8.33172e-35	4.68519e-35	1.53231e-33	
N5	7.76724e-09	3.39765e-07	1.13501e-05	0.000436593	0.0243689	0.269337	0.487575	0.200645	0.0176268	3.1656e-23	3.11968e-44	5.44569e-64	1.38173e-64	1.83947e-65	5.05735e-66	2.57691e-65	1.49804e-64	2.51884e-64	1.59971e-64	4.95663e-65	1.10524e-65	2.59644e-65	1.50949e-64	2.5381e-64	1.61195e-64	4.99454e-65	1.11369e-65	2.6163e-65	2.16768e-39	1.36607e-38	1.43936e-38	6.17067e-39	1.91027e-38	3.15396e-36	2.40421e-34	1.91263e-33	3.84285e-33	1.0372e-33	1.66917e-34	3.75999e-35	8.54209e-35	1.32362e-34	7.27867e-35	1.97085e-35	4.61202e-36	2.6905e-34	
N6	7.50753e-11	8.09062e-09	3.02616e-07	4.29988e-06	0.000837385	0.031548	0.250103	0.539138	0.178369	5.06419e-23	2.8652e-45	9.44604e-66	8.5884e-66	6.55482e-66	3.45909e-66	1.44174e-66	2.02636e-66	9.59815e-66	1.6872e-65	1.28019e-65	5.68365e-66	1.46411e-66	2.06815e-66	9.80278e-66	1.72321e-65	1.30752e-65	5.80549e-66	1.49648e-66	3.32142e-55	2.73225e-46	6.6745e-43	4.55554e-41	1.21092e-40	4.59803e-40	8.32384e-40	9.42775e-38	1.1072e-34	6.39792e-33	3.27947e-33	1.18413e-33	3.72487e-34	3.37806e-34	4.29533e-34	3.34008e-34	1.70788e-34	1.13751e-33	
N7	1.05761e-18	2.1644e-14	6.64086e-11	6.64381e-18	4.27478e-13	6.72183e-09	1.92573e-05	0.0118991	0.988082	1.06022e-22	2.32808e-46	6.06833e-69	3.05295e-81	7.02546e-86	2.18694e-95	1.40758e-105	4.50354e-118	1.62056e-130	1.70866e-142	4.40599e-154	5.24755e-164	1.85095e-174	3.31607e-187	6.93673e-200	4.37796e-212	2.48794e-224	7.61447e-237	1.35697e-249	1.59149e-262	2.20928e-275	9.35719e-288	3.60127e-300	7.51803e-313	0	0	5.61584e-34	1.14961e-33	2.27578e-33	2.59922e-33	1.84757e-33	9.05721e-34	3.52451e-34	1.86059e-34	2.13575e-34	2.23818e-34	7.83837e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	5.35758e-23	1.51752e-17	4.3041e-13	1.90318e-17	7.97739e-18	2.86442e-12	1.50986e-07	0.00129084	0.998709	1.76723e-12	3.38558e-37	1.45045e-62	4.23059e-87	5.27549e-110	1.2426e-133	2.17364e-159	1.39492e-185	1.48872e-211	8.23901e-235	1.63645e-258	6.91497e-283	2.44099e-309	0	0	0	0	0	0	0	0	0	0	0	2.47033e-322	1.91814e-36	1.37793e-37	6.69707e-36	1.50343e-34	9.16146e-34	5.92082e-35	1.9211e-36	4.14052e-38	2.98051e-38	6.54907e-37	3.9908e-36	4.08378e-36	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_strictum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	6.47574e-14	4.88178e-11	8.12892e-09	2.38528e-08	3.78411e-05	0.00628758	0.0158208	0.294242	0.683612	6.01368e-22	2.04096e-35	4.84458e-47	1.39263e-61	4.85842e-72	7.51809e-83	4.29788e-94	1.01366e-105	3.81894e-117	2.77221e-131	6.10189e-142	4.88577e-153	1.52649e-164	2.0652e-176	4.6803e-188	2.12376e-202	3.02359e-213	1.61297e-224	3.44414e-236	3.25961e-248	5.30604e-260	1.22323e-272	1.28427e-283	5.12544e-295	8.29236e-307	6.01283e-319	0	4.40149e-33	7.44212e-33	6.33929e-33	3.08081e-33	9.96225e-34	2.91768e-34	2.75552e-34	4.02041e-34	3.37883e-34	1.14054e-33	
L_setaceum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	1.19163e-18	8.82099e-14	7.65436e-10	3.59673e-12	4.10757e-07	0.00616753	1.52424e-06	0.00353944	0.990291	3.64441e-11	2.48637e-22	3.90633e-34	6.01432e-53	3.64222e-63	1.04682e-73	5.36276e-85	8.79444e-97	5.73301e-109	7.04893e-127	4.18984e-137	5.4337e-148	1.28915e-159	1.00314e-171	3.14889e-184	1.86928e-202	5.31054e-213	3.21676e-224	3.42698e-236	1.12692e-248	1.36339e-261	6.66611e-278	4.91837e-289	4.68177e-301	8.28093e-15	2.70024e-14	4.00962e-14	7.81207e-25	8.61361e-36	1.96244e-47	9.23911e-60	1.92337e-72	2.29894e-85	4.50798e-98	7.60921e-110	5.38604e-122	4.51101e-134	
L_suffruticosum1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
L_tenuifolium1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	3.1345e-09	3.68403e-09	3.31757e-07	1.41224e-05	0.00293258	0.0976157	0.39212	0.202465	0.304852	3.76582e-11	4.33502e-22	1.35518e-32	8.29331e-33	6.82944e-43	5.79374e-54	7.16691e-65	1.60533e-64	7.37894e-64	1.20239e-63	8.73172e-64	2.77709e-64	5.10408e-65	1.62846e-64	7.48619e-64	1.21987e-63	8.85865e-64	2.81746e-64	5.17832e-65	2.86743e-41	1.25408e-39	6.62809e-39	4.41872e-39	1.75607e-39	2.08789e-39	1.4722e-37	6.96022e-36	3.63219e-35	2.70117e-35	1.14763e-34	9.07394e-34	2.87819e-33	5.08598e-33	6.88009e-33	4.33855e-33	1.55703e-33	1.58103e-32	
N12	9.67613e-12	6.29185e-12	5.32588e-15	7.9942e-12	4.06984e-08	2.65524e-05	0.00141622	0.000898466	8.24097e-06	0.000565492	0.0154829	0.160432	0.82117	6.71587e-11	2.45658e-33	1.89122e-56	4.66566e-78	1.60084e-89	1.83005e-100	9.65826e-112	2.18538e-123	1.6146e-135	2.24497e-147	3.55677e-159	2.03601e-170	1.39292e-169	1.71462e-180	1.28739e-192	6.39051e-205	6.54492e-217	2.50307e-228	5.39079e-240	9.01907e-252	4.8273e-264	1.74248e-276	1.67392e-288	8.08163e-299	3.82234e-309	2.45155e-320	0	9.81616e-32	3.14215e-32	2.43275e-32	3.46816e-32	3.09201e-32	1.04731e-31	
N13	8.27764e-14	2.25472e-13	2.95047e-20	3.94594e-16	1.47452e-11	5.54827e-08	1.23121e-05	3.25508e-05	2.45637e-09	1.52784e-06	0.000322574	0.0209279	0.461009	0.517694	5.35005e-24	6.34305e-47	2.1647e-67	2.71412e-67	2.33263e-67	4.20438e-68	5.7777e-68	6.62429e-68	1.86657e-67	2.72503e-67	2.3422e-67	4.22164e-68	5.80141e-68	8.20157e-47	6.17321e-43	5.55319e-43	4.77774e-43	8.70974e-44	1.33311e-43	4.03123e-43	2.46799e-42	2.22012e-42	1.91015e-42	3.53803e-43	6.09431e-42	4.07732e-37	3.02635e-33	2.63742e-33	1.76233e-33	2.40879e-34	2.39794e-35	1.11213e-34	
N14	9.16214e-18	5.39116e-16	2.41437e-28	4.86741e-25	1.06049e-18	1.91828e-13	1.37577e-09	7.85557e-08	1.75417e-15	1.28308e-12	1.32877e-08	4.23829e-05	0.0311896	0.968768	6.62014e-24	6.65129e-48	2.1437e-72	1.12176e-96	3.69706e-120	1.88073e-144	2.6049e-169	1.64651e-194	2.05277e-219	3.0889e-243	2.68414e-267	3.2819e-292	1.24889e-317	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52943e-35	1.85064e-34	9.53984e-34	8.33291e-34	2.69798e-34	1.23795e-34	
L_album	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_mucronatum1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N15	3.43202e-18	4.37072e-16	5.07637e-25	4.95128e-26	1.66669e-19	4.42068e-14	5.14179e-10	6.35793e-08	7.76674e-14	1.4284e-13	2.6285e-09	1.21999e-05	0.0145818	0.985406	6.7601e-13	3.83887e-34	1.9628e-46	1.00406e-57	6.85068e-69	6.58718e-81	3.92206e-93	7.78883e-106	3.05274e-117	1.79933e-128	1.15647e-139	2.2102e-149	6.23585e-160	6.63938e-173	1.47933e-184	5.1961e-196	9.02577e-208	2.51432e-220	2.47991e-233	1.78743e-246	2.7551e-258	6.82299e-270	8.49765e-282	1.72278e-294	1.2532e-307	6.744e-321	0	1.00068e-33	3.08602e-33	1.62519e-33	3.21834e-34	1.49802e-34	
N16	9.02608e-22	1.02216e-18	1.47533e-32	3.43902e-32	8.53745e-26	6.34407e-19	1.34334e-13	1.48503e-10	1.75002e-19	3.02198e-18	5.83793e-13	7.54777e-08	0.00164502	0.998355	1.05419e-22	1.17017e-43	2.24956e-45	8.41637e-47	1.48428e-45	4.913e-45	1.20507e-44	4.90694e-46	1.30992e-47	2.15121e-46	7.76897e-44	1.02402e-38	4.13638e-35	1.67358e-36	4.46756e-38	7.25916e-37	2.03173e-35	6.54617e-35	4.14104e-35	1.67546e-36	4.47253e-38	7.26733e-37	2.03402e-35	6.55353e-35	4.14569e-35	1.67735e-36	4.4775e-38	7.27548e-37	2.03624e-35	6.56053e-35	4.15005e-35	2.07585e-36	
N17	5.44908e-23	5.90531e-21	6.77106e-35	3.44507e-33	9.23947e-31	8.72632e-23	1.69379e-16	8.55484e-13	9.39848e-22	4.66812e-20	1.01288e-15	1.80357e-09	0.000360344	0.99964	8.11053e-25	1.7546e-46	8.28111e-60	2.24109e-73	8.46687e-84	4.74983e-94	5.60578e-107	1.48165e-120	2.27957e-134	4.49329e-147	1.02531e-155	3.9872e-164	5.85767e-176	8.56624e-190	7.61591e-204	8.90802e-217	2.68773e-226	4.56141e-237	9.29992e-251	8.90281e-265	5.25269e-279	4.12389e-292	8.42742e-302	9.75651e-313	0	0	7.97007e-39	2.64451e-39	2.43031e-36	1.34579e-34	9.57163e-36	1.04988e-36	
N18	8.35147e-23	4.98194e-23	1.15377e-36	4.72194e-35	8.32383e-34	2.13441e-26	3.3749e-19	7.14654e-15	1.0838e-23	4.44826e-22	2.48903e-18	5.28218e-11	8.59633e-05	0.999914	1.1458e-24	1.64118e-49	6.97828e-75	1.23127e-100	6.03848e-124	6.80971e-146	1.51578e-171	1.25624e-197	5.19931e-224	1.77936e-250	5.53245e-272	1.20408e-294	5.66693e-321	0	0	0	0	0	0	0	0	0	0	0	9.08531e-36	3.17629e-37	7.29418e-39	1.7926e-40	5.12544e-37	1.30402e-34	9.10239e-36	9.82196e-37	
L_arboreum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_elegans	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_campanulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N19	1.29521e-23	4.95445e-21	2.05666e-26	7.34448e-35	2.69228e-31	3.49821e-23	8.90349e-17	7.17563e-13	4.6674e-16	2.04294e-21	4.04999e-16	8.76265e-10	0.000225541	0.999774	4.23033e-12	3.51423e-37	1.80443e-58	4.49791e-72	7.16139e-82	2.07879e-91	8.38582e-103	4.33884e-115	5.16806e-129	7.20502e-141	2.63695e-150	4.96819e-161	1.21779e-174	1.37824e-188	9.48786e-203	7.92051e-215	1.78677e-224	2.12538e-235	3.35531e-249	2.48611e-263	1.13591e-277	6.3656e-290	9.72719e-300	7.89392e-311	0	0	2.56305e-38	5.53625e-38	3.46971e-35	1.22831e-33	6.16988e-35	6.05043e-36	
L_capitatum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N20	3.67894e-23	3.68664e-21	8.88462e-20	6.79698e-31	4.19167e-28	2.00942e-25	4.07507e-19	1.08225e-14	9.83653e-15	4.97142e-23	2.50908e-18	3.07408e-11	3.59239e-05	0.524209	0.475755	2.68108e-25	2.53164e-50	7.11261e-76	1.3e-97	2.35267e-119	7.33956e-145	8.44074e-171	4.31863e-197	2.85585e-222	4.32152e-243	1.56145e-265	1.16563e-291	3.68056e-318	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32583e-39	6.74303e-36	1.00065e-33	3.69394e-35	3.28287e-36	
L_gyaricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_tauricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_flavum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_nodiflorum	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N21	4.19579e-12	5.25491e-11	6.68964e-09	4.56889e-08	3.91881e-06	0.00107473	0.0390182	0.280878	0.679025	7.30804e-11	2.44115e-32	5.85399e-54	4.24653e-65	1.64456e-76	3.21356e-88	4.45502e-100	7.02842e-112	3.6953e-123	2.0879e-134	3.93526e-146	5.98282e-158	8.06187e-170	1.48096e-181	6.3567e-193	2.22958e-204	2.63339e-216	2.59124e-228	2.32562e-240	4.52627e-243	6.77955e-253	2.73649e-263	2.3938e-275	1.86551e-287	1.86092e-299	1.93984e-310	2.03802e-320	0	8.66371e-33	5.7887e-33	4.67765e-33	3.55267e-33	3.96948e-33	4.97647e-33	2.91938e-33	1.14221e-33	2.25984e-33	
N22	7.72788e-17	2.12541e-14	3.02005e-11	2.07113e-11	2.0801e-11	1.74499e-07	0.000171509	0.0278054	0.972023	1.1363e-10	3.792e-33	8.81209e-55	6.06909e-67	5.95437e-79	1.47698e-90	2.86257e-102	2.21629e-114	8.64867e-127	1.16024e-138	3.01837e-150	8.45117e-162	3.08775e-173	3.92289e-185	8.71071e-198	6.9338e-210	1.03972e-221	1.08409e-233	3.87825e-243	1.64257e-252	1.46217e-262	8.20781e-275	8.82581e-287	6.69896e-299	4.34636e-311	3.87347e-321	0	1.10478e-33	2.74524e-33	5.04945e-33	5.94575e-33	2.83332e-33	8.03446e-34	1.97019e-34	1.36252e-34	2.11286e-34	7.38858e-34	
N23	5.3284e-25	3.87643e-20	9.4501e-15	1.55679e-16	1.72245e-20	1.11457e-14	3.84122e-09	0.000162812	0.999837	9.56437e-11	3.52165e-35	2.22544e-60	4.66855e-86	7.20423e-112	2.41001e-136	3.981e-161	3.43451e-187	9.49038e-214	1.31115e-240	3.95004e-266	8.84642e-292	1.68694e-168	7.64894e-33	1.11857e-33	1.39676e-34	7.38077e-34	7.73879e-33	2.71259e-32	7.71012e-33	1.12751e-33	1.40792e-34	7.43973e-34	7.8006e-33	2.73429e-32	7.77179e-33	1.13653e-33	1.41917e-34	7.49915e-34	7.86291e-33	2.75615e-32	7.83395e-33	1.14531e-33	1.13029e-34	2.29599e-35	1.55924e-34	8.76355e-34	
L_corymbulosum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_trigynum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_tenue1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_maritimum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L_catharticum	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N24	7.72729e-08	2.58091e-06	8.55357e-05	0.00407345	0.128911	0.866927	4.96914e-11	5.37827e-22	7.2259e-32	1.72581e-42	4.34636e-53	1.21422e-63	3.38156e-74	3.37497e-85	1.59207e-96	4.91623e-108	5.52678e-119	1.11022e-129	1.25594e-140	5.47452e-152	1.27263e-163	1.63968e-175	1.06346e-186	1.2867e-197	9.12194e-209	2.57881e-220	4.00469e-232	3.53248e-244	1.51532e-245	4.55493e-255	3.1463e-265	7.30369e-277	3.54482e-288	2.79403e-299	8.69166e-311	4.5454e-322	0	2.75828e-32	1.45555e-32	5.52458e-33	2.05281e-33	1.80386e-33	2.25359e-33	1.84567e-33	9.77905e-34	6.52582e-33	
N25	3.34839e-10	1.50985e-07	3.05086e-05	4.9949e-05	0.0211245	0.978795	2.24639e-11	1.35222e-22	3.46581e-32	2.09495e-33	2.74879e-33	3.47221e-33	1.06449e-32	2.40991e-32	1.95442e-32	1.82806e-43	1.19197e-54	1.74697e-64	4.29218e-64	4.9877e-64	3.23937e-64	5.8869e-65	3.54938e-65	1.45622e-64	4.36811e-64	2.60392e-53	5.95384e-52	5.94487e-51	1.3763e-40	4.49589e-37	4.68904e-35	5.43991e-35	3.32973e-35	1.25279e-35	6.51146e-36	2.13231e-35	9.51761e-35	1.10415e-34	6.75888e-35	2.93496e-35	2.22498e-34	6.47444e-33	1.22652e-31	1.37368e-31	8.37795e-32	3.74898e-31	
