NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	0.356732	0.344626	0.2078	0.074975	0.0145545	0.00127043	4.19477e-05	4.95072e-07	2.20452e-09	4.03369e-12	1.19088e-17	2.34897e-19	3.30548e-21	3.41774e-23	2.6679e-25	1.61131e-27	7.69589e-30	2.9634e-32	9.35704e-35	2.45907e-37	5.44978e-40	1.03033e-42	1.67886e-45	2.37924e-48	2.95651e-51	3.24491e-54	3.16637e-57	2.76335e-60	2.16852e-63	1.53773e-66	9.89779e-70	5.80664e-73	3.11665e-76	1.53584e-79	6.97116e-83	2.92327e-86	1.13567e-89	4.09807e-93	1.37693e-96	4.31748e-100	1.26609e-103	3.47922e-107	8.97641e-111	2.17848e-114	5.00524e-118	1.4535e-121	
N2	0.179076	0.330693	0.279757	0.157708	0.0438539	0.00837992	0.000492404	3.90115e-05	5.45139e-07	2.28983e-08	1.17983e-10	2.75837e-12	5.99007e-15	4.93245e-17	5.77537e-20	8.3677e-22	5.60569e-25	1.76389e-27	8.61523e-31	1.16146e-32	3.76206e-36	6.27789e-39	1.69728e-42	1.53693e-44	2.69574e-48	2.61903e-51	3.62096e-55	1.5765e-57	1.60949e-61	1.13231e-64	1.51212e-68	1.06341e-70	7.49084e-75	3.37836e-78	1.95882e-82	4.45519e-85	1.91669e-89	8.69699e-93	9.96193e-97	5.79421e-99	2.2733e-103	5.90326e-107	1.98451e-111	2.76562e-114	1.4513e-118	6.11334e-121	
N3	7.78639e-05	0.00172349	0.0148025	0.0531646	0.168935	0.395135	0.302493	0.0609373	0.00268946	4.17023e-05	2.05421e-07	7.93088e-10	1.20279e-12	1.94821e-15	1.31568e-18	1.24556e-21	4.60251e-25	2.53643e-28	5.79126e-32	2.53152e-35	3.95136e-39	1.09727e-42	1.24448e-46	3.37622e-50	2.88644e-54	4.78212e-58	3.14872e-62	5.49177e-66	2.78383e-70	2.99308e-74	1.25983e-78	1.73144e-82	5.96687e-87	4.58339e-91	1.32989e-95	1.25903e-99	2.95526e-104	1.66377e-108	3.57591e-113	3.1468e-117	5.77068e-122	2.54112e-126	4.16025e-131	2.58114e-135	8.1394e-140	1.75881e-143	
N4	3.32323e-06	0.000154892	0.0026998	0.0185279	0.0692578	0.28036	0.421934	0.185904	0.0205606	0.000594739	2.68357e-06	4.31511e-08	4.96618e-11	2.79394e-13	1.20466e-16	2.30757e-19	4.57356e-23	3.64964e-26	3.8958e-30	3.28094e-33	2.12059e-37	7.34682e-41	4.87204e-45	1.13125e-47	4.19387e-52	8.3898e-56	3.17047e-60	4.44261e-63	9.90652e-68	1.19393e-71	2.37936e-76	1.76238e-79	2.45888e-84	1.96184e-88	2.26947e-93	9.38286e-97	8.32097e-102	4.89673e-106	4.49011e-111	2.1878e-114	1.35511e-119	5.75694e-124	3.05858e-129	7.69308e-133	1.28976e-137	1.1359e-140	
N5	1.9624e-07	1.80655e-05	0.000564418	0.00632921	0.0343319	0.183342	0.405018	0.285377	0.0790015	0.00596609	4.82996e-05	3.57292e-06	4.18921e-09	7.10919e-11	2.13882e-14	7.71886e-17	9.03561e-21	9.25626e-24	5.25927e-28	4.82535e-31	1.46648e-35	4.3575e-39	1.75934e-43	8.34395e-46	1.21029e-50	1.82095e-54	4.15867e-59	1.2339e-61	1.03919e-66	8.84103e-71	8.76125e-76	1.33045e-78	7.06854e-84	3.85938e-88	1.90012e-93	1.42451e-96	4.90121e-102	1.9264e-106	7.35536e-112	5.51315e-115	1.27249e-120	3.61126e-125	7.31365e-131	2.60372e-134	2.15202e-139	2.56526e-142	
N6	7.64667e-09	8.03358e-07	3.4007e-05	0.000752488	0.0019212	0.0262213	0.207922	0.499785	0.256381	0.00694079	4.13034e-05	1.9964e-07	2.92091e-10	1.41085e-12	9.30039e-16	2.2343e-18	7.47031e-22	9.21421e-25	1.81214e-28	1.40761e-31	1.73022e-35	7.10513e-39	5.7831e-43	3.95874e-46	2.42394e-50	6.20854e-54	3.63834e-58	4.18543e-61	1.62617e-65	2.71933e-69	9.90492e-74	7.70272e-77	1.96865e-81	2.24453e-85	5.2873e-90	2.70998e-93	4.84223e-98	4.01638e-102	6.69166e-107	2.52124e-110	3.27792e-115	2.00165e-119	2.17958e-124	4.88538e-128	7.62821e-133	4.28437e-136	
N7	7.02832e-18	4.44539e-14	8.44671e-12	2.17778e-08	8.74545e-08	2.49195e-08	3.09216e-05	0.0137659	0.979086	0.00711575	1.23221e-06	6.24537e-11	1.36032e-15	5.15869e-20	7.28244e-25	2.55748e-29	1.78964e-34	2.55771e-39	8.80018e-45	5.69753e-50	9.91994e-56	3.62913e-61	3.4886e-67	9.37233e-73	5.5749e-79	2.91042e-68	1.68561e-68	4.20036e-69	1.52666e-69	1.72446e-71	1.53472e-74	1.71099e-76	1.03601e-77	2.14433e-78	1.46406e-81	6.91564e-84	3.16959e-87	4.42253e-90	1.62341e-93	4.62444e-96	1.35814e-99	1.37669e-102	3.26927e-106	7.11442e-109	2.30064e-112	1.2762e-114	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	7.63187e-22	3.4397e-17	3.83822e-14	6.17304e-10	2.27265e-09	4.09643e-10	3.58707e-07	0.00173102	0.977398	0.0208699	4.20515e-07	1.88794e-12	3.72415e-18	3.66197e-21	1.47858e-26	3.01788e-29	3.19694e-35	2.55881e-38	7.9588e-45	1.08937e-49	1.85879e-56	1.08807e-61	1.04855e-68	3.96607e-74	2.2792e-81	7.47225e-87	3.61822e-93	1.38415e-96	5.62828e-104	3.83102e-109	4.065e-115	9.70371e-119	2.3949e-126	4.77022e-132	2.13358e-138	3.06019e-142	4.62056e-150	2.668e-156	3.68806e-164	1.36104e-168	1.09822e-176	3.72511e-183	2.29039e-191	3.53436e-196	2.22067e-204	4.32581e-209	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
