#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.981329
N20: 0.75471
L_flavum: 0.948294
N21: 0.717406
L_vernale: 0.88118
N36: 0.893054
L_nervosum: 0.559437
N56: 0.81986
L_stelleroides: 0.661313
Re_indica: 1.76315
Total number of gain events: 15.1357
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
L_nodiflorum: 0.80137
L_corymbulosum: 0.884911
L_catharticum: 1.06824
S_digynum: 2.80797
L_grandiflorum: 0.756224
L_stelleroides: 0.545414
N58: 0.951777
Re_indica: 1.143
Total number of loss events: 14.0503
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.99979
N28: 0.928277
L_littorale: 1.00169
L_macraei: 1
L_rupestre: 0.953419
He_micranthum: 0.943469
L_aroanium1: 0.73654
Total number of duplication events: 8.42112
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N12: 0.951795
L_kingii: 0.983438
L_vernale: 0.888639
N36: 0.918967
L_nervosum: 0.702478
N54: 0.557134
L_hologynum: 0.943533
Total number of demi-dulications events: 7.49821
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0806205	0.0878724	0.00229157	0.012395
N3	0.478198	0.36118	0.00380442	0.0362776
N4	0.037265	0.0437189	3.95684e-05	0.00142586
N5	0.0497476	0.00722675	2.25032e-05	0.000545423
N6	0.0432491	0.0423558	4.11297e-06	0.000403063
N7	0.0661403	0.0590211	1.23701e-06	0.000349435
L_corymbiferum	0.00120501	0.00906219	6.14197e-10	4.40358e-07
N8	0.011123	0.000303029	1.43713e-09	4.91355e-07
L_gallicum	0.981329	8.976e-06	5.72509e-09	9.63655e-07
L_strictum	0.000634406	0.0193118	4.51902e-17	2.28168e-08
N9	0.0324408	0.032637	6.21999e-07	9.38421e-05
L_setaceum	0.0189754	0.0187687	3.96699e-08	8.27747e-06
N10	0.0121396	0.0119825	2.69782e-08	8.31724e-06
L_suffruticosum1	5.18889e-18	5.15479e-18	1.99979	2.90186e-08
L_tenuifolium1	0.000727995	0.000678681	2.04691e-16	8.46766e-08
N11	0.129628	0.0195609	1.40523e-05	0.00133773
N12	0.118342	0.180866	0.010592	0.951795
N13	0.163158	0.00231926	0.000199434	0.0320211
N14	0.0271058	0.0129032	1.81683e-05	0.00120542
L_album	0.0009898	0.000801852	1.56248e-07	3.77228e-06
L_mucronatum1	0.0009898	0.000801852	1.56248e-07	3.77228e-06
N15	0.0724669	0.00267898	3.042e-05	0.00119217
N16	0.000543884	0.00596311	6.46584e-08	4.776e-06
