NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	2.20757e-08	4.44468e-06	0.000144707	0.00287625	0.00647394	0.0224446	0.0240914	0.216318	0.657037	0.0695012	0.00110615	2.58639e-06	1.37235e-09	2.31494e-13	7.99955e-19	4.47718e-21	1.80907e-23	5.5039e-26	1.30243e-28	2.45972e-31	3.78552e-34	4.82982e-37	5.18249e-40	4.73397e-43	3.71965e-46	2.53663e-49	1.51312e-52	7.94878e-56	3.69947e-59	1.5335e-62	5.68805e-66	1.89577e-69	5.69847e-73	1.54994e-76	3.82589e-80	8.59316e-84	1.76032e-87	3.2957e-91	5.64963e-95	8.88192e-99	1.28239e-102	1.70249e-106	2.08041e-110	2.3421e-114	2.43427e-118	2.52851e-122	
N2	9.99654e-09	1.65578e-06	6.78542e-05	0.00148302	0.00384906	0.0140254	0.0190754	0.216872	0.69419	0.0499618	0.000469669	4.15922e-06	2.38635e-08	2.15717e-10	6.86481e-13	2.91934e-15	1.50188e-18	2.26426e-20	3.25286e-24	2.29282e-26	2.6491e-30	4.75933e-33	5.00199e-37	1.20933e-39	5.8464e-44	1.43125e-46	1.0761e-49	3.60706e-53	1.54987e-57	5.31639e-60	1.30384e-64	3.17774e-67	1.35006e-71	3.07523e-75	2.71121e-79	1.23198e-81	9.27048e-87	2.32101e-90	1.68398e-94	3.99358e-97	3.21373e-102	6.94582e-106	8.53149e-111	1.67601e-113	5.02014e-118	4.57523e-121	
N3	9.79498e-12	4.79663e-09	4.48646e-07	1.43531e-05	6.79146e-05	0.0014186	0.00114199	0.0568895	0.919555	0.0208338	7.79661e-05	2.70319e-07	3.88684e-10	4.85697e-13	2.76443e-16	1.76715e-19	3.99596e-23	2.69975e-26	2.38151e-30	5.67056e-34	4.07047e-38	4.67624e-42	2.73323e-46	6.29962e-50	1.90012e-54	2.61574e-58	1.97331e-62	1.01929e-66	1.97827e-71	1.90943e-75	2.7293e-80	2.51123e-84	2.82744e-89	1.20778e-93	2.39405e-98	6.97581e-102	2.92444e-106	6.96775e-110	6.05631e-114	1.87898e-117	6.87288e-122	1.10141e-125	2.49789e-130	5.04735e-134	7.1102e-138	3.25412e-141	
N4	1.18998e-13	1.62648e-10	3.94531e-08	2.06213e-06	2.76907e-05	0.000358735	0.000862985	0.0554203	0.93088	0.0124362	1.18591e-05	2.40521e-08	7.74726e-11	1.14121e-13	4.72559e-17	4.07766e-20	5.64862e-24	3.19051e-26	6.91708e-31	5.26543e-34	1.22378e-38	1.8661e-42	4.5922e-47	2.10259e-50	2.25357e-55	7.11309e-50	5.38278e-49	3.75435e-49	5.79755e-51	8.34556e-51	5.60888e-53	1.805e-53	7.1085e-56	5.19931e-56	7.05592e-58	3.09709e-58	1.73658e-61	3.18262e-63	1.5241e-65	2.51879e-66	2.5561e-69	5.35114e-71	3.87157e-74	5.42801e-75	3.48272e-77	5.42567e-78	
N5	7.67919e-16	3.221e-12	2.55396e-09	1.88318e-07	6.86127e-06	0.000120418	0.000855842	0.0203183	0.958414	0.0202672	1.59493e-05	9.84429e-07	9.45966e-09	4.96845e-11	1.70832e-14	1.18826e-16	4.14857e-21	3.67775e-23	3.25871e-28	1.91152e-31	3.43045e-36	2.23724e-40	5.81144e-45	1.17009e-47	3.1103e-53	2.35821e-56	2.59471e-60	8.06241e-65	1.38946e-70	4.02913e-74	1.62685e-79	2.29285e-82	1.38152e-88	6.80559e-93	8.53803e-98	1.0606e-100	3.52321e-107	6.94957e-112	2.81152e-117	5.4702e-121	4.72921e-127	1.07444e-131	2.59806e-138	3.11498e-142	1.89465e-147	5.31131e-151	
N6	2.26993e-16	5.08097e-13	2.92422e-10	2.46226e-08	5.84752e-07	6.54439e-05	5.81903e-05	0.00920739	0.981322	0.00933617	1.01651e-05	2.435e-08	1.1181e-10	1.70944e-13	6.99481e-17	4.61121e-20	1.04963e-23	5.24509e-26	1.6677e-30	1.05988e-33	3.83367e-38	4.69587e-42	1.97429e-46	9.20838e-50	2.09301e-54	1.9878e-57	3.4471e-61	1.9545e-65	2.55785e-70	2.51394e-72	1.44857e-75	5.49622e-77	5.57464e-80	2.18875e-81	1.06762e-83	1.16458e-84	2.93809e-88	1.75405e-90	2.81728e-93	1.05414e-94	4.78492e-98	3.27905e-100	8.43465e-104	1.92656e-105	7.09854e-108	3.25412e-109	
N7	1.77192e-24	3.07428e-19	1.01809e-14	1.31662e-12	1.55048e-09	3.54584e-07	9.97956e-08	0.000108451	0.99183	0.00806111	2.15492e-07	9.05959e-12	6.64816e-16	1.11142e-20	3.98494e-26	1.95833e-31	2.05853e-34	5.37458e-36	2.33737e-39	7.69856e-42	4.48854e-45	4.69775e-48	2.5896e-51	1.10392e-53	5.522e-57	4.30008e-59	7.67886e-62	4.52051e-65	5.96474e-69	9.88729e-72	6.60566e-76	8.14933e-79	2.44163e-83	8.13669e-35	7.11213e-35	8.9344e-34	7.65838e-35	9.20398e-35	3.23287e-35	1.36293e-34	2.72751e-35	4.56492e-35	4.47266e-36	1.33956e-35	2.09358e-35	2.53459e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	3.50712e-28	4.22552e-22	6.22275e-17	2.67066e-14	1.62656e-10	9.61103e-09	2.121e-08	6.48245e-06	0.981157	0.0188362	4.13797e-08	1.62378e-12	1.75934e-15	3.80564e-20	1.79831e-26	1.38367e-31	2.88621e-37	1.70657e-40	2.25018e-48	5.22845e-54	1.77687e-61	3.69897e-51	3.13803e-37	1.24704e-36	1.75431e-37	2.30448e-35	4.55845e-35	2.30857e-35	1.98532e-37	1.2783e-36	2.76359e-38	6.65442e-37	6.50792e-39	1.92841e-37	1.89034e-37	5.07465e-35	2.0458e-37	2.29099e-37	4.76899e-38	7.17768e-37	4.71774e-38	9.18061e-38	3.78824e-40	4.22363e-39	3.21451e-39	4.25349e-37	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
