#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.981165
N20: 0.75422
L_flavum: 0.944063
N21: 0.71366
L_vernale: 0.919575
N36: 0.951649
L_nervosum: 0.569081
N56: 0.815259
L_stelleroides: 0.692764
Re_indica: 1.76785
Total number of gain events: 15.3124
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
L_nodiflorum: 0.808771
L_corymbulosum: 0.885534
L_catharticum: 1.06693
S_digynum: 2.81943
L_grandiflorum: 0.752053
L_stelleroides: 0.578356
N58: 0.95017
Re_indica: 1.10504
Total number of loss events: 13.9101
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.9998
N28: 0.925462
L_littorale: 1.00185
L_macraei: 1
L_rupestre: 0.949599
He_micranthum: 0.953992
L_aroanium1: 0.70659
Total number of duplication events: 8.37468
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N12: 0.937976
L_kingii: 0.983951
L_vernale: 0.926187
N36: 0.961032
L_nervosum: 0.702939
N54: 0.553232
L_hologynum: 0.949084
Total number of demi-dulications events: 7.49561
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0761939	0.0873995	0.00229018	0.011191
N3	0.498877	0.38968	0.00453443	0.0316573
N4	0.0339225	0.040875	3.55298e-05	0.00123136
N5	0.0478889	0.00602552	1.9653e-05	0.000600108
N6	0.0386857	0.0380118	3.78462e-06	0.000416284
N7	0.0689569	0.0614008	1.84796e-06	0.000181002
L_corymbiferum	0.00132052	0.00927355	5.18155e-10	4.05516e-07
N8	0.0109745	9.94351e-05	1.48384e-09	4.3954e-07
L_gallicum	0.981165	1.45761e-05	1.62656e-10	6.51327e-06
L_strictum	0.000217186	0.019047	1.62683e-10	2.13944e-08
N9	0.0283255	0.0287187	4.56629e-07	0.000117716
L_setaceum	0.0143957	0.0142302	3.54164e-08	1.24476e-05
N10	0.00914229	0.00902157	2.37158e-08	1.34573e-05
L_suffruticosum1	5.81191e-18	5.7845e-18	1.9998	4.7683e-18
L_tenuifolium1	0.000615591	0.000573857	9.29418e-13	7.27044e-08
N11	0.127317	0.0173791	1.26833e-05	0.00141285
N12	0.113425	0.206056	0.0265943	0.937976
N13	0.162295	0.00228366	0.000253705	0.0298262
N14	0.0260767	0.0121502	2.10609e-05	0.00105821
L_album	0.000986418	0.000803405	1.84541e-07	3.10485e-06
L_mucronatum1	0.000986418	0.000803405	1.84541e-07	3.10485e-06
N15	0.0723705	0.00211846	2.13973e-05	0.00105729
N16	0.000552561	0.00600411	7.53669e-08	3.93978e-06
N17	0.000107318	0.0489503	6.63571e-10	1.4038e-08
N18	0.00011798	0.0018967	1.42794e-11	1.54924e-10
L_arboreum	0.000552527	0.000646812	4.49789e-13	2.23954e-12
