NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	0.142627	0.137968	0.129215	0.117234	0.103072	0.087827	0.0725254	0.0580287	0.0449728	0.0337472	0.0245078	0.0172158	0.0116914	0.0076715	0.00486096	0.00297268	0.00175357	0.000997276	0.000546525	0.00028847	0.000146588	7.16844e-05	3.37225e-05	1.52559e-05	6.63514e-06	2.77362e-06	1.11413e-06	4.29976e-07	1.59415e-07	5.67769e-08	1.94266e-08	6.3867e-09	2.01815e-09	6.1328e-10	1.79375e-10	5.05601e-11	1.37595e-11	3.62493e-12	9.27979e-13	2.32067e-13	8.92167e-17	4.41533e-17	2.20078e-17	1.12836e-17	6.2879e-18	4.33105e-18	
N2	0.125868	0.125984	0.121837	0.113942	0.103112	0.0903402	0.0766552	0.0630034	0.0501594	0.0386767	0.0288764	0.0208679	0.0145907	0.00986575	0.00644814	0.00407172	0.00248287	0.0014614	0.000829922	0.000454556	0.000240028	0.000122157	5.99e-05	2.82923e-05	1.28689e-05	5.63578e-06	2.37588e-06	9.64017e-07	3.76422e-07	1.41432e-07	5.11282e-08	1.77824e-08	5.95005e-09	1.91536e-09	5.93198e-10	1.76776e-10	5.07033e-11	1.40042e-11	3.72833e-12	9.58652e-13	2.39026e-13	5.82912e-14	1.41771e-14	3.60429e-15	1.0792e-15	5.01321e-16	
N3	0.0356918	0.0392885	0.0452214	0.0532513	0.0627533	0.0726499	0.081494	0.0877233	0.0900293	0.0877143	0.0809008	0.0705063	0.0579916	0.0449792	0.0328802	0.0226455	0.0146913	0.00897672	0.00516582	0.00279984	0.00142932	0.000687353	0.000311422	0.00013296	5.35042e-05	2.02982e-05	7.26182e-06	2.45065e-06	7.80368e-07	2.34556e-07	6.65694e-08	1.78462e-08	4.52091e-09	1.08267e-09	2.45214e-10	5.25518e-11	1.06628e-11	2.04987e-12	3.73788e-13	6.47675e-14	1.06996e-14	1.69635e-15	2.61821e-16	4.07569e-17	7.13322e-18	2.04962e-18	
N4	0.028359	0.0322087	0.0389938	0.0485801	0.0603945	0.0732493	0.0853338	0.0944787	0.0986834	0.0967376	0.0886688	0.0757881	0.060289	0.0445726	0.0305953	0.0194847	0.0115075	0.00630082	0.00319805	0.00150467	0.000656305	0.00026543	9.95589e-05	3.46438e-05	1.11877e-05	3.35424e-06	9.34065e-07	2.41708e-07	5.81504e-08	1.30133e-08	2.71041e-09	5.257e-10	9.5006e-11	1.60079e-11	2.51623e-12	3.69211e-13	5.06039e-14	6.48287e-15	7.76865e-16	8.71613e-17	9.16995e-18	9.07783e-19	8.53988e-20	7.88091e-21	7.978e-22	1.3793e-22	
N5	0.0186139	0.0217676	0.027793	0.0370904	0.0497171	0.0649646	0.081078	0.0953566	0.104761	0.106883	0.100866	0.0878041	0.0703665	0.0518436	0.0350811	0.0217873	0.0124134	0.00648651	0.00310824	0.00136584	0.000550435	0.000203478	6.90148e-05	2.14844e-05	6.14081e-06	1.61226e-06	3.89005e-07	8.63004e-08	1.76134e-08	3.30902e-09	5.7259e-10	9.13169e-11	1.34309e-11	1.82304e-12	2.28521e-13	2.64728e-14	2.83613e-15	2.81206e-16	2.58233e-17	2.19796e-18	1.73541e-19	1.2725e-20	8.69257e-22	5.6216e-23	3.80674e-24	4.76248e-25	
N6	0.00748022	0.00944845	0.013551	0.0204496	0.030799	0.0448474	0.0619563	0.0802668	0.0967992	0.10814	0.11155	0.106019	0.0927036	0.074505	0.0550028	0.0372856	0.0232051	0.0132588	0.00695596	0.00335144	0.00148339	0.000603386	0.000225652	7.76257e-05	2.45772e-05	7.16604e-06	1.92541e-06	4.77048e-07	1.09069e-07	2.30283e-08	4.49341e-09	8.1094e-10	1.35472e-10	2.09659e-11	3.00848e-12	4.00606e-13	4.95445e-14	5.69584e-15	6.09228e-16	6.06799e-17	5.63329e-18	4.88105e-19	3.96235e-20	3.07236e-21	2.54655e-22	3.9393e-23	
N7	6.37025e-08	9.98175e-07	1.69821e-05	0.00022453	0.0021772	0.0147338	0.0657791	0.181937	0.29274	0.262478	0.132207	0.0393467	0.00735887	0.000915494	7.94923e-05	5.01223e-06	2.37093e-07	8.64337e-09	2.4836e-10	5.73247e-12	1.08012e-13	1.68464e-15	2.20125e-17	2.43522e-19	2.30224e-21	1.87537e-23	1.326e-25	8.1922e-28	4.44887e-30	2.13525e-32	9.10221e-35	3.46186e-37	1.17963e-39	3.61513e-42	9.99966e-45	2.50475e-47	5.69893e-50	1.1812e-52	2.23629e-55	3.8774e-58	6.17347e-61	9.05682e-64	1.23212e-66	1.58132e-69	2.01696e-72	3.19626e-75	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	9.2586e-11	4.2928e-09	2.34378e-07	9.11937e-06	0.000233281	0.00368483	0.0333417	0.157312	0.345264	0.315809	0.120653	0.0215583	0.00202147	0.000109173	3.65165e-06	8.00871e-08	1.20539e-09	1.29207e-11	1.01702e-13	6.0314e-16	2.75437e-18	9.86906e-21	2.81991e-23	6.51743e-26	1.2338e-28	1.93456e-31	2.53754e-34	2.80946e-37	2.64687e-40	2.13762e-43	1.48982e-46	9.0158e-50	4.76428e-53	2.20991e-56	9.04122e-60	3.27716e-63	1.0568e-66	3.0437e-70	7.85771e-74	1.82455e-77	3.82268e-81	7.24835e-85	1.24738e-88	1.9535e-92	2.79234e-96	4.2391e-100	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
