NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	3.37373e-05	0.000992475	0.00712382	0.0333961	0.0337848	0.0820975	0.227752	0.331244	0.214164	0.060821	0.00802671	0.000542303	2.0786e-05	4.94761e-07	7.87856e-09	8.91287e-11	7.51865e-13	1.86223e-17	1.34796e-18	8.84826e-20	5.32572e-21	2.96671e-22	1.5416e-23	7.52307e-25	3.4679e-26	1.51764e-27	6.33296e-29	2.52961e-30	9.70473e-32	3.58675e-33	1.28048e-34	4.42622e-36	1.48464e-37	4.84142e-39	1.53764e-40	4.76376e-42	1.44176e-43	4.2683e-45	1.23756e-46	3.51826e-48	9.81802e-50	2.69265e-51	7.26913e-53	1.93736e-54	5.15399e-56	1.55033e-57	
N2	8.23779e-06	0.000399829	0.00391208	0.0222588	0.0249635	0.0670025	0.223518	0.371655	0.223141	0.0565368	0.00607112	0.000509091	1.98774e-05	3.56738e-06	1.11641e-07	2.3017e-08	5.01649e-10	6.80726e-11	1.0769e-12	1.00729e-13	1.15658e-15	7.415e-17	7.27339e-19	4.20639e-20	2.94765e-22	1.29086e-23	2.12936e-25	2.01584e-26	1.17722e-28	6.00372e-30	1.54769e-31	1.36014e-32	7.3676e-35	3.06825e-36	6.61144e-38	4.74112e-39	2.38897e-41	8.05821e-43	1.42533e-44	8.6545e-46	4.01253e-48	1.1035e-49	1.63501e-51	8.9973e-53	1.1064e-54	7.01119e-56	
N3	2.46644e-09	1.07753e-06	2.94922e-05	0.00137877	0.00106971	0.00490076	0.0885468	0.487072	0.352305	0.0607021	0.00382847	0.000162158	4.20102e-06	1.25288e-07	1.99146e-09	3.6296e-11	3.37002e-13	3.83184e-15	2.33196e-17	1.90916e-19	8.41091e-22	5.64972e-24	2.23593e-26	1.52506e-28	5.88817e-31	4.05634e-33	1.80682e-35	1.2324e-37	4.61856e-40	2.72035e-42	1.03724e-44	5.69003e-47	1.72362e-49	8.13786e-52	2.51522e-54	1.15238e-56	2.90065e-59	1.17822e-61	3.21379e-64	1.37516e-66	3.65947e-69	1.63051e-71	6.37582e-74	3.21724e-76	1.42388e-78	7.25801e-81	
N4	5.77728e-11	6.81387e-08	3.98731e-06	0.00030088	0.000567474	0.00250978	0.0614051	0.460263	0.394912	0.0750479	0.00482361	0.000162251	3.40659e-06	4.07209e-07	5.20779e-09	3.67372e-10	1.70528e-12	5.28014e-14	1.34978e-16	2.19411e-18	3.75075e-21	3.81479e-23	5.33059e-26	5.18454e-28	6.10004e-31	6.55796e-33	3.19787e-35	6.86807e-37	7.48687e-40	9.00585e-42	4.85261e-44	8.07435e-46	6.64114e-49	4.46378e-51	1.56341e-53	2.04526e-55	1.44859e-58	6.87069e-61	1.63151e-63	1.75638e-65	1.11255e-68	4.2673e-71	7.95395e-74	7.81228e-76	1.89635e-78	2.2391e-80	
N5	1.21674e-12	4.20885e-09	6.63017e-07	7.23351e-05	0.000279518	0.00167466	0.0459911	0.406351	0.425851	0.108674	0.0104001	0.000667319	2.51945e-05	1.21546e-05	1.1828e-07	1.90658e-08	4.46769e-11	2.30629e-12	2.64117e-15	5.50151e-17	4.0513e-20	4.3968e-22	2.66846e-25	3.35044e-27	1.61335e-30	2.33783e-32	1.29214e-34	4.46611e-36	1.60914e-39	1.75592e-41	8.52703e-44	2.14976e-45	6.02981e-49	2.88506e-51	7.70246e-54	1.49714e-55	3.73185e-59	1.18866e-61	1.79241e-64	2.80798e-66	6.40291e-70	1.63384e-72	1.62992e-75	2.18803e-77	2.54937e-80	4.02886e-82	
N6	1.04626e-13	2.77224e-10	2.94491e-08	9.77819e-06	6.75255e-05	0.000107902	0.00784483	0.210634	0.692323	0.0860435	0.00291462	5.42611e-05	7.74713e-07	3.1125e-08	3.15158e-10	1.1133e-11	5.08584e-14	1.04074e-15	3.41529e-18	5.0647e-20	1.26375e-22	1.36066e-24	2.89345e-27	2.7519e-29	5.46996e-32	5.70099e-34	2.56476e-36	3.74152e-38	6.74699e-41	6.62754e-43	3.17569e-45	4.44801e-47	5.7461e-50	4.09344e-52	1.50969e-54	1.81668e-56	2.15656e-59	1.3537e-61	4.40947e-64	4.57222e-66	5.09686e-69	2.74734e-71	8.29833e-74	8.32008e-76	3.08634e-78	3.48035e-80	
N7	4.14919e-22	8.15902e-17	1.21095e-14	5.02423e-10	1.29214e-07	8.2763e-10	5.99697e-07	0.00218997	0.951221	0.046559	2.9299e-05	6.03418e-09	9.04464e-13	4.77006e-16	1.21396e-19	5.43004e-23	6.14412e-27	1.39247e-30	7.09871e-35	8.09113e-39	2.46848e-43	1.86702e-47	3.86552e-52	2.3609e-56	4.04569e-61	1.61605e-60	5.80909e-59	1.72353e-59	3.49973e-58	3.68698e-58	5.07033e-60	1.33793e-61	8.58901e-63	8.86273e-62	1.82736e-63	3.79263e-65	1.72382e-67	2.303e-69	1.60138e-71	2.85705e-73	1.06921e-75	1.24139e-77	8.49983e-80	1.70925e-81	2.1285e-83	4.82091e-85	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	2.78035e-26	3.81871e-20	4.21509e-17	9.58373e-12	2.59253e-09	1.10849e-11	3.40772e-09	0.000162835	0.927035	0.0727967	5.6539e-06	1.13344e-10	1.32794e-15	6.10351e-18	1.53058e-21	1.41518e-23	9.29138e-28	5.1351e-30	1.59854e-35	6.74948e-39	1.57331e-44	2.63071e-48	4.71689e-54	4.90585e-58	6.89652e-64	6.93471e-68	2.20492e-72	5.89289e-75	1.31169e-80	2.07793e-83	2.50764e-87	4.45189e-90	5.70815e-96	3.40061e-99	3.07383e-103	3.66243e-106	2.82745e-112	9.26255e-117	6.54829e-122	5.14661e-125	2.97447e-131	6.60356e-136	1.6118e-141	7.93494e-145	1.96931e-150	8.93347e-154	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
