#Nodes with GAIN events with expectation above 0.5
N3: 1.50679
N7: 0.532411
L_gallicum: 0.927669
N12: 0.894351
L_flavum: 0.748057
N21: 0.920898
L_maritimum: 0.575288
L_catharticum: 0.708823
N28: 0.587573
L_kingii: 0.9267
L_rupestre: 1.47266
L_striatum: 0.748326
He_micranthum: 1.04129
Ra_linoides: 1.16143
N40: 0.547872
N43: 0.592449
N44: 0.944495
N52: 0.876811
L_aroanium1: 1.26376
N55: 0.641998
N56: 0.678069
L_hologynum: 2.73239
L_narbonense: 0.820338
N57: 0.578816
L_decumbens1: 0.790771
L_stelleroides: 2.27664
N58: 1.29922
L_pubescens: 0.536586
Re_indica: 3.89885
Total number of gain events: 41.6553
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N3: 1.19401
N12: 1.1929
L_nodiflorum: 1.02945
L_corymbulosum: 0.739172
L_catharticum: 1.20674
L_kingii: 2.39587
L_vernale: 1.59806
S_digynum: 2.20344
N36: 1.28518
Ra_linoides: 0.533968
N44: 0.509533
N52: 1.12903
L_nervosum: 1.84035
N56: 1.93355
L_hologynum: 0.888153
L_narbonense: 2.01211
L_grandiflorum: 0.599957
L_stelleroides: 1.65711
N58: 1.4224
L_pubescens: 0.512825
Re_indica: 3.19776
Total number of loss events: 40.1991
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.99697
N12: 0.710166
N28: 0.816325
L_littorale: 1.00954
L_macraei: 1.00003
He_micranthum: 1.00662
N36: 0.999436
N52: 0.964277
L_hologynum: 0.528639
L_narbonense: 0.647878
Total number of duplication events: 13.1424
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
N19:ML=14 to N20:ML=15  sum expections= 0.408885
	HEURISTIC ESTIMATION:	Gains = 1	Losses = 0	Duplications = 0	Demi-dupl = 0
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.275167	0.230276	0.0180259	0
N3	1.50679	1.19401	0.0543703	0
N4	0.270841	0.16779	0.00200603	0
N5	0.18789	0.0580199	0.00115726	0
N6	0.446681	0.212617	0.000837865	0
N7	0.532411	0.353931	0.000172095	0
L_corymbiferum	0.00981195	0.0542385	1.29716e-07	0
N8	0.0304815	0.00226287	1.27195e-07	0
L_gallicum	0.927669	0.000314167	6.02091e-09	0
L_strictum	0.00360756	0.0762527	2.60211e-09	0
N9	0.319419	0.20904	0.000136288	0
L_setaceum	0.151352	0.127491	3.07111e-06	0
N10	0.121008	0.0972658	1.62911e-06	0
L_suffruticosum1	1.58442e-14	2.78518e-16	1.99697	0
L_tenuifolium1	0.00624167	0.00611616	8.46713e-11	0
N11	0.384382	0.191146	0.0101072	0
N12	0.894351	1.1929	0.710166	0
N13	0.206311	0.039196	0.0105664	0
N14	0.120497	0.182448	0.00124584	0
L_album	0.0145006	0.0189126	1.52152e-05	0
L_mucronatum1	0.0145006	0.0189126	1.52152e-05	0
N15	0.245126	0.0348352	0.00125533	0
N16	0.00622166	0.0280675	5.52719e-06	0
N17	0.00393448	0.218869	7.35725e-08	0
N18	0.00291754	0.0354083	2.64944e-09	0
L_arboreum	0.00823921	0.0156332	1.4041e-10	0
L_elegans	0.00823921	0.0156332	1.4041e-10	0
L_campanulatum	0.0162453	0.0561301	2.7899e-09	0
N19	0.0946243	0.00264579	7.48727e-08	0
L_capitatum	0.0165404	0.363339	1.467e-09	0
N20	1	0	0	0
L_gyaricum	0.259253	0.0139618	4.01402e-11	0
L_tauricum	0.259253	0.0139618	4.01402e-11	0
L_flavum	0.748057	0.0247232	5.61305e-06	0
L_nodiflorum	0.131546	1.02945	0.0118277	0
N21	0.920898	0.223451	0.00962515	0
N22	0.335438	0.154842	0.0020285	0
N23	0.0415543	0.131177	6.31767e-05	0
L_corymbulosum	0.000152156	0.739172	5.77967e-08	0
L_trigynum	0.261841	0.000861243	5.77967e-08	0
L_tenue1	0.206789	0.0354339	6.36498e-05	0
L_maritimum	0.575288	0.223762	0.0021716	0
L_catharticum	0.708823	1.20674	0.00162839	0
N24	0.350042	0.377993	0.00196485	0
N25	0.151378	0.305415	0.000343247	0
N26	0.0681797	0.0118156	3.86194e-06	0
N27	0.211008	0.0130462	9.74694e-05	0
N28	0.587573	0.0203816	0.816325	0
C_selaginoides	0.406005	0.35222	0.183582	0
N29	0.105964	0.0467064	0.173975	0
L_littorale	0.267604	0.296126	1.00954	0
N30	0.0403792	0.0385271	0.00916055	0
N31	0.0136396	0.0144856	0.000339996	0
L_macraei	0.0766643	0.0834633	1.00003	0
L_prostratum	0.0580578	0.062751	3.45792e-05	0
L_oligophyllum	0.0991585	0.104698	0.000374576	0
N32	0.0217929	0.0786589	2.08393e-05	0
N33	0.0251852	0.173957	0.498371	0
L_kingii	0.9267	2.39587	0.294821	0
N34	0.195287	0.160996	0.389183	0
L_rupestre	1.47266	0.097417	0.108521	0
L_vernale	0.0726834	1.59806	0.108037	0
L_striatum	0.748326	0.152762	1.63693e-05	0
N35	0.0764384	0.178982	4.27632e-07	0
He_micranthum	1.04129	0.153049	1.00662	0
S_digynum	0.0431035	2.20344	5.01504e-07	0
N36	0.210198	1.28518	0.999436	0
N37	0.00638959	0.0399237	0.000263629	0
N38	0.00756498	0.029783	1.28947e-05	0
N39	0.0328693	0.0616174	8.24437e-07	0
L_acuticarpum	0.0153116	0.0192569	8.28085e-10	0
L_gracile	0.0153116	0.0192569	8.28085e-10	0
L_heterostylum	0.0830734	0.115767	8.2527e-07	0
L_africanum	0.108564	0.163475	1.37505e-05	0
L_comptonii	0.127062	0.2155	0.000278435	0
Ra_linoides	1.16143	0.533968	0.00266586	0
N40	0.547872	0.469133	0.0226754	0
N41	0.236291	0.152316	0.00717548	0
N42	0.464518	0.348217	0.0106629	0
N43	0.592449	0.344344	0.00534009	0
N44	0.944495	0.509533	0.00250331	0
N45	0.0178352	0.0105842	5.15611e-07	0
N46	0.00190859	0.00120276	3.3851e-10	0
N47	0.00193834	0.00176994	6.65231e-12	0
N48	0.00663035	0.00658226	2.72955e-12	0
N49	0.00269057	0.00271053	3.73591e-13	0
N50	0.0012166	0.00122381	1.21671e-14	0
L_alpinum	0.000673443	0.000676879	4.51613e-16	0
L_punctatum1	0.000673443	0.000676879	4.51613e-16	0
L_perenne	0.00428933	0.00429997	1.21686e-14	0
L_lewisii	0.0122571	0.0122877	3.69136e-13	0
L_leonii	0.0334824	0.0334649	4.37066e-13	0
N51	0.00795532	0.00770068	9.12594e-12	0
L_austr_mauritanicum	0.0220479	0.0221166	7.31817e-12	0
L_austriacum	0.0220479	0.0221166	7.31817e-12	0
L_pallescens	0.0601153	0.0592237	1.00857e-09	0
L_pycnophyllum	0.0982318	0.0900891	5.17843e-07	0
N52	0.876811	1.12903	0.964277	0
L_aroanium1	1.26376	0.08507	0.0338519	0
L_nervosum	0.0474191	1.84035	0.0337966	0
N53	0.442581	0.471725	0.00593713	0
N54	0.122975	0.129432	0.263573	0
N55	0.641998	0.349634	0.353275	0
N56	0.678069	1.93355	0.326187	0
L_bienne	0.00764603	0.0173117	3.04834e-06	0
L_usitatissimum	0.00764603	0.0173117	3.04834e-06	0
L_hologynum	2.73239	0.888153	0.528639	0
L_narbonense	0.820338	2.01211	0.647878	0
N57	0.578816	0.46597	0.00124354	0
L_decumbens1	0.790771	0.185185	0.000453764	0
L_grandiflorum	0.207046	0.599957	0.000184829	0
L_stelleroides	2.27664	1.65711	0.0512336	0
N58	1.29922	1.4224	0.0226836	0
N59	0.149288	0.144639	0.00125986	0
N60	0.0905185	0.0815206	0.000229772	0
L_hirsutum	0.148826	0.136897	6.88968e-05	0
L_seljukorum	0.148826	0.136897	6.88968e-05	0
L_viscosum	0.298435	0.277716	0.000348548	0
L_pubescens	0.536586	0.512825	0.00199732	0
Re_indica	3.89885	3.19776	0.418293	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
L_corymbiferum	3.22959	2.27089	0.0765696	0
L_gallicum	4.17793	2.21923	0.0765696	0
L_strictum	3.25387	2.29516	0.0765696	0
L_setaceum	3.15814	2.19925	0.0765368	0
L_suffruticosum1	3.1278	2.16902	2.07351	0
L_tenuifolium1	3.13404	2.17514	0.0765353	0
L_album	3.86073	3.2747	0.80766	0
L_mucronatum1	3.86073	3.2747	0.80766	0
L_arboreum	3.99217	3.40615	0.80766	0
L_elegans	3.99217	3.40615	0.80766	0
L_campanulatum	3.99726	3.41124	0.80766	0
L_capitatum	4.08824	3.50223	0.80766	0
L_gyaricum	5.33096	3.15285	0.80766	0
L_tauricum	5.33096	3.15285	0.80766	0
L_flavum	4.71892	3.1329	0.80766	0
L_nodiflorum	3.65097	4.06359	0.80766	0
L_corymbulosum	3.92311	3.08989	0.0973836	0
L_trigynum	4.1848	2.35158	0.0973836	0
L_tenue1	4.08819	2.25497	0.097384	0
L_maritimum	4.12126	2.28846	0.0974635	0
L_catharticum	2.76162	2.79882	0.0760307	0
C_selaginoides	3.55614	2.50516	1.07471	0
L_littorale	3.52371	2.49577	2.07464	0
L_macraei	3.38678	2.33612	2.07464	0
L_prostratum	3.36818	2.31541	1.07464	0
L_oligophyllum	3.39564	2.34287	1.07464	0
L_kingii	3.53624	4.78105	0.868018	0
L_rupestre	4.27749	2.64359	1.0709	0
L_vernale	2.87751	4.14423	1.07042	0
L_striatum	3.33268	2.36398	0.0748429	0
He_micranthum	3.46928	2.45155	1.08133	0
S_digynum	2.4711	4.50194	0.0747091	0
L_acuticarpum	2.55571	3.54346	1.07442	0
L_gracile	2.55571	3.54346	1.07442	0
L_heterostylum	2.5906	3.57835	1.07442	0
L_africanum	2.60853	3.59628	1.07442	0
L_comptonii	2.62064	3.60838	1.07442	0
Ra_linoides	3.29343	2.33625	0.077027	0
L_alpinum	3.09368	2.07857	0.0663836	0
L_punctatum1	3.09368	2.07857	0.0663836	0
L_perenne	3.09608	2.08097	0.0663836	0
L_lewisii	3.10136	2.08625	0.0663836	0
L_leonii	3.11596	2.10084	0.0663836	0
L_austr_mauritanicum	3.11054	2.09542	0.0663836	0
L_austriacum	3.11054	2.09542	0.0663836	0
L_pallescens	3.13874	2.12363	0.0663836	0
L_pycnophyllum	3.15902	2.14391	0.0663836	0
L_aroanium1	4.25687	2.75839	1.06201	0
L_nervosum	3.04053	4.51367	1.06195	0
L_bienne	3.41712	4.10159	1.00751	0
L_usitatissimum	3.41712	4.10159	1.00751	0
L_hologynum	5.46379	3.03889	1.20996	0
L_narbonense	2.90974	3.81321	0.975927	0
L_decumbens1	3.33602	2.32282	0.0661741	0
L_grandiflorum	2.75229	2.7376	0.0659052	0
L_stelleroides	3.33597	2.50883	0.0991104	0
L_hirsutum	2.51089	2.48487	0.0649435	0
L_seljukorum	2.51089	2.48487	0.0649435	0
L_viscosum	2.56998	2.54417	0.0649933	0
L_pubescens	2.65884	2.63464	0.0653823	0
Re_indica	3.89885	3.19776	0.418293	0
