#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.981786
N20: 0.703484
L_flavum: 0.930162
N21: 0.733811
L_vernale: 0.869369
N36: 0.913922
L_aroanium1: 0.643627
N56: 0.788264
Re_indica: 1.523
Total number of gain events: 13.7216
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
L_nodiflorum: 0.824403
L_corymbulosum: 0.918381
L_catharticum: 1.05572
S_digynum: 2.83406
L_nervosum: 0.836185
L_grandiflorum: 0.827309
N58: 0.983977
Re_indica: 1.20651
Total number of loss events: 14.4071
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.99988
N28: 0.918483
L_littorale: 1.00214
L_macraei: 1
L_rupestre: 0.897633
He_micranthum: 0.946378
L_aroanium1: 0.513174
Total number of duplication events: 8.25693
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N12: 0.952991
L_kingii: 0.965412
L_vernale: 0.847259
N36: 0.940954
N54: 0.552757
L_hologynum: 0.925886
Total number of demi-dulications events: 7.37471
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0433246	0.0722808	0.000927711	0.0119267
N3	0.288381	0.294313	0.00171962	0.0221725
N4	0.0207053	0.0311538	1.21042e-05	0.000957693
N5	0.0318059	0.0049224	1.13531e-05	0.000278199
N6	0.0229497	0.0327154	1.63556e-06	0.000199863
N7	0.0450447	0.0426874	7.26113e-06	8.41506e-05
L_corymbiferum	0.00113402	0.00881249	3.08813e-10	2.49587e-07
N8	0.0106018	7.21112e-05	4.51833e-10	2.48558e-07
L_gallicum	0.981786	4.25046e-08	5.11103e-09	9.59017e-09
L_strictum	0.000316198	0.018525	2.39567e-11	9.88216e-09
N9	0.0172352	0.02162	1.49682e-07	4.38048e-05
L_setaceum	0.0109909	0.0117766	8.21917e-09	3.81893e-06
N10	0.00771674	0.00851926	1.15038e-09	3.8633e-06
L_suffruticosum1	3.34673e-17	3.36453e-17	1.99988	2.75338e-08
L_tenuifolium1	0.000469812	0.000453175	1.68768e-13	4.03386e-08
N11	0.138581	0.0143688	6.8958e-06	0.00160831
N12	0.0907985	0.199868	0.0118612	0.952991
N13	0.154773	0.00409766	0.000158591	0.028114
N14	0.0316213	0.0209635	1.32726e-05	0.0010846
L_album	0.00131963	0.00119555	1.18177e-07	3.48575e-06
L_mucronatum1	0.00131963	0.00119555	1.18177e-07	3.48575e-06
N15	0.0893491	0.00371472	1.34637e-05	0.00108459
N16	0.000936813	0.00801155	4.52968e-08	3.35509e-06
N17	0.000309643	0.0648155	3.7802e-10	1.22259e-08
N18	0.000235301	0.00329787	7.88565e-12	1.41615e-10
L_arboreum	0.000890465	0.00110695	2.40685e-13	2.19588e-12
L_elegans	0.000890465	0.00110695	2.40685e-13	2.19588e-12
L_campanulatum	0.00182855	0.00510765	8.12721e-12	1.4557e-10
N19	0.0509238	0.000244833	3.68803e-10	1.48205e-08
L_capitatum	0.00213289	0.120598	4.49808e-12	1.63832e-10
N20	0.703484	3.01086e-06	1.28373e-12	1.47912e-10
L_gyaricum	0.181095	0.00305843	5.72603e-14	2.23285e-11
L_tauricum	0.181095	0.00305843	5.72603e-14	2.23285e-11
L_flavum	0.930162	0.00502326	3.35023e-07	3.1212e-06
