NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	
N1	1.66465e-10	4.18016e-07	3.47179e-05	0.000818369	0.00255967	0.0202125	0.0043428	0.0865598	0.780802	0.102292	0.00236824	9.27099e-06	1.01554e-08	4.42365e-12	5.70513e-18	6.37493e-20	5.69672e-22	4.22793e-24	2.68145e-26	1.48578e-28	7.31983e-31	3.25207e-33	1.3182e-35	4.92221e-38	1.70698e-40	5.5358e-43	1.68883e-45	4.87148e-48	1.33454e-50	3.48562e-53	8.7094e-56	2.08815e-58	4.81684e-61	1.07157e-63	2.30389e-66	4.79635e-69	9.68531e-72	1.89994e-74	3.62575e-77	6.73961e-80	1.22166e-82	2.16171e-85	3.73783e-88	6.32452e-91	1.05494e-93	2.07452e-96	
N2	7.69573e-11	1.21788e-07	1.17175e-05	0.000417918	0.00143497	0.0109104	0.00303116	0.0849628	0.828353	0.07002	0.000850177	7.28095e-06	6.64229e-08	8.40085e-10	6.29262e-12	3.84211e-14	7.86312e-17	2.22084e-18	1.42176e-21	2.05876e-23	1.09632e-26	5.83552e-29	3.10577e-32	1.57947e-34	6.71929e-38	4.93719e-40	1.75377e-42	3.00156e-45	1.75175e-48	1.89205e-50	6.44246e-54	3.80125e-56	2.39768e-59	4.3332e-62	5.82971e-65	8.34083e-67	1.85621e-70	2.80001e-73	3.02712e-76	3.21874e-78	7.95564e-82	1.09944e-84	4.94297e-88	3.92785e-90	2.63372e-93	1.97816e-95	
N3	6.15202e-14	2.75197e-10	9.15785e-08	3.46049e-06	2.33642e-05	0.000840197	0.000257678	0.0220231	0.955026	0.0217363	8.9635e-05	4.17887e-07	1.10022e-09	2.24321e-12	2.55535e-15	3.13899e-18	2.26459e-21	3.3941e-24	1.15197e-27	6.8028e-31	1.93308e-34	7.18038e-38	1.98565e-41	1.31176e-44	3.2352e-48	1.87668e-51	7.38251e-55	2.37235e-58	4.65521e-62	1.87357e-65	3.10471e-69	1.21658e-72	2.09644e-76	7.35325e-80	1.7211e-83	8.71349e-87	1.14189e-90	2.78672e-94	4.38559e-98	1.26368e-101	1.63142e-105	3.92076e-109	5.20057e-113	1.80089e-116	7.93099e-120	5.04629e-123	
N4	6.85756e-16	9.4631e-12	5.24424e-09	4.9302e-07	1.42557e-05	0.000132643	0.000241118	0.0259915	0.958424	0.0151803	1.53643e-05	3.78883e-08	2.6044e-10	6.36194e-13	4.65959e-16	6.71017e-19	4.45135e-22	4.86477e-24	4.6097e-28	6.41997e-31	7.12604e-35	2.9169e-38	3.83909e-42	5.04328e-45	6.561e-49	1.87304e-51	1.34763e-54	3.45316e-58	2.32816e-62	2.62187e-65	1.4128e-69	1.64902e-72	9.9061e-77	7.08816e-80	2.68084e-83	7.46896e-86	2.35098e-90	4.27435e-94	4.08415e-98	5.15675e-101	2.01582e-105	4.52692e-109	1.52411e-113	9.86746e-117	2.08606e-120	3.19227e-123	
N5	1.86074e-18	8.35045e-14	3.73636e-10	3.00808e-08	2.84656e-06	3.95361e-05	0.000311335	0.00801085	0.966099	0.0255159	1.88072e-05	1.503e-06	2.73933e-08	2.22886e-10	1.43682e-13	1.85495e-15	2.74564e-19	4.782e-21	1.88597e-25	1.8821e-28	1.43722e-32	2.64207e-36	4.14084e-40	2.43346e-42	6.78511e-47	1.69504e-49	9.96898e-53	1.79312e-56	4.04215e-61	3.48169e-64	2.28489e-68	1.0271e-70	1.36474e-75	4.39744e-79	1.08051e-82	4.71659e-85	5.59035e-90	6.66128e-94	3.13736e-98	4.35668e-101	9.59394e-106	2.24002e-109	2.71769e-114	1.5207e-117	4.00839e-121	1.13756e-123	
N6	6.25556e-19	1.38396e-14	4.11677e-11	4.20188e-09	1.44508e-07	3.2693e-05	1.39301e-05	0.00335059	0.987182	0.00940998	1.09975e-05	3.20205e-08	2.62776e-10	6.60529e-13	5.56105e-16	5.97434e-19	5.55177e-22	4.93277e-24	6.818e-28	9.36683e-31	1.42029e-34	5.10402e-38	1.00838e-41	1.27151e-44	2.86055e-48	8.27372e-51	6.9129e-54	2.40404e-57	2.70686e-61	3.32096e-64	2.82165e-68	5.27815e-71	1.70933e-73	1.18751e-74	2.99719e-76	3.72627e-77	9.22261e-80	1.08369e-81	7.18647e-84	4.40623e-85	1.42838e-87	2.13959e-89	5.81636e-92	1.75379e-93	4.2299e-95	4.01907e-96	
N7	3.73537e-27	5.91034e-21	1.39064e-15	1.41415e-13	5.26774e-10	1.83342e-07	5.06252e-08	4.32791e-05	0.991628	0.00832875	2.32485e-07	1.62654e-11	1.98792e-15	6.2018e-20	5.22348e-25	7.60222e-30	1.06656e-34	9.81477e-39	8.26027e-42	3.88822e-44	7.35268e-47	2.25004e-46	6.73208e-49	4.6832e-51	9.6527e-54	1.04776e-55	3.83347e-58	6.0804e-61	3.42673e-64	7.03548e-67	2.35968e-70	4.05209e-73	7.19751e-77	1.18667e-34	1.51265e-34	7.10419e-34	1.76304e-34	1.3766e-34	5.54532e-35	1.05629e-34	3.78853e-35	4.39178e-35	1.18683e-35	1.72075e-35	4.33676e-35	2.35143e-34	
L_corymbiferum	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	4.51879e-31	5.71168e-24	8.90885e-18	1.47045e-15	5.09207e-11	4.43249e-09	8.92699e-09	2.54877e-06	0.980837	0.0191602	4.32216e-08	2.63995e-12	5.47991e-15	2.15242e-19	1.8989e-25	3.45477e-30	5.36188e-35	8.93192e-38	1.18406e-44	1.49843e-49	1.51986e-55	8.28063e-62	9.81895e-68	1.94155e-72	3.37382e-78	9.25271e-82	5.79755e-87	7.51219e-93	2.49376e-100	8.87091e-106	2.65904e-113	1.86143e-118	7.52317e-127	9.23145e-83	7.13863e-37	6.41439e-35	8.54716e-37	4.56191e-37	6.60487e-38	7.21747e-37	6.31147e-38	1.11116e-37	1.65309e-39	4.35867e-39	7.57292e-39	5.28652e-37	
L_gallicum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
