#Nodes with GAIN events with expectation above 0.5
L_gallicum: 0.980848
N20: 0.693975
L_flavum: 0.917489
N21: 0.718778
L_vernale: 0.904555
N36: 0.909252
L_aroanium1: 0.630497
N56: 0.771814
Re_indica: 1.53808
Total number of gain events: 13.844
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
L_nodiflorum: 0.841404
L_corymbulosum: 0.919697
L_catharticum: 1.0601
S_digynum: 2.84247
L_nervosum: 0.917839
L_grandiflorum: 0.826366
N58: 1.00267
Re_indica: 1.22359
Total number of loss events: 14.9244
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
L_suffruticosum1: 1.99989
N28: 0.912574
L_littorale: 1.00251
L_macraei: 0.999991
L_rupestre: 0.883689
He_micranthum: 0.939068
Total number of duplication events: 8.32002
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
N12: 0.949288
L_kingii: 0.966009
L_vernale: 0.859341
N36: 0.920699
N54: 0.548071
L_hologynum: 0.902946
Total number of demi-dulications events: 7.23378
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0.0427855	0.0769396	0.00116507	0.010781
N3	0.304496	0.310741	0.00181816	0.0178126
N4	0.0202198	0.0311094	1.42524e-05	0.000785349
N5	0.0317507	0.00386788	1.19107e-05	0.000188533
N6	0.023823	0.0353711	2.15587e-06	0.00023088
N7	0.0456036	0.0435036	5.97995e-07	7.51999e-05
L_corymbiferum	0.000508631	0.0087946	3.51324e-10	2.26911e-07
N8	0.010949	7.78585e-05	2.77016e-09	2.26139e-07
L_gallicum	0.980848	6.17893e-06	3.37529e-09	1.00351e-08
L_strictum	0.000106341	0.0192641	3.39486e-11	1.33765e-08
N9	0.0182522	0.0234258	1.21888e-07	4.394e-05
L_setaceum	0.0106434	0.0115658	1.61869e-09	3.45728e-06
N10	0.00634502	0.00727829	1.60535e-09	3.47874e-06
L_suffruticosum1	3.93725e-17	3.96698e-17	1.99989	2.59474e-08
L_tenuifolium1	0.000356122	0.000345274	1.52931e-13	3.50925e-08
N11	0.144073	0.0138228	6.61472e-06	0.00177578
N12	0.105639	0.234706	0.0197617	0.949288
N13	0.147532	0.00360065	0.000193634	0.0251436
N14	0.0291848	0.0223672	1.69699e-05	0.000903256
L_album	0.000871645	0.000826788	1.55015e-07	2.69686e-06
L_mucronatum1	0.000871645	0.000826788	1.55015e-07	2.69686e-06
N15	0.0946306	0.0032592	1.7315e-05	0.00090306
N16	0.000927132	0.00848482	5.88591e-08	2.62909e-06
N17	1.80649e-05	0.0730015	5.22809e-10	8.75409e-09
N18	3.02856e-05	0.00371275	1.16843e-11	9.50968e-11
L_arboreum	0.000345997	0.000623329	3.8228e-13	1.37459e-12
L_elegans	0.000345997	0.000623329	3.8228e-13	1.37459e-12
L_campanulatum	0.0013914	0.0053512	1.20674e-11	9.78639e-11
N19	0.0533016	0.000183074	5.28399e-10	1.03025e-08
L_capitatum	0.0017344	0.131797	6.4556e-12	1.11179e-10
N20	0.693975	1.68235e-05	6.22019e-12	4.38874e-11
L_gyaricum	0.178314	0.00235309	8.15695e-14	1.69071e-11
L_tauricum	0.178314	0.00235309	8.15695e-14	1.69071e-11
L_flavum	0.917489	0.00198999	2.49953e-07	2.49708e-06
L_nodiflorum	0.0160911	0.841404	0.000168424	0.0260335
N21	0.718778	0.0149826	3.4498e-05	0.00668741
N22	0.0941344	0.0174685	6.99334e-06	0.000416765
N23	0.00450729	0.041341	1.53042e-07	3.48302e-06
L_corymbulosum	1.09638e-07	0.919697	0	5.08408e-09
L_trigynum	0.0803004	2.93475e-06	1.56749e-10	4.59949e-09
L_tenue1	0.0479355	0.00447346	1.73818e-07	4.1152e-06
L_maritimum	0.147554	0.0285335	8.77304e-06	0.000738348
L_catharticum	0.0691659	1.0601	1.03581e-05	0.000867746
N24	0.0505991	0.0444714	1.9188e-05	0.000679525
N25	0.028703	0.0258485	2.83786e-06	0.000165621
N26	0.00263681	0.0247565	1.8483e-08	5.46099e-06
N27	0.0120517	0.00314272	1.50892e-06	0.0014663
N28	0.00128143	0.00108408	0.912574	0.000589852
C_selaginoides	0.0667433	0.0670283	0.0869231	0.00044234
N29	0.00810358	0.00820006	0.0845549	0.000114945
L_littorale	0.0467888	0.0468453	1.00251	3.76334e-05
N30	0.00580832	0.00580879	0.00246945	8.35965e-06
N31	0.00155564	0.00156963	5.47727e-05	1.75325e-07
L_macraei	0.00921607	0.00924303	0.999991	2.48282e-05
L_prostratum	0.0105431	0.0105573	3.29266e-06	1.83246e-08
L_oligophyllum	0.0177474	0.0177755	5.80693e-05	1.93695e-07
N32	0.000818998	0.000466058	4.15791e-08	3.27559e-05
N33	0.0020904	0.00264314	2.39222e-05	0.0303838
L_kingii	0.0421532	0.141126	3.88551e-06	0.966009
N34	0.0406444	0.0221659	0.075569	0.00692508
L_rupestre	0.0563373	0.0771859	0.883689	0.0362586
L_vernale	0.904555	0.260851	0.0282734	0.859341
L_striatum	0.0244658	0.0244487	1.25324e-08	7.46744e-06
N35	0.00285986	0.131379	6.14906e-10	4.21932e-07
He_micranthum	0.129087	0.0506767	0.939068	0.130993
S_digynum	0.000119407	2.84247	9.15979e-10	1.17687e-06
N36	0.909252	0.156137	0.0776121	0.920699
N37	0.00536049	0.00145693	1.20388e-06	0.00244904
N38	0.0013571	0.000540763	1.87587e-08	0.00020369
N39	0.00400049	0.0036983	9.29302e-10	3.17828e-05
L_acuticarpum	0.00160017	0.00161838	5.28973e-13	3.75518e-07
L_gracile	0.00160017	0.00161838	5.28973e-13	3.75518e-07
L_heterostylum	0.0121154	0.0118314	1.06279e-09	3.21582e-05
L_africanum	0.0181859	0.0170855	3.96525e-08	0.000235943
L_comptonii	0.0254551	0.0204433	2.84724e-06	0.00269272
Ra_linoides	0.108379	0.117013	1.02089e-05	0.00117318
N40	0.0714671	0.157803	0.000807913	0.00867647
N41	0.0563062	0.0251277	0.000278073	0.00192209
N42	0.0939463	0.0633327	0.000285786	0.00296683
N43	0.0936356	0.081204	7.44368e-05	0.0025212
N44	0.140861	0.131038	1.96341e-05	0.00216851
N45	0.000601912	0.000805179	1.69618e-09	1.20909e-05
N46	2.26803e-05	3.75995e-05	2.49147e-13	2.1545e-07
N47	2.18631e-05	1.59187e-05	1.45565e-13	5.93554e-09
N48	0.00034959	0.000351626	1.14314e-14	6.11431e-10
N49	1.28743e-05	1.75848e-05	1.5962e-15	4.22023e-10
